状态id,状态类型,效果类型,效果类型,描述,图标,特效
diaoxue,diaoxue,2,0,掉血：每回合持续掉血,diaoxue.png,
bingdong,bingdong,2,1,冰冻：无法行动，且被攻击无法回复怒气,bingdong.png,
zhongdu,zhongdu,2,0,中毒：每回合持续掉血,zhongdu.png,
xuanyun,xuanyun,2,1,眩晕：无法行动,xuanyun.png,
liuxue,liuxue,2,0,流血：每回合持续掉血,liuxue.png,
zhuoshao,zhuoshao,2,0,灼烧：每回合持续掉血,zhuoshao.png,
shihua,shihua,2,1,石化：无法行动，且被攻击无法回复怒气,shihua.png,
chenmo,chenmo,2,1,沉默：无法释放怒气攻击,chenmo.png,
jinmo,jinmo,2,1,禁魔：无法释放怒气攻击,jinmo.png,
baojisign,baojisign,2,0,暴击印记：被任何人暴击时，对方伤增率增加（暴击后将清除触发了的暴击印记）,baojisign.png,
roundsign,roundsign,2,0,回合印记：每回合持续掉血,roundsign.png,
guanxingsign,guanxingsign,2,0,观星者印记：被任何人攻击时，对方技能伤害率增加（观星者印记单个目标最多技能伤害率加到300%）,guanxingsign.png,
shandiansign,shandiansign,2,0,闪电印记：本印记释放者攻击印记携带者时，印记释放者伤增率增加,shandiansign.png,
defpro,defpro,1,0,防御百分比增加,defpro.png,
defdrop,defdrop,2,0,防御百分比降低,defdrop.png,
speedpro,speedpro,1,0,速度百分比增加,speedpro.png,
speeddrop,speeddrop,2,0,速度百分比降低,speeddrop.png,
atkpro,atkpro,1,0,攻击百分比增加,atkpro.png,
atkdrop,atkdrop,2,0,攻击百分比降低,atkdrop.png,
baojipro,baojipro,1,0,暴击率增加,baojipro.png,
baojidrop,baojidrop,2,0,暴击率降低,baojidrop.png,
baoshangpro,baoshangpro,1,0,暴击伤害增加,baoshangpro.png,
baoshangdrop,baoshangdrop,2,0,暴击伤害降低,baoshangdrop.png,
jingzhunpro,jingzhunpro,1,0,精准率增加,jingzhunpro.png,
jingzhundrop,jingzhundrop,2,0,精准率降低,jingzhundrop.png,
gedangpro,gedangpro,1,0,格挡率增加,gedangpro.png,
gedangdrop,gedangdrop,2,0,格挡率降低,gedangdrop.png,
skilldpspro,skilldpspro,1,0,技能伤害率增加,skilldpspro.png,
skilldpsdrop,skilldpsdrop,2,0,技能伤害率降低,skilldpsdrop.png,
miankongpro,miankongpro,1,0,免控率增加,miankongpro.png,
miankongdrop,miankongdrop,2,0,免控率降低,miankongdrop.png,
pojiapro,pojiapro,1,0,破甲率增加,pojiapro.png,
pojiadrop,pojiadrop,2,0,破甲率降低,pojiadrop.png,
dpspro,dpspro,1,0,伤增率增加,dpspro.png,
dpsdrop,dpsdrop,2,0,伤增率降低,dpsdrop.png,
undpspro,undpspro,1,0,伤减率增加,undpspro.png,
undpsdrop,undpsdrop,2,0,伤减率降低,undpsdrop.png,
hpback,hpback,1,0,持续恢复：每回合持续恢复攻击百分比生命,hpback.png,
uncontrol,uncontrol,1,0,buff持续期间免疫新的控制效果,uncontrol.png,
job1dpspro,job1dpspro,1,0,对战士职业伤增率增加,job1dpspro.png,
job1dpsdrop,job1dpsdrop,2,0,对战士职业伤增率降低,job1dpsdrop.png,
job2dpspro,job2dpspro,1,0,对法师职业伤增率增加,job2dpspro.png,
job2dpsdrop,job2dpsdrop,2,0,对法师职业伤增率降低,job2dpsdrop.png,
job3dpspro,job3dpspro,1,0,对辅助职业伤增率增加,job3dpspro.png,
job3dpsdrop,job3dpsdrop,2,0,对辅助职业伤增率降低,job3dpsdrop.png,
job4dpspro,job4dpspro,1,0,对刺客职业伤增率增加,job4dpspro.png,
job4dpsdrop,job4dpsdrop,2,0,对刺客职业伤增率降低,job4dpsdrop.png,
job5dpspro,job5dpspro,1,0,对游侠职业伤增率增加,job5dpspro.png,
job5dpsdrop,job5dpsdrop,2,0,对游侠职业伤增率降低,job5dpsdrop.png,
liuxuedpspro,liuxuedpspro,1,0,对流血的目标伤害增加,liuxuedpspro.png,
liuxuedpsdrop,liuxuedpsdrop,1,0,对流血的目标伤害降低,liuxuedpsdrop.png,
