掉落组,掉落类型,掉落物品,掉落数量,权重
1,attr,useexp,2200,6
1,attr,useexp,3600,4
1,attr,useexp,4300,2
1,attr,rmbmoney,5,3
1,attr,rmbmoney,10,2
1,attr,rmbmoney,15,1
1,attr,jinbi,29000,3
1,attr,jinbi,36000,2
1,attr,jinbi,47000,1
1,item,2004,12,3
1,item,2004,20,2
1,item,2004,24,1
2,attr,useexp,8000,6
2,attr,useexp,10000,4
2,attr,useexp,12000,2
2,attr,rmbmoney,15,3
2,attr,rmbmoney,23,2
2,attr,rmbmoney,30,1
2,attr,jinbi,65000,3
2,attr,jinbi,81000,2
2,attr,jinbi,103000,1
2,item,2000,8,3
2,item,2000,11,2
2,item,2000,15,1
3,attr,useexp,2200,6
3,attr,useexp,3600,4
3,attr,useexp,4300,2
3,attr,rmbmoney,5,3
3,attr,rmbmoney,10,2
3,attr,rmbmoney,15,1
3,attr,jinbi,29000,3
3,attr,jinbi,36000,2
3,attr,jinbi,47000,1
3,item,2002,15,3
3,item,2002,25,2
3,item,2002,35,1
4,attr,useexp,2200,6
4,attr,useexp,3600,4
4,attr,useexp,4300,2
4,attr,rmbmoney,5,3
4,attr,rmbmoney,10,2
4,attr,rmbmoney,15,1
4,attr,jinbi,29000,3
4,attr,jinbi,36000,2
4,attr,jinbi,47000,1
4,item,2013,1,3
4,item,2013,2,2
4,item,2013,3,1
5,attr,useexp,39000,6
5,attr,useexp,65000,4
5,attr,useexp,95000,2
5,attr,jinbi,115000,3
5,attr,jinbi,155000,2
5,attr,jinbi,205000,1
6,item,11075,10,1
6,item,11085,10,1
6,item,12035,10,1
6,item,13045,10,1
6,item,14035,10,1
6,item,15035,10,1
6,item,21045,10,1
6,item,22045,10,1
6,item,22055,10,1
6,item,23035,10,1
6,item,24035,10,1
6,item,25065,10,1
6,item,25075,10,1
6,item,31075,10,1
6,item,31085,10,1
6,item,32055,10,1
6,item,34025,10,1
6,item,35035,10,1
6,item,35045,10,1
6,item,41055,10,1
6,item,41065,10,1
6,item,42015,10,1
6,item,44045,10,1
6,item,45045,10,1
6,item,45055,10,1
6,item,51015,10,1
6,item,52045,10,1
6,item,61025,10,1
6,item,63025,10,1
7,attr,jinbi,20000,1
8,item,2009,1,2
8,,,0,3
9,item,11075,10,1
9,item,11085,10,1
9,item,12035,10,1
9,item,13045,10,1
9,item,14035,10,1
9,item,15035,10,1
9,item,21045,10,1
9,item,22045,10,1
9,item,22055,10,1
9,item,23035,10,1
9,item,24035,10,1
9,item,25065,10,1
9,item,25075,10,1
9,item,31075,10,1
9,item,31085,10,1
9,item,32055,10,1
9,item,34025,10,1
9,item,35035,10,1
9,item,35045,10,1
9,item,41055,10,1
9,item,41065,10,1
9,item,42015,10,1
9,item,44045,10,1
9,item,45045,10,1
9,item,45055,10,1
10,attr,jinbi,50000,9
10,attr,useexp,25000,8
10,item,2004,20,3
10,item,4009,1,1
10,item,2017,30,2
10,item,2018,15,2
11,attr,rmbmoney,50,150
11,attr,rmbmoney,100,500
11,attr,rmbmoney,150,100
11,attr,rmbmoney,200,90
11,attr,rmbmoney,250,80
11,attr,rmbmoney,300,70
11,attr,rmbmoney,350,60
11,attr,rmbmoney,400,50
11,attr,rmbmoney,450,40
11,attr,rmbmoney,500,30
11,attr,rmbmoney,550,25
11,attr,rmbmoney,600,20
11,attr,rmbmoney,650,15
11,attr,rmbmoney,700,10
11,attr,rmbmoney,750,5
11,item,2017,100,50
11,item,2018,50,50
11,item,2010,1,45
11,item,2011,1,5
12,item,4009,3,4
12,item,4010,3,1
12,item,4011,3,1
12,item,4012,3,1
12,item,4013,3,1
13,item,2004,150,1
13,item,2005,150,1
13,item,2007,3,1
13,item,2006,6,1
14,item,2021,30,1
14,item,2022,120,1
20,attr,jinbi,50000,20
20,attr,jinbi,100000,10
20,attr,jinbi,200000,5
20,attr,useexp,25000,20
20,attr,useexp,50000,10
20,attr,useexp,100000,5
20,item,2003,20,10
20,item,2003,40,5
20,item,2003,60,5
21,item,2003,1200,2
21,item,2003,1100,2
21,item,2003,1000,2
21,item,2003,200,8
21,item,2003,175,8
21,item,2003,150,8
22,item,2003,1200,2
22,item,2003,1100,2
22,item,2003,1000,2
22,item,2003,200,8
22,item,2003,175,8
22,item,2003,150,8
23,item,2003,2000,2
23,item,2003,1800,2
23,item,2003,1600,2
23,item,2003,300,8
23,item,2003,250,8
23,item,2003,200,8
24,item,2003,4000,2
24,item,2003,3600,2
24,item,2003,3200,2
24,item,2003,600,8
24,item,2003,500,8
24,item,2003,400,8
26,item,2024,100,1
27,item,2024,125,1
28,item,2024,150,1
29,item,2024,175,1
30,item,2024,200,1
32,glyph,4,1,1
32,glyph,5,1,1
32,glyph,6,1,1
33,glyph,7,1,1
33,glyph,8,1,1
33,glyph,9,1,1
34,glyph,10,1,1
34,glyph,11,1,1
34,glyph,12,1,1
35,glyph,13,1,1
35,glyph,14,1,1
35,glyph,15,1,1
36,glyph,13,1,1
36,glyph,14,1,1
36,glyph,15,1,1
1000_01,item,2000,10,1
1000_02,item,2001,10,1
1000_03,item,2002,10,1
1001,attr,jifen,1000,1
1002,equip,1043,1,1
1002,equip,2043,1,1
1002,equip,3043,1,1
1002,equip,4043,1,1
1003,equip,1051,1,1
1003,equip,2051,1,1
1003,equip,3051,1,1
1003,equip,4051,1,1
1004,attr,payexp,10,1
1006,glyph,1,1,50
1006,glyph,2,1,50
1006,glyph,3,1,50
1006,glyph,4,1,40
1006,glyph,5,1,40
1006,glyph,6,1,40
1006,glyph,7,1,10
1006,glyph,8,1,10
1006,glyph,9,1,10
1007,glyph,4,1,50
1007,glyph,5,1,50
1007,glyph,6,1,50
1007,glyph,7,1,45
1007,glyph,8,1,45
1007,glyph,9,1,45
1007,glyph,10,1,5
1007,glyph,11,1,5
1007,glyph,12,1,5
1008,glyph,10,1,60
1008,glyph,11,1,60
1008,glyph,12,1,60
1008,glyph,13,1,40
1008,glyph,14,1,40
1008,glyph,15,1,40
1009,glyph,13,1,100
1009,glyph,14,1,100
1009,glyph,15,1,100
1010_1,item,1006,1,1
1010_2,attr,jinbi,200000,1
1010_3,item,2024,100,1
1011_1,item,1007,1,1
1011_2,attr,jinbi,500000,1
1011_3,item,2024,200,1
1012_1,item,1007,2,1
1012_2,attr,jinbi,800000,1
1012_3,item,2024,400,1
3001,shipin,3011,1,1
3001,shipin,3021,1,1
3001,shipin,3031,1,1
3001,shipin,3041,1,1
3001,shipin,3051,1,1
3001,shipin,3061,1,1
3001,shipin,3071,1,1
3001,shipin,3081,1,1
3001,shipin,3091,1,1
3001,shipin,3101,1,1
3002,shipin,4011,1,1
3002,shipin,4021,1,1
3002,shipin,4031,1,1
3002,shipin,4041,1,1
3002,shipin,4051,1,1
3002,shipin,4061,1,1
3002,shipin,4071,1,1
3002,shipin,4081,1,1
3002,shipin,4091,1,1
3002,shipin,4101,1,1
3002,shipin,4111,1,1
3002,shipin,4121,1,1
3003,shipin,5011,1,3
3003,shipin,5021,1,3
3003,shipin,5031,1,3
3003,shipin,5041,1,3
3003,shipin,5051,1,3
3003,shipin,5061,1,3
3003,shipin,5071,1,3
3003,shipin,5081,1,3
3003,shipin,5091,1,3
3003,shipin,5101,1,3
3003,shipin,5111,1,1
3003,shipin,5121,1,1
3003,shipin,5131,1,1
3003,shipin,5141,1,1
3003,shipin,5151,1,1
3003,shipin,5161,1,1
3003,shipin,5171,1,1
3003,shipin,5181,1,1
3003,shipin,5191,1,1
3003,shipin,5201,1,1
3003,shipin,5211,1,1
3003,shipin,5221,1,1
3003,shipin,5231,1,1
3003,shipin,5241,1,1
3003,shipin,5251,1,1
3003,shipin,5261,1,1
3003,shipin,5271,1,1
3003,shipin,5281,1,1
3003,shipin,5291,1,1
3003,shipin,5301,1,1
3003,shipin,5311,1,1
3003,shipin,5321,1,1
3003,shipin,5331,1,1
3003,shipin,5341,1,1
3003,shipin,5351,1,1
3003,shipin,5361,1,1
3003,shipin,5371,1,1
3003,shipin,5381,1,1
3003,shipin,5391,1,1
3003,shipin,5401,1,1
3003,shipin,5411,1,1
3003,shipin,5421,1,1
3003,shipin,5431,1,1
3004,shipin,6011,1,3
3004,shipin,6021,1,3
3004,shipin,6031,1,3
3004,shipin,6041,1,3
3004,shipin,6051,1,3
3004,shipin,6071,1,3
3004,shipin,6081,1,3
3004,shipin,6091,1,3
3004,shipin,6101,1,3
3004,shipin,6111,1,3
3004,shipin,6121,1,3
3004,shipin,6141,1,3
3004,shipin,6151,1,1
3004,shipin,6161,1,1
3004,shipin,6171,1,1
3004,shipin,6181,1,1
3004,shipin,6191,1,1
3004,shipin,6201,1,1
3004,shipin,6211,1,1
3004,shipin,6221,1,1
3004,shipin,6231,1,1
3004,shipin,6241,1,1
3004,shipin,6251,1,1
3004,shipin,6261,1,1
3004,shipin,6271,1,1
3004,shipin,6281,1,1
3004,shipin,6291,1,1
3004,shipin,6301,1,1
3004,shipin,6311,1,1
3004,shipin,6321,1,1
3004,shipin,6331,1,1
3004,shipin,6341,1,1
3004,shipin,6351,1,1
3004,shipin,6361,1,1
3004,shipin,6371,1,1
3004,shipin,6381,1,1
3004,shipin,6391,1,1
3004,shipin,6401,1,1
3004,shipin,6411,1,1
3004,shipin,6421,1,1
3004,shipin,6431,1,1
3004,shipin,6441,1,1
3004,shipin,6451,1,1
3005,shipin,5111,1,1
3005,shipin,5121,1,1
3005,shipin,5131,1,1
3005,shipin,5141,1,1
3005,shipin,5151,1,1
3005,shipin,5161,1,1
3005,shipin,5171,1,1
3005,shipin,5181,1,1
3005,shipin,5191,1,1
3005,shipin,5201,1,1
3005,shipin,5211,1,1
3005,shipin,5221,1,1
3005,shipin,5231,1,1
3005,shipin,5241,1,1
3005,shipin,5251,1,1
3005,shipin,5261,1,1
3005,shipin,5271,1,1
3005,shipin,5331,1,1
3005,shipin,5341,1,1
3005,shipin,5351,1,1
3005,shipin,5361,1,1
3005,shipin,5371,1,1
3005,shipin,5381,1,1
3005,shipin,5391,1,1
3005,shipin,5401,1,1
3005,shipin,5411,1,1
3005,shipin,5421,1,1
3005,shipin,5431,1,1
3006,shipin,6151,1,1
3006,shipin,6161,1,1
3006,shipin,6171,1,1
3006,shipin,6181,1,1
3006,shipin,6191,1,1
3006,shipin,6201,1,1
3006,shipin,6211,1,1
3006,shipin,6221,1,1
3006,shipin,6231,1,1
3006,shipin,6241,1,1
3006,shipin,6251,1,1
3006,shipin,6261,1,1
3006,shipin,6271,1,1
3006,shipin,6281,1,1
3006,shipin,6291,1,1
3006,shipin,6301,1,1
3006,shipin,6361,1,1
3006,shipin,6371,1,1
3006,shipin,6381,1,1
3006,shipin,6391,1,1
3006,shipin,6401,1,1
3006,shipin,6411,1,1
3006,shipin,6421,1,1
3006,shipin,6431,1,1
3006,shipin,6441,1,1
3006,shipin,6451,1,1
4001,hero,11023,1,1
4001,hero,11033,1,1
4001,hero,12013,1,1
4001,hero,13023,1,1
4001,hero,14013,1,1
4001,hero,23013,1,1
4001,hero,23023,1,1
4001,hero,24013,1,1
4001,hero,25023,1,1
4001,hero,25033,1,1
4001,hero,31023,1,1
4001,hero,31033,1,1
4001,hero,32023,1,1
4001,hero,35013,1,1
4001,hero,35023,1,1
4001,hero,41013,1,1
4001,hero,41023,1,1
4001,hero,43023,1,1
4001,hero,45013,1,1
4001,hero,45023,1,1
4001,hero,52013,1,1
4001,hero,64013,1,1
4002,hero,11044,1,1
4002,hero,11054,1,1
4002,hero,11064,1,1
4002,hero,12024,1,1
4002,hero,13034,1,1
4002,hero,14024,1,1
4002,hero,15014,1,1
4002,hero,15024,1,1
4002,hero,21014,1,1
4002,hero,21024,1,1
4002,hero,21034,1,1
4002,hero,22024,1,1
4002,hero,22034,1,1
4002,hero,24024,1,1
4002,hero,25044,1,1
4002,hero,25054,1,1
4002,hero,31044,1,1
4002,hero,31054,1,1
4002,hero,31064,1,1
4002,hero,32034,1,1
4002,hero,32044,1,1
4002,hero,33014,1,1
4002,hero,33024,1,1
4002,hero,34014,1,1
4002,hero,41034,1,1
4002,hero,41044,1,1
4002,hero,43034,1,1
4002,hero,43044,1,1
4002,hero,43054,1,1
4002,hero,44024,1,1
4002,hero,44034,1,1
4002,hero,45034,1,1
4002,hero,52024,1,1
4002,hero,52034,1,1
4002,hero,53014,1,1
4002,hero,61014,1,1
4002,hero,62014,1,1
4002,hero,63014,1,1
4003,hero,11044,1,1
4003,hero,11054,1,1
4003,hero,11064,1,1
4003,hero,12024,1,1
4003,hero,13034,1,1
4003,hero,14024,1,1
4003,hero,15014,1,1
4003,hero,15024,1,1
4004,hero,21014,1,1
4004,hero,21024,1,1
4004,hero,21034,1,1
4004,hero,22024,1,1
4004,hero,22034,1,1
4004,hero,24024,1,1
4004,hero,25044,1,1
4004,hero,25054,1,1
4005,hero,31044,1,1
4005,hero,31054,1,1
4005,hero,31064,1,1
4005,hero,32034,1,1
4005,hero,32044,1,1
4005,hero,33014,1,1
4005,hero,33024,1,1
4005,hero,34014,1,1
4006,hero,41034,1,1
4006,hero,41044,1,1
4006,hero,43034,1,1
4006,hero,43044,1,1
4006,hero,43054,1,1
4006,hero,44024,1,1
4006,hero,44034,1,1
4006,hero,45034,1,1
4007,hero,52024,1,1
4007,hero,52034,1,1
4007,hero,53014,1,1
4008,hero,61014,1,1
4008,hero,62014,1,1
4008,hero,63014,1,1
4009,hero,11045,1,2203
4009,hero,11055,1,2203
4009,hero,11065,1,2203
4009,hero,11075,1,547
4009,hero,11085,1,547
4009,hero,12025,1,2644
4009,hero,12035,1,547
4009,hero,13035,1,2644
4009,hero,13045,1,547
4009,hero,14025,1,2644
4009,hero,14035,1,547
4009,hero,14045,1,547
4009,hero,15015,1,2203
4009,hero,15025,1,2203
