套装ID,套装名称,套装组合,属性
9,符文套装,"[""1033"",""2033"",""3033"",""4033""]","{""2"":{""hppro"":30},""3"":{""atkpro"":32},""4"":{""hppro"":20}}"
10,守卫套装,"[""1041"",""2041"",""3041"",""4041""]","{""2"":{""hppro"":53},""3"":{""atkpro"":54},""4"":{""hppro"":32}}"
11,黑耀套装,"[""1042"",""2042"",""3042"",""4042""]","{""2"":{""hppro"":65},""3"":{""atkpro"":71},""4"":{""hppro"":52}}"
12,咒文套装,"[""1043"",""2043"",""3043"",""4043""]","{""2"":{""hppro"":84},""3"":{""atkpro"":93},""4"":{""hppro"":53}}"
13,希望套装,"[""1044"",""2044"",""3044"",""4044""]","{""2"":{""hppro"":90},""3"":{""atkpro"":112},""4"":{""hppro"":65}}"
14,黑光套装,"[""1051"",""2051"",""3051"",""4051""]","{""2"":{""hppro"":111},""3"":{""atkpro"":131},""4"":{""hppro"":66}}"
15,圣光套装,"[""1052"",""2052"",""3052"",""4052""]","{""2"":{""hppro"":124},""3"":{""atkpro"":153},""4"":{""hppro"":75}}"
16,灵犀套装,"[""1053"",""2053"",""3053"",""4053""]","{""2"":{""hppro"":136},""3"":{""atkpro"":173},""4"":{""hppro"":83}}"
17,荣光套装,"[""1054"",""2054"",""3054"",""4054""]","{""2"":{""hppro"":154},""3"":{""atkpro"":192},""4"":{""hppro"":84}}"
18,紫光套装,"[""1055"",""2055"",""3055"",""4055""]","{""2"":{""hppro"":163},""3"":{""atkpro"":204},""4"":{""hppro"":91}}"
19,深渊套装,"[""1056"",""2056"",""3056"",""4056""]","{""2"":{""hppro"":174},""3"":{""atkpro"":215},""4"":{""hppro"":96}}"
