引导编号,引导组号,引导类型,是否跳组,触发条件,类型参数,依赖界面,可跳过引导,引导内容,配音,说明,是否遮罩,引导前执行,手指点击,后续引导触发条件,后续引导,后续触发条件说明,
10,1,1,0,,,fun:mainview,0,从<font color=#fe6600>沉睡中苏醒的勇者</font>呀，巨龙即将灭世，而唯有你！能！拯！救！我！们！,xinshou010.mp3,,1,,,,1_20,,
20,1,1,0,,,,0,你的记忆将随着苏醒而渐渐恢复，现在请先<font color=#fe6600>回想起你的名字</font>吧！,xinshou020.mp3,,1,,,,2_30,,
30,2,3,0,,,fun:mainview,0,open_set_player_name,,,0,,,set_player_name,3_40,命名成功后继续,
40,3,1,0,,,fun:mainview,0,<font color=#fe6600><玩家名字></font>……，多么令人回忆的名字啊！你还记得曾经发生的事吗，<font color=#fe6600>屠龙之战</font>？不过暂时的遗忘也不算坏事……,xinshou030.mp3,,1,,,,4_50,,
50,4,3,0,,btn_yxjt,fun:mainview,0,scrollToBuild,,移动到英雄祭坛附近,0,,,scrollToBuildOver,4_60,滑动结束后触发后继续,
60,4,2,0,,1,,0,现在让我们在<font color=#fe6600>英雄祭坛</font>招募你的<font color=#fe6600>第一个英雄</font>吧！,xinshou040.mp3,同时点击英雄祭坛,0,,G.view.mainView.nodes.btn_yxjt,choukaOpenOver,4_70,英雄祭坛界面绘制成功后继续,
70,4,1,0,,,,0,消耗<font color=#fe6600>召唤印记</font>可以在祭坛进行<font color=#fe6600>召唤祭祀</font>，可以随机获得<font color=#fe6600>1-5星</font>英雄哦！,xinshou050.mp3,,1,,,,4_80,,
80,4,2,0,,1,,0,难以想象我竟会成为你的再次复苏时的指引者！,,文字泡同时引导点击普通召唤的单抽按钮，抽卡动画结束后进行下一步,0,,G.frame.chouka.nodes.ptjs_btn_1,ajax_jitan_chouka,4_90,英雄祭坛-普通单抽结果展示界面绘制成功后继续,
90,4,4,1,,,,0,,,,0,,,chouka_hdyx_one_over,4_100,,
100,4,4,0,,,,0,,,点击领取按钮,0,,G.frame.chouka_hdyx.nodes.btn_qd,,5_110,,
110,5,1,0,,,frame:chouka,0,消耗<font color=#fe6600>先祖印记</font>可以在祭坛进行<font color=#fe6600>先祖祭祀</font>，随机出现品质较高的<font color=#fe6600>3-5星</font>英雄哦！,,,1,,,,5_120,,
120,5,4,0,,,,0,,,,0,,G.frame.chouka.nodes.gjjs_btn_1,ajax_jitan_chouka,5_130,,
130,5,4,1,,,,0,,,,0,,,chouka_hdyx_one_over,5_140,,
140,5,4,0,,,,0,,,点击领取按钮,0,,G.frame.chouka_hdyx.nodes.btn_qd,,5_150,,
150,5,4,0,,,,0,,,点击返回按钮,0,,G.frame.chouka.nodes.btn_fh,,5_160,,
160,5,1,0,,,,0,太棒了！竟然召唤到了传奇法师<font color=#fe6600>寒冰女巫</font>，现在开始你传奇征程的第一场战斗吧！,xinshou070.mp3,,1,,,,6_170,,
170,6,2,0,,1,fun:mainview,0,现在让我们前往森海山脉。,xinshou080.mp3,文字泡同时引导点击探险按钮,0,,G.view.mainMenu.nodes.btn_tanxian,tanxianOpenOver,6_180,探险界面绘制成功后继续,
180,6,2,0,,1,,0,很多年后人们将谈论起勇者开启征程的这一刻！,,文字泡同时引导点击挑战领主按钮,0,,G.frame.tanxian.nodes.btn_tzlz,yingxiong_zhongzu_xuanze_over,6_190,探险界面-英雄出战界面绘制成功,
190,6,2,0,,1,,0,点击<font color=#fe6600>英雄头像</font>，选择出战英雄！,xinshou090.mp3,文字泡同时引导点击自己的第一个英雄头像,0,,G.frame.yingxiong_fight.bottom._headUI.0,yingxiong_fight_playAniMove_over,6_200,英雄头像飞入动画结束后继续,
200,6,4,0,,,,0,,,点击自己的第二个英雄头像。,0,,G.frame.yingxiong_fight.bottom._headUI.1,yingxiong_fight_playAniMove_over,6_210,英雄头像飞入动画结束后继续,
210,6,4,0,,,,0,,,,0,,G.frame.yingxiong_fight.top.nodes.btn_kz,ajax_tanxian_fightboss,6_220,,
220,6,4,1,,,,0,,,,0,,,sp_is_full,6_230,,
230,6,3,0,,,,0,pauseFight,,我方英雄第一个英雄怒气满值并准备释放怒气攻击时，暂停战斗。,0,,,pauseFightOver,6_240,,
240,6,1,0,,,,0,当英雄攻击和受到攻击的时候，会增长怒气，<font color=#fe6600>怒气满后会释放技能</font>！,xinshou100.mp3,点击关闭对话后继续本场战斗，退出战斗界面后继续引导,1,,,,6_250,回到探险界面，并界面绘制成功后继续,
250,6,3,0,,,,0,resumeFight,,,0,,,fightWin_showOver,6_260,,
