英雄ID,英雄名称,放置名称,评论ID,英雄种族,品质星级,职业,品质,模型,头像,十星模型,十星头像,升星材料,成长编号,被动开启等级,普攻,怒气,怒气图标,怒气名称,怒气描述,被动1,被动1名称,被动1描述,被动1图标,被动2,被动2名称,被动2描述,被动2图标,被动3,被动3名称,被动3描述,被动3图标
11011,软泥怪,阿呆,1101,1,1,1,0,11011,11011,,,,11011,[],1,11011012,skillico_001,软泥冲击,怒气技能：对单个敌人造成125%伤害，并有30%概率眩晕敌人2回合,,,,,,,,,,,,
11023,石像鬼,链锤,1102,1,3,1,2,11023,11023,,,,11023,[2],2,11023012,skillico_002,石突打击,怒气技能：对敌方后排随机2名角色造成90%攻击伤害，并有25%概率石化目标1回合,"""11023114""",石化,被动效果：受到攻击身体会渐渐硬化，防御提升5%，持续1回合,skillico_056,,,,,,,,
11033,獠牙猎手,冰巨魔,1103,1,3,1,2,11033,11033,,,,11033,"[2,3]",2,11033012,skillico_003,寒冰打击,怒气技能：对血量最少的敌人造成160%攻击伤害，并使得英雄命中提升20%，持续2回合,"""11033114""",狂怒,被动效果：受到攻击时30%概率反击，造成60%攻击伤害,skillico_271,"""11033214""",巨魔血统,被动效果：受到暴击伤害时，恢复英雄50%攻击的生命（受控不触发）,skillico_204,,,,
11044,巨镰马洛萨,暴躁的尸体,1104,1,4,1,3,11044,11044,,,,11044,"[2,4]",4,11044012,skillico_004,骸骨旋风,怒气技能：对血量最少的敌人造成180%攻击伤害，并偷取敌人20%护甲2回合,"""11044114""",骷髅意志,被动效果：受到伤害，提升英雄10%格挡，持续1回合,skillico_220,"""11044211""",坚韧,被动效果：拥有坚韧的身躯，使得自身生命增加30%,skillico_204,,,,
11045,巨镰马洛萨,暴躁的尸体,1104,1,5,1,4,11045,11045,,,,11045,"[3,5]",4,11045012,skillico_004,骸骨旋风,怒气技能：对血量最少的敌人造成200%攻击伤害，并偷取敌人30%护甲2回合,"""11045114""",骷髅意志,被动效果：受到伤害，提升英雄15%格挡，持续1回合,skillico_220,"""11045211""",坚韧,被动效果：拥有坚韧的身躯，使得自身生命增加40%,skillico_204,,,,
11054,骷髅王扎卡,梦魇骑士,1105,1,4,1,3,11054,11054,,,,11054,"[2,4]",5,11054012,skillico_005,流星打击,怒气技能：对敌方后排随机3名敌人造成125%攻击伤害，并使自己暴击提升10%，持续2回合,"""11054111"",""11054121""",防御,被动效果：骷髅王血量提升20%，攻击提升15%,skillico_205,"""11054214""",刃甲,被动效果：受到伤害时25%概率反击，造成50%攻击伤害,skillico_230,,,,
11055,骷髅王扎卡,梦魇骑士,1105,1,5,1,4,11055,11055,,,,11055,"[3,5]",5,11055012,skillico_005,流星打击,怒气技能：对敌方后排敌人造成130%攻击伤害，并使自己暴击提升15%，持续2回合,"""11055111"",""11055121""",防御,被动效果：骷髅王血量提升25%，攻击提升20%,skillico_205,"""11055214""",刃甲,被动效果：受到伤害时30%概率反击，造成60%攻击伤害,skillico_230,,,,
11064,缝合收割者,骸骨将军,1106,1,4,1,3,11064,11064,,,,11064,"[2,4]",5,11064012,skillico_006,腐蚀软泥,怒气技能：对后排敌人造成100%攻击伤害，并有50%概率使其受到30%流血伤害持续2回合,"""11064111""",奇异身体,被动效果：防御提升25%,skillico_207,"""11064214""",孤注一掷,被动效果：每当我方英雄死亡，伤害减免增加7%,skillico_208,,,,
11065,缝合收割者,骸骨将军,1106,1,5,1,4,11065,11065,,,,11065,"[3,5]",5,11065012,skillico_006,腐蚀软泥,怒气技能：对后排敌人造成120%攻击伤害，并有50%概率使其受到50%流血伤害持续2回合,"""11065111""",奇异身体,被动效果：防御提升35%,skillico_207,"""11065214""",孤注一掷,被动效果：每当我方英雄死亡，伤害减免增加10%,skillico_208,,,,
11075,冰霜骨龙,主宰者,1107,1,5,1,4,11075,11075,,,,11075,"[2,3,5]",2,11075012,skillico_007,冰霜吐息,怒气技能：对敌方后排造成自身攻击76%的伤害并恢复自身78%攻击的等量生命,"""11075111"",""11075121""",不死亡灵,被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加24%，命中增加20%,skillico_209,"""11075214""",血源祭祀,被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复44%攻击的等量生命（受控不触发）,skillico_210,"""11075314""",源生之血,被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己24%攻击等量生命,skillico_211
