成长编号,英雄名称,初始星级,生命成长,攻击成长,防御成长,速度成长,基础生命,基础攻击,基础防御,基础速度,,,,,
11011,阿呆,1,28.2,2.8,4.9,2,287,29,50,126,,,,,
11023,链锤,3,36.4,5.1,5.4,2,365,52,55,164,,,,,
11033,冰巨魔,3,50.1,4.3,5.2,2,505,44,53,164,,,,,
11044,暴躁的尸体,4,78.9,6,5.4,2,792,61,55,183,,,,,
11045,暴躁的尸体,5,88.6,8,5.6,2,887,81,57,202,,,,,
11054,梦魇骑士,4,57.4,7.2,5.6,2,576,73,57,174,,,,,
11055,梦魇骑士,5,82.9,9.4,5.8,2,830,95,59,193,,,,,
11064,骸骨将军,4,57.4,7.2,5.6,2,579,73,57,185,,,,,
11065,骸骨将军,5,82.9,9.4,5.8,2,831,95,59,204,,,,,
11075,主宰者,5,140.1,11.6,5.6,2,1403,117,57,203,,,,,
11076,主宰者,6,232.1,15.5,5.8,2,2323,156,59,221,,,,,
11085,巴德,5,102,11.6,5.8,2,1023,117,59,205,,,,,
11086,巴德,6,195.5,18.2,6.1,2,1956,183,62,223,,,,,
12013,雪莉,3,28.6,7.5,4.9,2,290,76,50,146,,,,,
12024,死誓,4,45.1,10.5,5.1,2,456,106,52,169,,,,,
12025,死誓,5,65.1,13.6,5.3,2,656,137,54,185,,,,,
12026,死誓,6,136.1,18.8,5.5,2,1362,189,56,199,,,,,
12035,艾丹,5,80.1,16.8,5.3,2,802,169,54,188,,,,,
12036,艾丹,6,147.4,23.5,5.5,2,1477,236,56,205,,,,,
13012,马克娜,2,19.1,5.8,4.7,2,192,59,48,118,,,,,
13023,暗黑牧师,3,28.6,7.6,4.9,2,290,77,50,137,,,,,
13034,格伦,4,49.1,9.2,5.3,2,493,93,54,156,,,,,
13035,格伦,5,70.8,11.9,5.5,2,713,120,56,175,,,,,
13036,格伦,6,160.3,20.5,5.7,2,1608,206,58,194,,,,,
13045,卡尔玛,5,80.1,16.8,5.3,2,806,169,54,198,,,,,
13046,卡尔玛,6,147.4,24.8,5.5,2,1478,249,56,194,,,,,
14013,毒舌,3,28.9,7,5.1,2,293,71,52,173,,,,,
14024,敛骨者,4,45.6,9.8,5.3,2,458,99,54,192,,,,,
14025,敛骨者,5,65.8,12.8,5.5,2,660,129,56,211,,,,,
14026,敛骨者,6,149.1,22,5.7,2,1492,221,58,230,,,,,
14035,鲁特兹,5,92.1,15.7,5.5,2,926,158,56,213,,,,,
14036,鲁特兹,6,155.6,22,5.7,2,1559,221,58,230,,,,,
14045,沃尔特,5,89.1,16.2,5.5,2,892,163,56,215,,,,,
14046,沃尔特,6,175,24.6,5.7,2,1752,247,58,232,,,,,
15014,巴博,4,52.8,8.5,5.3,2,529,86,54,176,,,,,
15015,巴博,5,60.9,11.1,5.5,2,612,112,56,195,,,,,
15024,兰姆,4,52.8,8.5,5.3,2,531,86,54,172,,,,,
15025,兰姆,5,76.2,11.1,5.5,2,765,112,56,191,,,,,
15035,菲尔德,5,105.1,13.6,5.6,2,1056,137,57,197,,,,,
15036,菲尔德,6,194.5,19.8,6.1,2,1950,199,62,214,,,,,
21014,风暴战斧,4,64.2,6,6.2,2,646,61,63,183,,,,,
21015,风暴战斧,5,75.7,8,6.4,2,761,81,65,202,,,,,
21024,钢铁斑比,4,64.2,6,6.2,2,646,61,63,187,,,,,
21025,钢铁斑比,5,92.6,7.8,6.4,2,930,79,65,206,,,,,
21034,克里斯蒂安,4,49.1,7.2,6.2,2,492,73,63,185,,,,,
21035,克里斯蒂安,5,70.8,9.4,6.4,2,710,95,65,206,,,,,
21036,克里斯蒂安,6,186.5,16.8,6.6,2,1870,169,67,221,,,,,
21045,荣耀守卫,5,113.9,9.6,6.4,2,1141,97,65,203,,,,,
21046,荣耀守卫,6,209.6,13.5,6.7,2,2100,136,68,221,,,,,
22012,灰袍法师,2,16.3,6.4,5.3,2,164,65,54,127,,,,,
22024,时间法师,4,38.6,10.5,5.7,2,390,106,58,167,,,,,
22025,时间法师,5,44.5,13.6,5.9,2,446,137,60,184,,,,,
22034,塞拉,4,38.6,10.5,5.7,2,389,106,58,165,,,,,
22035,塞拉,5,55.6,13.6,5.9,2,561,137,60,183,,,,,
22036,塞拉,6,122.1,20.5,6.1,2,1222,206,62,201,,,,,
22045,布利,5,68.4,16.8,5.9,2,687,169,60,186,,,,,
22046,布利,6,126,23.5,6.1,2,1265,236,62,203,,,,,
22055,OD-01,5,92.2,13.2,6.4,2,926,133,65,188,,,,,
22056,OD-01,6,183.5,18.7,6.6,2,1836,188,67,205,,,,,
23013,雷吉,3,24.4,7.6,5.5,2,248,77,56,137,,,,,
23023,泰拉的仆人,3,26.5,6.6,5.7,2,269,67,58,137,,,,,
23035,奥玛斯,5,74.3,14.7,6.1,2,745,148,62,179,,,,,
23036,奥玛斯,6,136.8,20.5,6.3,2,1373,206,64,192,,,,,
24013,卡佛,3,31.1,5.1,5.9,2,312,52,60,173,,,,,
24024,罗伊,4,38.8,9.8,5.9,2,392,99,60,192,,,,,
24025,罗伊,5,55.9,12.8,6.1,2,564,129,62,211,,,,,
24026,罗伊,6,126.6,22,6.3,2,1268,221,64,230,,,,,
24035,幻影,5,80.4,13.6,6.1,2,807,137,62,213,,,,,
24036,幻影,6,147.9,19.1,6.3,2,1480,192,64,230,,,,,
25011,老矿工,1,16.2,3.9,5.3,2,165,40,54,117,,,,,
25023,火拳,3,28.7,6.1,5.7,2,290,62,58,155,,,,,
25033,MK-05,3,31.1,5.1,5.9,2,316,52,60,155,,,,,
25044,烈酒,4,45.3,8.5,5.9,2,454,86,60,176,,,,,
25045,烈酒,5,65.3,11.1,6.1,2,658,112,62,195,,,,,
25054,LM-02,4,45.3,8.5,5.9,2,457,86,60,174,,,,,
25055,LM-02,5,65.3,11.1,6.1,2,656,112,62,197,,,,,
25065,冰闪,5,87.1,11.5,6.4,2,873,116,65,197,,,,,
