道具ID,是否叠加,道具名称,道具类型,描述类型,背包分类,道具品质,途径,道具图标,小图标,道具星级,种族,道具描述,特殊字段,掉落组,使用等级,合成数量,合成指定英雄ID
1000,1,10级礼包,1,1,2,5,,item_1000,,,,测试用，10级开启，可获得大量奖励,,"""1000_01"",""1000_02"",""1000_03""",10,,
1001,1,悬赏卷轴,1,1,2,3,"4,26",item_1001,,,,使用后可以获得1000点悬赏积分,,"""1001""",,,
1002,1,橙色3星装备礼包,1,1,2,4,,item_1002,,,,使用后随机获得1件橙色品质3星的装备,,"""1002""",,,
1003,1,红色1星装备礼包,1,1,2,5,,item_1003,,,,使用后随机获得1件红色品质1星的装备,,"""1003""",,,
1004,1,贵族经验,1,1,2,4,,vipexp,,,,使用后可以获得10点贵族经验,,"""1004""",,,
1005,1,公会王者头像框,6,1,2,4,,head_03,,,,使用后可激活《公会王者》专属头像框7天,"""headborder"",""3"",604800",,,,
1006,1,稀有雕文宝箱,1,1,2,2,,item_1006,,,,使用后随机获得绿色、蓝色、紫色品质雕文,,"""1006""",,,
1007,1,史诗雕文宝箱,1,1,2,3,,item_1007,,,,使用后随机获得蓝色、紫色、橙色品质雕文,,"""1007""",,,
1008,1,传说雕文宝箱,1,1,2,4,,item_1008,,,,使用后随机获得橙色、红色品质雕文,,"""1008""",,,
1009,1,永恒雕文宝箱,1,1,2,5,,item_1009,,,,使用后必定获得红色品质雕文,,"""1009""",,,
1010,1,幸运之星礼包,1,1,2,2,,item_1010,,,,竞猜王者获取，内含普通雕文宝箱*1，金币*200000，雕文精华*100,,"""1010_1"",""1010_2"",""1010_3""",,,
1011,1,加油助威礼包,1,1,2,3,,item_1011,,,,竞猜王者获取，内含稀有雕文宝箱*1，金币*500000，雕文精华*200,,"""1011_1"",""1011_2"",""1011_3""",,,
1012,1,天命王者礼包,1,1,2,4,,item_1012,,,,竞猜王者获取，内含稀有雕文宝箱*2，金币*800000，雕文精华*400,,"""1012_1"",""1012_2"",""1012_3""",,,
1013,1,荣耀王者聊天框,6,1,2,4,,chat_03,,,,使用后可激活《荣耀王者》专属聊天框7天,"""chatborder"",""3"",604800",,,,
1014,1,巅峰王者聊天框,6,1,2,5,,chat_04,,,,使用后可激活《巅峰王者》专属聊天框7天,"""chatborder"",""4"",604800",,,,
2000,1,荣誉点,2,1,2,3,11,item_2000,token_ryd,,,参与竞技场挑战获取，可以用于购买竞技商店商品,,,,,
2001,1,灵魂石,2,1,2,3,27,item_2001,token_lhs,,,分解英雄可以获取，用于购买英雄商店商品,,,,,
2002,1,远征军声望,2,1,2,3,7,item_2002,token_yzjsw,,,参与十字军远征获取，可以用于购买远征商店商品,,,,,
2003,1,公会贡献,2,1,2,3,10,item_2003,token_ghgx,,,参与公会活动获取，可以用于购买公会商店商品,,,,,
2004,1,勇气徽章,2,1,2,4,"1,15,4,9",item_2004,token_hz,,,勇气的证明，用于英雄的进阶和升星,,,,,
2005,1,孔雀石,2,1,2,4,"1,3,17,26",item_2005,token_bs,,,精美的孔雀石，是强化宝石的重要材料,,,,,
2006,1,竞技挑战券,2,1,2,3,"12,4,6,14,26",item_2006,token_tzj,,,参与竞技挑战的通行证,,,,,
2007,1,转盘币,2,1,2,3,"13,4,6,14,26",item_2007,token_ptyb,,,一枚精美的转盘币，可以用于在魔法转盘抽取奖励,,,,,
2008,1,超级转盘币,2,1,2,4,"20,6,26",item_2008,token_gjyb,,,一枚华贵的转盘币，可以用于在高级魔法转盘抽取奖励,,,,,
2009,1,召唤印记,2,1,2,3,"4,6",item_2009,token_zhyj,,,烙印着神秘法阵的印记，可以用于在召唤祭祀中抽取奖励,,,,,
2010,1,先祖印记,2,1,2,4,"4,6,20,26",item_2010,token_xzyj,,,烙印着古老先祖图腾的印记，可以用于在先祖祭祀中抽取奖励,,,,,
2011,1,召唤卷,2,1,2,4,"4,6,20,19,26",item_2011,token_gs,,,极其强大的召唤卷，可以在召唤之书内使用，定向召唤指定种族的高级英雄,,,,,
2012,1,置换精华,2,1,2,3,"4,6,8,19,26",item_2012,token_jh,,,可以用于在召唤之书置换英雄，将4、5星英雄置换为同星级同种族的其他英雄,,,,,
2013,1,友情印记,2,1,2,3,21,item_2013,token_yqyj,,,烙印着英雄友谊的印记，可以用于在幸运祭祀中抽取奖励,,,,,
2014,1,悬赏刷新券,2,1,2,4,29,item_2014,token_xssx,,,兄弟会发布的悬赏通行证，使用后可以代替钻石刷新悬赏任务,,,,,
2015,1,转盘积分,2,1,2,4,3,item_2015,token_xyjf,,,听说在魔法转盘抽奖的人都能获得幸运，能在转盘商店购买商品,,,,,
2016,1,马戏团奖券,2,1,2,4,,item_2016,token_mxtjq,,,一群和平爱好者组办的集会，听说可以用奖券兑换大量丰厚奖品,,,,,
2017,1,精铁,2,1,2,3,"17,25",item_2017,token_jt,,,升级神器属性的重要材料，传说100斤重铁方可炼化1斤精铁,,,,,
2018,1,龙钢,2,1,2,4,"17,25",item_2018,token_ly,,,升级神器技能的重要材料，只有常年受龙息喷吐的陨石才有可能化为龙钢,,,,,
2019,1,军功,2,1,2,3,35,item_2019,token_jg,,,与外域强者争霸方可获得的荣誉奖励，可以兑换大量稀有道具,,,,,
2020,1,召唤卷残页,2,1,2,3,8,item_2020,token_sjsjj,,,召唤卷消耗后，余留下来的残片，可用于召唤之书商店兑换任意稀有英雄,,,,,
2021,1,攻击之魂,2,1,2,4,"1,36",item_2021,token_gjzh,,,这块魂石中容纳着令人颤栗的气息，将它的力量融入到英雄的灵魂中可以提升英雄的攻击,,,,,
2022,1,生命之魂,2,1,2,4,"1,36",item_2022,token_smzh,,,这块魂石中容纳着强大的生命气息，将它的力量融入到英雄的灵魂中可以提升英雄的生命,,,,,
2023,1,永恒置换精华,2,1,2,4,,item_2023,token_yhjh,,,相比置换精华，这个精华中容纳着更强大的永恒之力，可以用于转换10星英雄。,,,,,
2024,1,雕文精华,2,1,2,4,,item_2024,token_dwjh,,,精炼雕文后，雕文分解出来的精华部分，可以用于强化升级雕文。,,,,,
3001,1,蓝色饰品碎片,3,1,3,2,,item_3001,,,,筹齐20个碎片可合成随机蓝色饰品,,"""3001""",,20,
3002,1,紫色饰品碎片,3,1,3,3,"1,16",item_3002,,,,筹齐30个碎片可合成随机紫色饰品,,"""3002""",,30,
3003,1,橙色饰品碎片,3,1,3,4,"7,3,16",item_3003,,,,筹齐50个碎片可合成随机橙色饰品,,"""3003""",,50,
3004,1,红色饰品碎片,3,1,3,5,26,item_3004,,,,筹齐100个碎片可合成随机红色饰品,,"""3004""",,100,
3005,1,橙色专属饰品碎片,3,1,3,4,"16,28",item_3005,,,,筹齐50个碎片可合成随机橙色种族专属饰品,,"""3005""",,50,
3006,1,红色专属饰品碎片,3,1,3,5,,item_3006,,,,筹齐100个碎片可合成随机红色种族专属饰品,,"""3006""",,100,
4001,1,三星英雄碎片,4,1,3,2,"4,9",hero_3,,3,,集齐20个碎片可召唤三星英雄,,"""4001""",,20,
4002,1,四星英雄碎片,4,1,3,3,"4,9,6",hero_4,,4,,集齐30个碎片可召唤四星英雄,,"""4002""",,30,
4003,1,四星亡灵碎片,4,1,3,3,6,hero_4,,4,1,集齐30个碎片可召唤亡灵阵营四星英雄,,"""4003""",,30,
4004,1,四星奥术碎片,4,1,3,3,6,hero_4,,4,2,集齐30个碎片可召唤奥术阵营四星英雄,,"""4004""",,30,
4005,1,四星邪能碎片,4,1,3,3,6,hero_4,,4,3,集齐30个碎片可召唤邪能阵营四星英雄,,"""4005""",,30,
4006,1,四星自然碎片,4,1,3,3,6,hero_4,,4,4,集齐30个碎片可召唤自然阵营四星英雄,,"""4006""",,30,
4007,1,四星暗影碎片,4,1,3,3,6,hero_4,,4,5,集齐30个碎片可召唤暗影阵营四星英雄,,"""4007""",,30,
4008,1,四星光明碎片,4,1,3,3,6,hero_4,,4,6,集齐30个碎片可召唤神圣阵营四星英雄,,"""4008""",,30,
4009,1,五星英雄碎片,4,1,3,4,"1,15,6,8,26",hero_5,,5,,集齐50个碎片可召唤五星英雄,,"""4009""",,50,
4010,1,五星亡灵碎片,4,1,3,4,6,hero_5,,5,1,集齐50个碎片可召唤亡灵阵营五星英雄,,"""4010""",,50,
4011,1,五星奥术碎片,4,1,3,4,6,hero_5,,5,2,集齐50个碎片可召唤奥术阵营五星英雄,,"""4011""",,50,
4012,1,五星邪能碎片,4,1,3,4,6,hero_5,,5,3,集齐50个碎片可召唤邪能阵营五星英雄,,"""4012""",,50,
4013,1,五星自然碎片,4,1,3,4,6,hero_5,,5,4,集齐50个碎片可召唤自然阵营五星英雄,,"""4013""",,50,
4014,1,五星暗影碎片,4,1,3,4,"8,6",hero_5,,5,5,集齐50个碎片可召唤暗影阵营五星英雄,,"""4014""",,50,
4015,1,五星光明碎片,4,1,3,4,"8,6",hero_5,,5,6,集齐50个碎片可召唤神圣阵营五星英雄,,"""4015""",,50,
4016,1,六星英雄碎片(内网),4,1,3,5,,hero_6,,6,,集齐100个碎片可召唤六星英雄,,"""4016""",,100,
4017,1,六星亡灵碎片(内网),4,1,3,5,,hero_6,,6,1,集齐100个碎片可召唤亡灵阵营六星英雄,,"""4017""",,100,
4018,1,六星奥术碎片(内网),4,1,3,5,,hero_6,,6,2,集齐100个碎片可召唤奥术阵营六星英雄,,"""4018""",,100,
4019,1,六星邪能碎片(内网),4,1,3,5,,hero_6,,6,3,集齐100个碎片可召唤邪能阵营六星英雄,,"""4019""",,100,
4020,1,六星自然碎片(内网),4,1,3,5,,hero_6,,6,4,集齐100个碎片可召唤自然阵营六星英雄,,"""4020""",,100,
4021,1,六星暗影碎片(内网),4,1,3,5,,hero_6,,6,5,集齐100个碎片可召唤暗影阵营六星英雄,,"""4021""",,100,
4022,1,六星光明碎片(内网),4,1,3,5,,hero_6,,6,6,集齐100个碎片可召唤神圣阵营六星英雄,,"""4022""",,100,
4023,1,五星光暗碎片,4,1,3,4,,hero_7,,5,,集齐50个碎片可随机召唤一名神圣或暗影英雄,,"""4023""",,50,
11011,1,软泥怪,4,1,3,0,,11011,,1,1,集齐5个碎片可召唤这名英雄,,"""11011""",,5,11011
11023,1,石像鬼,4,1,3,2,,11023,,3,1,集齐20个碎片可召唤这名英雄,,"""11023""",,20,11023
11033,1,獠牙猎手,4,1,3,2,,11033,,3,1,集齐20个碎片可召唤这名英雄,,"""11033""",,20,11033
11044,1,巨镰马洛萨,4,1,3,3,,11044,,4,1,集齐30个碎片可召唤这名英雄,,"""11044""",,30,11044
11045,1,巨镰马洛萨,4,1,3,4,,11045,,5,1,集齐50个碎片可召唤这名英雄,,"""11045""",,50,11045
11054,1,骷髅王扎卡,4,1,3,3,,11054,,4,1,集齐30个碎片可召唤这名英雄,,"""11054""",,30,11054
11055,1,骷髅王扎卡,4,1,3,4,,11055,,5,1,集齐50个碎片可召唤这名英雄,,"""11055""",,50,11055
11064,1,缝合收割者,4,1,3,3,,11064,,4,1,集齐30个碎片可召唤这名英雄,,"""11064""",,30,11064
11065,1,缝合收割者,4,1,3,4,,11065,,5,1,集齐50个碎片可召唤这名英雄,,"""11065""",,50,11065
11075,1,冰霜骨龙,4,1,3,4,,11075,,5,1,集齐50个碎片可召唤这名英雄,,"""11075""",,50,11075
11076,1,冰霜骨龙,4,1,3,5,,11076,,6,1,集齐100个碎片可召唤这名英雄,,"""11076""",,100,11076
11085,1,亡灵领主,4,1,3,4,,11085,,5,1,集齐50个碎片可召唤这名英雄,,"""11085""",,50,11085
11086,1,亡灵领主,4,1,3,5,,11086,,6,1,集齐100个碎片可召唤这名英雄,,"""11086""",,100,11086
12013,1,噩梦女妖,4,1,3,2,,12013,,3,1,集齐20个碎片可召唤这名英雄,,"""12013""",,20,12013
12024,1,幽暗大法师,4,1,3,3,,12024,,4,1,集齐30个碎片可召唤这名英雄,,"""12024""",,30,12024
12025,1,幽暗大法师,4,1,3,4,,12025,,5,1,集齐50个碎片可召唤这名英雄,,"""12025""",,50,12025
12026,1,幽暗大法师,4,1,3,5,,12026,,6,1,集齐100个碎片可召唤这名英雄,,"""12026""",,100,12026
12035,1,血衣骨法,4,1,3,4,,12035,,5,1,集齐50个碎片可召唤这名英雄,,"""12035""",,50,12035
12036,1,血衣骨法,4,1,3,5,,12036,,6,1,集齐100个碎片可召唤这名英雄,,"""12036""",,100,12036
13012,1,亡灵侍卫,4,1,3,1,,13012,,2,1,集齐10个碎片可召唤这名英雄,,"""13012""",,10,13012
13023,1,黑暗牧师,4,1,3,2,,13023,,3,1,集齐20个碎片可召唤这名英雄,,"""13023""",,20,13023
13034,1,凋零法师,4,1,3,3,,13034,,4,1,集齐30个碎片可召唤这名英雄,,"""13034""",,30,13034
13035,1,凋零法师,4,1,3,4,,13035,,5,1,集齐50个碎片可召唤这名英雄,,"""13035""",,50,13035
13036,1,凋零法师,4,1,3,5,,13036,,6,1,集齐100个碎片可召唤这名英雄,,"""13036""",,100,13036
13045,1,亡魂医者,4,1,3,4,,13045,,5,1,集齐50个碎片可召唤这名英雄,,"""13045""",,50,13045
13046,1,亡魂医者,4,1,3,5,,13046,,6,1,集齐100个碎片可召唤这名英雄,,"""13046""",,100,13046
14013,1,食尸鬼,4,1,3,2,,14013,,3,1,集齐20个碎片可召唤这名英雄,,"""14013""",,20,14013
14024,1,暗影收割者,4,1,3,3,,14024,,4,1,集齐30个碎片可召唤这名英雄,,"""14024""",,30,14024
14025,1,暗影收割者,4,1,3,4,,14025,,5,1,集齐50个碎片可召唤这名英雄,,"""14025""",,50,14025
14026,1,暗影收割者,4,1,3,5,,14026,,6,1,集齐100个碎片可召唤这名英雄,,"""14026""",,100,14026
14035,1,死亡刺客,4,1,3,4,,14035,,5,1,集齐50个碎片可召唤这名英雄,,"""14035""",,50,14035
14036,1,死亡刺客,4,1,3,5,,14036,,6,1,集齐100个碎片可召唤这名英雄,,"""14036""",,100,14036
14045,1,幽冥狼王,4,1,3,4,,14045,,5,1,集齐50个碎片可召唤这名英雄,,"""14045""",,50,14045
14046,1,幽冥狼王,4,1,3,5,,14046,,6,1,集齐100个碎片可召唤这名英雄,,"""14046""",,100,14046
15014,1,鲜血女王,4,1,3,3,,15014,,4,1,集齐30个碎片可召唤这名英雄,,"""15014""",,30,15014
15015,1,鲜血女王,4,1,3,4,,15015,,5,1,集齐50个碎片可召唤这名英雄,,"""15015""",,50,15015
15024,1,地穴领主,4,1,3,3,,15024,,4,1,集齐30个碎片可召唤这名英雄,,"""15024""",,30,15024
15025,1,地穴领主,4,1,3,4,,15025,,5,1,集齐50个碎片可召唤这名英雄,,"""15025""",,50,15025
15035,1,暗影猎手,4,1,3,4,,15035,,5,1,集齐50个碎片可召唤这名英雄,,"""15035""",,50,15035
15036,1,暗影猎手,4,1,3,5,,15036,,6,1,集齐100个碎片可召唤这名英雄,,"""15036""",,100,15036
21014,1,山丘领主,4,1,3,3,,21014,,4,2,集齐30个碎片可召唤这名英雄,,"""21014""",,30,21014
21015,1,山丘领主,4,1,3,4,,21015,,5,2,集齐50个碎片可召唤这名英雄,,"""21015""",,50,21015
21024,1,山岩巨人,4,1,3,3,,21024,,4,2,集齐30个碎片可召唤这名英雄,,"""21024""",,30,21024
21025,1,山岩巨人,4,1,3,4,,21025,,5,2,集齐50个碎片可召唤这名英雄,,"""21025""",,50,21025
21034,1,奥丁战神,4,1,3,3,,21034,,4,2,集齐30个碎片可召唤这名英雄,,"""21034""",,30,21034
21035,1,奥丁战神,4,1,3,4,,21035,,5,2,集齐50个碎片可召唤这名英雄,,"""21035""",,50,21035
21036,1,奥丁战神,4,1,3,5,,21036,,6,2,集齐100个碎片可召唤这名英雄,,"""21036""",,100,21036
21045,1,暴风领主,4,1,3,4,,21045,,5,2,集齐50个碎片可召唤这名英雄,,"""21045""",,50,21045
21046,1,暴风领主,4,1,3,5,,21046,,6,2,集齐100个碎片可召唤这名英雄,,"""21046""",,100,21046
22012,1,虚灵飞龙,4,1,3,1,,22012,,2,2,集齐10个碎片可召唤这名英雄,,"""22012""",,10,22012
22024,1,火焰凤凰,4,1,3,3,,22024,,4,2,集齐30个碎片可召唤这名英雄,,"""22024""",,30,22024
22025,1,火焰凤凰,4,1,3,4,,22025,,5,2,集齐50个碎片可召唤这名英雄,,"""22025""",,50,22025
22034,1,寒冰法师,4,1,3,3,,22034,,4,2,集齐30个碎片可召唤这名英雄,,"""22034""",,30,22034
22035,1,寒冰法师,4,1,3,4,,22035,,5,2,集齐50个碎片可召唤这名英雄,,"""22035""",,50,22035
22036,1,寒冰法师,4,1,3,5,,22036,,6,2,集齐100个碎片可召唤这名英雄,,"""22036""",,100,22036
22045,1,守望法师,4,1,3,4,,22045,,5,2,集齐50个碎片可召唤这名英雄,,"""22045""",,50,22045
22046,1,守望法师,4,1,3,5,,22046,,6,2,集齐100个碎片可召唤这名英雄,,"""22046""",,100,22046
22055,1,冰蓝巨龙,4,1,3,4,,22055,,5,2,集齐50个碎片可召唤这名英雄,,"""22055""",,50,22055
22056,1,冰蓝巨龙,4,1,3,5,,22056,,6,2,集齐100个碎片可召唤这名英雄,,"""22056""",,100,22056
