活动开启天数,所属标签,活动id,活动标题,奖励,活动最大进度,活动条件,活动类型,领奖消耗,消耗折扣,领奖vip限制
1,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":100},{""a"":""item"",""t"":""2004"",""n"":100}",1,,1,,10,0
1,1,2,开服累计充值100元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":500},{""a"":""item"",""t"":""2004"",""n"":500}",100,,2,,10,0
1,2,3,探险关卡通关第10关,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2004"",""n"":30}",10,,11,,10,0
1,2,4,探险关卡通关第20关,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2004"",""n"":30}",20,,11,,10,0
1,2,5,探险关卡通关第30关,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2004"",""n"":30}",30,,11,,10,0
1,2,6,探险关卡通关第45关,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2004"",""n"":50}",45,,11,,10,0
1,2,7,探险关卡通关第60关,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2004"",""n"":50}",60,,11,,10,0
1,3,8,赠送好友5次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""23013"",""n"":20}",5,,12,,10,0
1,3,9,赠送好友10次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""24013"",""n"":20}",10,,12,,10,0
1,3,10,赠送好友20次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""23023"",""n"":20}",20,,12,,10,0
1,3,11,赠送好友30次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""25033"",""n"":20}",30,,12,,10,0
1,3,12,赠送好友50次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""31023"",""n"":20}",50,,12,,10,0
1,4,13,全民半价,"{""a"":""item"",""t"":""22034"",""n"":30}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":600}",5,0
1,4,14,VIP1半价,"{""a"":""item"",""t"":""2004"",""n"":500}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":300}",5,1
2,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":150},{""a"":""item"",""t"":""2010"",""n"":1}",1,,1,,10,0
2,1,2,开服累计充值200元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1000},{""a"":""item"",""t"":""2005"",""n"":1000}",200,,2,,10,0
2,2,3,巨龙神殿达到20层,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2014"",""n"":2}",20,,13,,10,0
2,2,4,巨龙神殿达到30层,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2014"",""n"":2}",30,,13,,10,0
2,2,5,巨龙神殿达到50层,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2014"",""n"":2}",50,,13,,10,0
2,2,6,巨龙神殿达到70层,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2014"",""n"":4}",70,,13,,10,0
2,2,7,巨龙神殿达到90层,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2014"",""n"":4}",90,,13,,10,0
2,3,8,英雄祭坛先祖招募3次,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2005"",""n"":100}",3,,14,,10,0
2,3,9,英雄祭坛先祖招募5次,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2005"",""n"":100}",5,,14,,10,0
2,3,10,英雄祭坛先祖招募10次,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2005"",""n"":100}",10,,14,,10,0
2,3,11,英雄祭坛先祖招募30次,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2005"",""n"":200}",30,,14,,10,0
2,3,12,英雄祭坛先祖招募50次,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2005"",""n"":200}",50,,14,,10,0
2,4,13,全民半价,"{""a"":""item"",""t"":""2010"",""n"":4}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1000}",5,0
2,4,14,VIP2半价,"{""a"":""item"",""t"":""2010"",""n"":10}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":2500}",5,2
3,1,1,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":200},{""a"":""item"",""t"":""2006"",""n"":5}",1,,1,,10,0
3,1,2,开服累计充值500元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1500},{""a"":""item"",""t"":""2008"",""n"":1}",500,,2,,10,0
3,2,3,自由竞技场积分达到1100分,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2007"",""n"":1}",1100,,15,,10,0
3,2,4,自由竞技场积分达到1200分,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2007"",""n"":1}",1200,,15,,10,0
3,2,5,自由竞技场积分达到1300分,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2007"",""n"":1}",1300,,15,,10,0
3,2,6,自由竞技场积分达到1450分,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2007"",""n"":2}",1450,,15,,10,0
