试炼类型,试炼编号,试炼难度,推荐战力,开启等级,奖励,关卡怪物,战斗地图
jinbi,1,简单,2500,20,"{""a"":""attr"",""t"":""jinbi"",""n"":90000},{""a"":""item"",""t"":""2005"",""n"":20}",18,zhandou_3.jpg
jinbi,2,普通,7000,35,"{""a"":""attr"",""t"":""jinbi"",""n"":120000},{""a"":""item"",""t"":""2005"",""n"":25}",33,zhandou_4.jpg
jinbi,3,困难,14000,55,"{""a"":""attr"",""t"":""jinbi"",""n"":150000},{""a"":""item"",""t"":""2005"",""n"":30}",53,zhandou_5.jpg
jinbi,4,地狱,28000,70,"{""a"":""attr"",""t"":""jinbi"",""n"":200000},{""a"":""item"",""t"":""2005"",""n"":40}",68,zhandou_6.jpg
jinbi,5,深渊,40000,85,"{""a"":""attr"",""t"":""jinbi"",""n"":250000},{""a"":""item"",""t"":""2005"",""n"":50}",83,zhandou_7.jpg
jinbi,6,深渊2,60000,100,"{""a"":""attr"",""t"":""jinbi"",""n"":300000},{""a"":""item"",""t"":""2005"",""n"":60}",98,zhandou_8.jpg
jinbi,7,深渊3,85000,115,"{""a"":""attr"",""t"":""jinbi"",""n"":400000},{""a"":""item"",""t"":""2005"",""n"":70}",113,zhandou_1.jpg
jinbi,8,深渊4,130000,145,"{""a"":""attr"",""t"":""jinbi"",""n"":500000},{""a"":""item"",""t"":""2005"",""n"":80}",143,zhandou_2.jpg
jinbi,9,深渊5,200000,180,"{""a"":""attr"",""t"":""jinbi"",""n"":600000},{""a"":""item"",""t"":""2005"",""n"":90}",178,zhandou_3.jpg
exp,1,简单,2500,25,"{""a"":""attr"",""t"":""useexp"",""n"":30000},{""a"":""item"",""t"":""2004"",""n"":15}",23,zhandou_4.jpg
exp,2,普通,7000,40,"{""a"":""attr"",""t"":""useexp"",""n"":50000},{""a"":""item"",""t"":""2004"",""n"":20}",38,zhandou_5.jpg
exp,3,困难,14000,60,"{""a"":""attr"",""t"":""useexp"",""n"":75000},{""a"":""item"",""t"":""2004"",""n"":25}",58,zhandou_6.jpg
exp,4,地狱,28000,75,"{""a"":""attr"",""t"":""useexp"",""n"":100000},{""a"":""item"",""t"":""2004"",""n"":30}",73,zhandou_7.jpg
exp,5,深渊,40000,90,"{""a"":""attr"",""t"":""useexp"",""n"":125000},{""a"":""item"",""t"":""2004"",""n"":35}",88,zhandou_8.jpg
exp,6,深渊2,60000,105,"{""a"":""attr"",""t"":""useexp"",""n"":160000},{""a"":""item"",""t"":""2004"",""n"":40}",103,zhandou_1.jpg
exp,7,深渊3,85000,120,"{""a"":""attr"",""t"":""useexp"",""n"":200000},{""a"":""item"",""t"":""2004"",""n"":50}",118,zhandou_2.jpg
exp,8,深渊4,130000,150,"{""a"":""attr"",""t"":""useexp"",""n"":300000},{""a"":""item"",""t"":""2004"",""n"":60}",148,zhandou_3.jpg
exp,9,深渊5,200000,185,"{""a"":""attr"",""t"":""useexp"",""n"":400000},{""a"":""item"",""t"":""2004"",""n"":70}",183,zhandou_4.jpg
hero,1,简单,2500,30,"{""a"":""item"",""t"":""4001"",""n"":10},{""a"":""item"",""t"":""4002"",""n"":2}",28,zhandou_5.jpg
hero,2,普通,7000,45,"{""a"":""item"",""t"":""4001"",""n"":20},{""a"":""item"",""t"":""4002"",""n"":5}",43,zhandou_6.jpg
hero,3,困难,14000,65,"{""a"":""item"",""t"":""4001"",""n"":20},{""a"":""item"",""t"":""4002"",""n"":10}",63,zhandou_7.jpg
hero,4,地狱,28000,80,"{""a"":""item"",""t"":""4001"",""n"":20},{""a"":""item"",""t"":""4002"",""n"":15}",78,zhandou_8.jpg
hero,5,深渊,40000,95,"{""a"":""item"",""t"":""4001"",""n"":20},{""a"":""item"",""t"":""4002"",""n"":20}",93,zhandou_1.jpg
hero,6,深渊2,60000,110,"{""a"":""item"",""t"":""4001"",""n"":30},{""a"":""item"",""t"":""4002"",""n"":25}",108,zhandou_2.jpg
hero,7,深渊3,85000,125,"{""a"":""item"",""t"":""4001"",""n"":30},{""a"":""item"",""t"":""4002"",""n"":30}",123,zhandou_3.jpg
hero,8,深渊4,130000,155,"{""a"":""item"",""t"":""4002"",""n"":30},{""a"":""item"",""t"":""4009"",""n"":2}",153,zhandou_4.jpg
hero,9,深渊5,200000,190,"{""a"":""item"",""t"":""4002"",""n"":35},{""a"":""item"",""t"":""4009"",""n"":3}",188,zhandou_5.jpg
