NPC编号,NPC头像,位置,NPC等级,英雄ID,阶位,属性,放大系数
1,11011,1,1,11011,0,"""atk"":0.39,""hp"":0.5",1
1,,2,1,11011,0,"""atk"":0.39,""hp"":0.399",1
2,43012,1,1,43012,0,"""atk"":0.429,""hp"":0.429",1
2,43012,2,1,43012,0,"""atk"":0.429,""hp"":0.429",1
3,13012,1,2,13012,0,"""atk"":0.46,""hp"":0.46",1
3,13012,2,2,13012,0,"""atk"":0.46,""hp"":0.46",1
4,31012,1,2,31012,0,"""atk"":0.49,""hp"":0.49",1
4,31012,2,2,31012,0,"""atk"":0.49,""hp"":0.49",1
5,43012,1,3,43012,0,"""atk"":0.52,""hp"":0.546",1
5,43012,5,3,22012,0,"""atk"":0.52,""hp"":0.546",1
5,43012,6,3,25011,0,"""atk"":0.52,""hp"":0.546",1
6,11011,1,3,11011,0,"""atk"":0.55,""hp"":0.55",1
6,11011,5,3,25011,0,"""atk"":0.55,""hp"":0.55",1
6,11011,6,3,13012,0,"""atk"":0.55,""hp"":0.55",1
7,43012,1,4,43012,0,"""atk"":0.58,""hp"":0.58",1
7,43012,4,4,22012,0,"""atk"":0.58,""hp"":0.58",1
7,43012,5,4,25011,0,"""atk"":0.58,""hp"":0.58",1
7,43012,6,4,32011,0,"""atk"":0.58,""hp"":0.58",1
8,31012,1,4,31012,0,"""atk"":0.61,""hp"":0.61",1
8,31012,4,4,44011,0,"""atk"":0.61,""hp"":0.61",1
8,31012,5,4,32011,0,"""atk"":0.61,""hp"":0.61",1
8,31012,6,4,25011,0,"""atk"":0.61,""hp"":0.61",1
9,31012,1,5,31012,0,"""atk"":0.64,""hp"":0.64",1
9,31012,2,5,31012,0,"""atk"":0.64,""hp"":0.64",1
9,31012,4,5,32011,0,"""atk"":0.64,""hp"":0.64",1
9,31012,5,5,13012,0,"""atk"":0.64,""hp"":0.64",1
9,31012,6,5,13012,0,"""atk"":0.64,""hp"":0.64",1
10,31012,1,8,31012,0,"""atk"":0.837,""hp"":2.572",1.4
10,31012,3,8,44011,0,"""atk"":0.837,""hp"":2.572",1.4
10,31012,6,8,44011,0,"""atk"":0.837,""hp"":2.572",1.4
11,11011,1,7,11011,0,"""atk"":0.7,""hp"":0.7",1
11,11011,2,7,11011,0,"""atk"":0.7,""hp"":0.7",1
11,11011,3,7,22012,0,"""atk"":0.7,""hp"":0.7",1
11,11011,4,7,32011,0,"""atk"":0.7,""hp"":0.7",1
11,11011,5,7,13012,0,"""atk"":0.7,""hp"":0.7",1
11,11011,6,7,44011,0,"""atk"":0.7,""hp"":0.7",1
12,31012,1,8,31012,0,"""atk"":0.73,""hp"":0.73",1
12,31012,2,8,31012,0,"""atk"":0.73,""hp"":0.73",1
12,31012,3,8,13012,0,"""atk"":0.73,""hp"":0.73",1
12,31012,4,8,25011,0,"""atk"":0.73,""hp"":0.73",1
12,31012,5,8,13012,0,"""atk"":0.73,""hp"":0.73",1
12,31012,6,8,44011,0,"""atk"":0.73,""hp"":0.73",1
13,43012,1,9,43012,0,"""atk"":0.76,""hp"":0.76",1
13,43012,2,9,11011,0,"""atk"":0.76,""hp"":0.76",1
13,43012,3,9,22012,0,"""atk"":0.76,""hp"":0.76",1
13,43012,4,9,22012,0,"""atk"":0.76,""hp"":0.76",1
13,43012,5,9,44011,0,"""atk"":0.76,""hp"":0.76",1
13,43012,6,9,22012,0,"""atk"":0.76,""hp"":0.76",1
14,31012,1,10,31012,0,"""atk"":0.79,""hp"":0.79",1
14,31012,2,10,11011,0,"""atk"":0.79,""hp"":0.79",1
14,31012,3,10,13012,0,"""atk"":0.79,""hp"":0.79",1
14,31012,4,10,22012,0,"""atk"":0.79,""hp"":0.79",1
14,31012,5,10,32011,0,"""atk"":0.79,""hp"":0.79",1
14,31012,6,10,44011,0,"""atk"":0.79,""hp"":0.79",1
15,11011,1,11,11011,0,"""atk"":0.82,""hp"":0.861",1
15,11011,2,11,31012,0,"""atk"":0.82,""hp"":0.861",1
15,11011,3,11,22012,0,"""atk"":0.82,""hp"":0.861",1
15,11011,4,11,32011,0,"""atk"":0.82,""hp"":0.861",1
15,11011,5,11,32011,0,"""atk"":0.82,""hp"":0.861",1
15,11011,6,11,13012,0,"""atk"":0.82,""hp"":0.861",1
16,43012,1,12,43012,0,"""atk"":0.85,""hp"":0.85",1
16,43012,2,12,41023,0,"""atk"":0.85,""hp"":0.85",1
16,43012,3,12,43023,0,"""atk"":0.85,""hp"":0.85",1
16,43012,4,12,41013,0,"""atk"":0.85,""hp"":0.85",1
16,43012,5,12,45013,0,"""atk"":0.85,""hp"":0.85",1
16,43012,6,12,41013,0,"""atk"":0.85,""hp"":0.85",1
17,11033,1,13,11033,0,"""atk"":0.88,""hp"":0.88",1
17,11033,2,13,11023,0,"""atk"":0.88,""hp"":0.88",1
17,11033,3,13,12013,0,"""atk"":0.88,""hp"":0.88",1
17,11033,4,13,12013,0,"""atk"":0.88,""hp"":0.88",1
17,11033,5,13,13023,0,"""atk"":0.88,""hp"":0.88",1
17,11033,6,13,13023,0,"""atk"":0.88,""hp"":0.88",1
18,24013,1,14,24013,0,"""atk"":0.91,""hp"":0.91",1
18,24013,2,14,25033,0,"""atk"":0.91,""hp"":0.91",1
18,24013,3,14,23023,0,"""atk"":0.91,""hp"":0.91",1
18,24013,4,14,22012,0,"""atk"":0.91,""hp"":0.91",1
18,24013,5,14,22012,0,"""atk"":0.91,""hp"":0.91",1
18,24013,6,14,23023,0,"""atk"":0.91,""hp"":0.91",1
19,31033,1,15,31033,0,"""atk"":0.94,""hp"":0.94",1
19,31033,2,15,31023,0,"""atk"":0.94,""hp"":0.94",1
19,31033,3,15,31012,0,"""atk"":0.94,""hp"":0.94",1
19,31033,4,15,35023,0,"""atk"":0.94,""hp"":0.94",1
19,31033,5,15,35023,0,"""atk"":0.94,""hp"":0.94",1
19,31033,6,15,35013,0,"""atk"":0.94,""hp"":0.94",1
20,43012,1,16,43012,0,"""atk"":1.212,""hp"":3.724",1.4
20,43012,3,16,43023,0,"""atk"":1.212,""hp"":3.724",1.4
20,43012,6,16,41013,0,"""atk"":1.212,""hp"":3.724",1.4
21,11033,1,17,11033,0,"""atk"":1,""hp"":1",1
21,11033,2,17,11023,0,"""atk"":1,""hp"":1",1
21,11033,3,17,13012,0,"""atk"":1,""hp"":1",1
21,11033,4,17,13023,0,"""atk"":1,""hp"":1",1
21,11033,5,17,14013,0,"""atk"":1,""hp"":1",1
21,11033,6,17,12013,0,"""atk"":1,""hp"":1",1
22,25033,1,18,25033,0,"""atk"":1.002,""hp"":1.002",1
22,25033,2,18,25033,0,"""atk"":1.002,""hp"":1.002",1
22,25033,3,18,23013,0,"""atk"":1.002,""hp"":1.002",1
22,25033,4,18,23023,0,"""atk"":1.002,""hp"":1.002",1
22,25033,5,18,25023,0,"""atk"":1.002,""hp"":1.002",1
22,25033,6,18,22012,0,"""atk"":1.002,""hp"":1.002",1
23,31033,1,19,31033,0,"""atk"":1.005,""hp"":1.005",1
23,31033,2,19,31033,0,"""atk"":1.005,""hp"":1.005",1
23,31033,3,19,35013,0,"""atk"":1.005,""hp"":1.005",1
23,31033,4,19,31012,0,"""atk"":1.005,""hp"":1.005",1
23,31033,5,19,35013,0,"""atk"":1.005,""hp"":1.005",1
23,31033,6,19,32023,0,"""atk"":1.005,""hp"":1.005",1
24,43012,1,20,43012,0,"""atk"":1.007,""hp"":1.007",1
24,43012,2,20,41023,0,"""atk"":1.007,""hp"":1.007",1
24,43012,3,20,43023,0,"""atk"":1.007,""hp"":1.007",1
24,43012,4,20,43023,0,"""atk"":1.007,""hp"":1.007",1
24,43012,5,20,43023,0,"""atk"":1.007,""hp"":1.007",1
24,43012,6,20,45023,0,"""atk"":1.007,""hp"":1.007",1
25,11033,1,21,11033,0,"""atk"":1.01,""hp"":1.06",1
25,11033,2,21,11023,0,"""atk"":1.01,""hp"":1.06",1
25,11033,3,21,12013,0,"""atk"":1.01,""hp"":1.06",1
25,11033,4,21,13012,0,"""atk"":1.01,""hp"":1.06",1
25,11033,5,21,14013,0,"""atk"":1.01,""hp"":1.06",1
25,11033,6,21,14013,0,"""atk"":1.01,""hp"":1.06",1
26,25033,1,22,25033,1,"""atk"":1.012,""hp"":1.012",1
26,25033,2,22,24013,1,"""atk"":1.012,""hp"":1.012",1
26,25033,3,22,23013,1,"""atk"":1.012,""hp"":1.012",1
26,25033,4,22,23023,1,"""atk"":1.012,""hp"":1.012",1
26,25033,5,22,23023,1,"""atk"":1.012,""hp"":1.012",1
26,25033,6,22,23023,1,"""atk"":1.012,""hp"":1.012",1
27,31023,1,23,31023,1,"""atk"":1.015,""hp"":1.015",1
27,31023,2,23,31033,1,"""atk"":1.015,""hp"":1.015",1
27,31023,3,23,35023,1,"""atk"":1.015,""hp"":1.015",1
27,31023,4,23,31012,1,"""atk"":1.015,""hp"":1.015",1
27,31023,5,23,32023,1,"""atk"":1.015,""hp"":1.015",1
27,31023,6,23,35023,1,"""atk"":1.015,""hp"":1.015",1
28,41023,1,24,41023,1,"""atk"":1.017,""hp"":1.017",1
28,41023,2,24,41023,1,"""atk"":1.017,""hp"":1.017",1
28,41023,3,24,43023,1,"""atk"":1.017,""hp"":1.017",1
28,41023,4,24,41013,1,"""atk"":1.017,""hp"":1.017",1
28,41023,5,24,41013,1,"""atk"":1.017,""hp"":1.017",1
28,41023,6,24,45013,1,"""atk"":1.017,""hp"":1.017",1
29,11033,1,25,11033,1,"""atk"":1.02,""hp"":1.02",1
29,11033,2,25,11033,1,"""atk"":1.02,""hp"":1.02",1
29,11033,3,25,12013,1,"""atk"":1.02,""hp"":1.02",1
29,11033,4,25,13012,1,"""atk"":1.02,""hp"":1.02",1
29,11033,5,25,13023,1,"""atk"":1.02,""hp"":1.02",1
29,11033,6,25,12013,1,"""atk"":1.02,""hp"":1.02",1
30,25033,1,26,25033,1,"""atk"":1.278,""hp"":3.926",1.4
30,25033,3,26,23013,1,"""atk"":1.278,""hp"":3.926",1.4
30,25033,6,26,25023,1,"""atk"":1.278,""hp"":3.926",1.4
31,31033,1,27,31033,1,"""atk"":1.025,""hp"":1.025",1
31,31033,2,27,31023,1,"""atk"":1.025,""hp"":1.025",1
31,31033,3,27,32023,1,"""atk"":1.025,""hp"":1.025",1
31,31033,4,27,32023,1,"""atk"":1.025,""hp"":1.025",1
31,31033,5,27,35013,1,"""atk"":1.025,""hp"":1.025",1
31,31033,6,27,35023,1,"""atk"":1.025,""hp"":1.025",1
32,41023,1,28,41023,1,"""atk"":1.027,""hp"":1.027",1
32,41023,2,28,41023,1,"""atk"":1.027,""hp"":1.027",1
32,41023,3,28,45013,1,"""atk"":1.027,""hp"":1.027",1
32,41023,4,28,45013,1,"""atk"":1.027,""hp"":1.027",1
32,41023,5,28,41013,1,"""atk"":1.027,""hp"":1.027",1
32,41023,6,28,41013,1,"""atk"":1.027,""hp"":1.027",1
33,11023,1,29,11023,1,"""atk"":1.03,""hp"":1.03",1
33,11023,2,29,11023,1,"""atk"":1.03,""hp"":1.03",1
33,11023,3,29,12013,1,"""atk"":1.03,""hp"":1.03",1
33,11023,4,29,12013,1,"""atk"":1.03,""hp"":1.03",1
33,11023,5,29,13023,1,"""atk"":1.03,""hp"":1.03",1
33,11023,6,29,13012,1,"""atk"":1.03,""hp"":1.03",1
