神器ID,神器等级,神器名字,神器编号,攻击加成,生命加成
1,1,毁灭之刃,1,64,285
1,2,毁灭之刃,1,102,821
1,3,毁灭之刃,1,140,1357
1,4,毁灭之刃,1,178,1893
1,5,毁灭之刃,1,216,2429
1,6,毁灭之刃,1,254,2965
1,7,毁灭之刃,1,292,3501
1,8,毁灭之刃,1,330,4037
1,9,毁灭之刃,1,368,4573
1,10,毁灭之刃,1,406,5109
1,11,毁灭之刃,1,444,5645
1,12,毁灭之刃,1,482,6181
1,13,毁灭之刃,1,520,6717
1,14,毁灭之刃,1,558,7253
1,15,毁灭之刃,1,596,7789
1,16,毁灭之刃,1,634,8325
1,17,毁灭之刃,1,672,8861
1,18,毁灭之刃,1,710,9397
1,19,毁灭之刃,1,748,9933
1,20,毁灭之刃,1,786,10469
1,21,毁灭之刃,1,824,11005
1,22,毁灭之刃,1,862,11541
1,23,毁灭之刃,1,900,12077
1,24,毁灭之刃,1,938,12613
1,25,毁灭之刃,1,976,13149
1,26,毁灭之刃,1,1014,13685
1,27,毁灭之刃,1,1052,14221
1,28,毁灭之刃,1,1090,14757
1,29,毁灭之刃,1,1128,15293
1,30,毁灭之刃,1,1166,15829
1,31,毁灭之刃,1,1235,16886
1,32,毁灭之刃,1,1304,17943
1,33,毁灭之刃,1,1373,19000
1,34,毁灭之刃,1,1442,20057
1,35,毁灭之刃,1,1511,21114
1,36,毁灭之刃,1,1580,22171
1,37,毁灭之刃,1,1649,23228
1,38,毁灭之刃,1,1718,24285
1,39,毁灭之刃,1,1787,25342
1,40,毁灭之刃,1,1856,26399
1,41,毁灭之刃,1,1925,27456
1,42,毁灭之刃,1,1994,28513
1,43,毁灭之刃,1,2063,29570
1,44,毁灭之刃,1,2132,30627
1,45,毁灭之刃,1,2201,31684
1,46,毁灭之刃,1,2270,32741
1,47,毁灭之刃,1,2339,33798
1,48,毁灭之刃,1,2408,34855
1,49,毁灭之刃,1,2477,35912
1,50,毁灭之刃,1,2546,36969
1,51,毁灭之刃,1,2615,38026
1,52,毁灭之刃,1,2684,39083
1,53,毁灭之刃,1,2753,40140
1,54,毁灭之刃,1,2822,41197
1,55,毁灭之刃,1,2891,42254
1,56,毁灭之刃,1,2960,43311
1,57,毁灭之刃,1,3029,44368
1,58,毁灭之刃,1,3098,45425
1,59,毁灭之刃,1,3167,46482
1,60,毁灭之刃,1,3236,47539
1,61,毁灭之刃,1,3352,49300
1,62,毁灭之刃,1,3468,51061
1,63,毁灭之刃,1,3584,52822
1,64,毁灭之刃,1,3700,54583
1,65,毁灭之刃,1,3816,56344
1,66,毁灭之刃,1,3932,58105
1,67,毁灭之刃,1,4048,59866
1,68,毁灭之刃,1,4164,61627
1,69,毁灭之刃,1,4280,63388
1,70,毁灭之刃,1,4396,65149
1,71,毁灭之刃,1,4512,66910
1,72,毁灭之刃,1,4628,68671
1,73,毁灭之刃,1,4744,70432
1,74,毁灭之刃,1,4860,72193
1,75,毁灭之刃,1,4976,73954
1,76,毁灭之刃,1,5092,75715
1,77,毁灭之刃,1,5208,77476
1,78,毁灭之刃,1,5324,79237
1,79,毁灭之刃,1,5440,80998
1,80,毁灭之刃,1,5556,82759
1,81,毁灭之刃,1,5672,84520
1,82,毁灭之刃,1,5788,86281
1,83,毁灭之刃,1,5904,88042
1,84,毁灭之刃,1,6020,89803
1,85,毁灭之刃,1,6136,91564
1,86,毁灭之刃,1,6252,93325
1,87,毁灭之刃,1,6368,95086
1,88,毁灭之刃,1,6484,96847
1,89,毁灭之刃,1,6600,98608
1,90,毁灭之刃,1,6716,100369
1,91,毁灭之刃,1,6871,103540
1,92,毁灭之刃,1,7026,106711
1,93,毁灭之刃,1,7181,109882
1,94,毁灭之刃,1,7336,113053
1,95,毁灭之刃,1,7491,116224
1,96,毁灭之刃,1,7646,119395
1,97,毁灭之刃,1,7801,122566
1,98,毁灭之刃,1,7956,125737
1,99,毁灭之刃,1,8111,128908
1,100,毁灭之刃,1,8266,132079
1,101,毁灭之刃,1,8421,135250
1,102,毁灭之刃,1,8576,138421
1,103,毁灭之刃,1,8731,141592
1,104,毁灭之刃,1,8886,144763
1,105,毁灭之刃,1,9041,147934
1,106,毁灭之刃,1,9196,151105
1,107,毁灭之刃,1,9351,154276
1,108,毁灭之刃,1,9506,157447
1,109,毁灭之刃,1,9661,160618
1,110,毁灭之刃,1,9816,163789
1,111,毁灭之刃,1,9971,166960
1,112,毁灭之刃,1,10126,170131
1,113,毁灭之刃,1,10281,173302
1,114,毁灭之刃,1,10436,176473
1,115,毁灭之刃,1,10591,179644
1,116,毁灭之刃,1,10746,182815
1,117,毁灭之刃,1,10901,185986
1,118,毁灭之刃,1,11056,189157
1,119,毁灭之刃,1,11211,192328
1,120,毁灭之刃,1,11366,195499
2,1,落日神弓,2,98,380
2,2,落日神弓,2,129,986
2,3,落日神弓,2,160,1592
2,4,落日神弓,2,191,2198
2,5,落日神弓,2,222,2804
2,6,落日神弓,2,253,3410
2,7,落日神弓,2,284,4016
2,8,落日神弓,2,315,4622
2,9,落日神弓,2,346,5228
2,10,落日神弓,2,377,5834
2,11,落日神弓,2,408,6440
2,12,落日神弓,2,439,7046
2,13,落日神弓,2,470,7652
2,14,落日神弓,2,501,8258
2,15,落日神弓,2,532,8864
2,16,落日神弓,2,563,9470
2,17,落日神弓,2,594,10076
2,18,落日神弓,2,625,10682
2,19,落日神弓,2,656,11288
2,20,落日神弓,2,687,11894
2,21,落日神弓,2,718,12500
2,22,落日神弓,2,749,13106
2,23,落日神弓,2,780,13712
2,24,落日神弓,2,811,14318
2,25,落日神弓,2,842,14924
2,26,落日神弓,2,873,15530
2,27,落日神弓,2,904,16136
2,28,落日神弓,2,935,16742
2,29,落日神弓,2,966,17348
2,30,落日神弓,2,997,17954
2,31,落日神弓,2,1058,19151
2,32,落日神弓,2,1119,20348
