神器ID,技能等级,技能,技能名字,技能图标,神器编号,技能描述
1,0,10002,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成300点真实伤害并流血，持续造成133点流血伤害，持续3回合
1,1,10102,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成1916点真实伤害并流血，持续造成1072点流血伤害，持续3回合
1,2,10202,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成3031点真实伤害并流血，持续造成1842点流血伤害，持续3回合
1,3,10302,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成4146点真实伤害并流血，持续造成2612点流血伤害，持续3回合
1,4,10402,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成5261点真实伤害并流血，持续造成3382点流血伤害，持续3回合
1,5,10502,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成6376点真实伤害并流血，持续造成4152点流血伤害，持续3回合
1,6,10602,绝杀,shenbing_01,1,唤醒毁灭之力，对前排敌人造成7491点真实伤害并流血，持续造成4922点流血伤害，持续3回合
1,7,10702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成11611点真实伤害并流血，持续造成7842点流血伤害，持续3回合
1,8,10802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成15731点真实伤害并流血，持续造成10762点流血伤害，持续3回合
1,9,10902,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成19851点真实伤害并流血，持续造成13682点流血伤害，持续3回合
1,10,11002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成23971点真实伤害并流血，持续造成16602点流血伤害，持续3回合
1,11,11102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成28091点真实伤害并流血，持续造成19522点流血伤害，持续3回合
1,12,11202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成32211点真实伤害并流血，持续造成22442点流血伤害，持续3回合
1,13,11302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成50981点真实伤害并流血，持续造成35862点流血伤害，持续3回合，增加己方随机4名英雄对流血目标10%伤害加成2回合
1,14,11402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成69751点真实伤害并流血，持续造成49282点流血伤害，持续3回合，增加己方随机4名英雄对流血目标15%伤害加成2回合
1,15,11502,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成88521点真实伤害并流血，持续造成62702点流血伤害，持续3回合，增加己方随机4名英雄对流血目标20%伤害加成2回合
1,16,11602,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成107291点真实伤害并流血，持续造成76122点流血伤害，持续3回合，增加己方随机4名英雄对流血目标25%伤害加成2回合
1,17,11702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成126061点真实伤害并流血，持续造成89542点流血伤害，持续3回合，增加己方随机4名英雄对流血目标30%伤害加成2回合
1,18,11802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成144831点真实伤害并流血，持续造成102962点流血伤害，持续3回合，增加己方随机4名英雄对流血目标35%伤害加成2回合
1,19,11902,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成164951点真实伤害并流血，持续造成126882点流血伤害，持续3回合，增加己方随机4名英雄对流血目标40%伤害加成2回合
1,20,12002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成185071点真实伤害并流血，持续造成150802点流血伤害，持续3回合，增加己方随机4名英雄对流血目标45%伤害加成2回合
1,21,12102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成205191点真实伤害并流血，持续造成174722点流血伤害，持续3回合，增加己方随机4名英雄对流血目标50%伤害加成2回合
1,22,12202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成225311点真实伤害并流血，持续造成198642点流血伤害，持续3回合，增加己方随机4名英雄对流血目标55%伤害加成2回合
1,23,12302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成245431点真实伤害并流血，持续造成222562点流血伤害，持续3回合，增加己方随机4名英雄对流血目标60%伤害加成2回合
1,24,12402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成265600点真实伤害并流血，持续造成246500点流血伤害，持续3回合，增加己方随机4名英雄对流血目标65%伤害加成2回合
2,0,20002,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成850点真实伤害
2,1,20102,重伤,shenbing_02,2,以上古圣贤的名义，对前排敌人造成3288点真实伤害
