饰品ID,饰品名称,饰品品质,饰品星级,饰品图标,战力,升星饰品ID,升星经验,分解经验,饰品属性,饰品技能,技能描述,专属种族,专属属性,出售
1001,星界精华,0,1,shipin_100,1,,40,10,"""atk"":1",,,,,"{""a"":""attr"",""t"":""jinbi"",""n"":227}"
1011,翼纹之石,0,1,shipin_101,500,1012,40,20,"""atk"":156","""101114""",+5.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":215}"
1012,翼纹之石,0,2,shipin_101,650,1013,40,60,"""atk"":207","""101214""",+7.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":432}"
1013,翼纹之石,0,3,shipin_101,800,1014,40,100,"""atk"":256","""101314""",+8.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":620}"
1014,翼纹之石,0,4,shipin_101,1000,,40,140,"""atk"":308","""101414""",+10.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}"
1021,鬼眼之戒,0,1,shipin_102,500,1022,40,20,"""atk"":156","""102114""",+5.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":238}"
1022,鬼眼之戒,0,2,shipin_102,650,1023,40,60,"""atk"":207","""102214""",+7.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":440}"
1023,鬼眼之戒,0,3,shipin_102,800,1024,40,100,"""atk"":256","""102314""",+8.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":615}"
1024,鬼眼之戒,0,4,shipin_102,1000,,40,140,"""atk"":308","""102414""",+10.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":831}"
1031,秘法魔石,0,1,shipin_103,500,1032,40,20,"""atk"":156","""103114""",+5.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":219}"
1032,秘法魔石,0,2,shipin_103,650,1033,40,60,"""atk"":207","""103214""",+7.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":438}"
1033,秘法魔石,0,3,shipin_103,800,1034,40,100,"""atk"":256","""103314""",+8.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":608}"
