技能id,技能类型,攻击动作,选敌类型,是否存活,位置,排序条件,选敌数量,释放概率,数据,检测条件,额外数据,描述
101113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":50},+5%对战士的伤害加成
101213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":65},+6.5%对战士的伤害加成
101313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":80},+8%对战士的伤害加成
101413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":100},+10%对战士的伤害加成
102113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":50},+5%对法师的伤害加成
102213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":65},+6.5%对法师的伤害加成
102313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":80},+8%对法师的伤害加成
102413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":100},+10%对法师的伤害加成
103113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":50},+5%对辅助的伤害加成
103213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":65},+6.5%对辅助的伤害加成
103313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":80},+8%对辅助的伤害加成
103413,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":100},+10%对辅助的伤害加成
104113,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":50},+5%对刺客的伤害加成
104213,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":65},+6.5%对刺客的伤害加成
104313,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":80},+8%对刺客的伤害加成
104413,3,dpspro,-1,1,,,,1000,{},{"job":[4]},{"pro":100},+10%对刺客的伤害加成
105113,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":50},+5%对游侠的伤害加成
105213,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":65},+6.5%对游侠的伤害加成
105313,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":80},+8%对游侠的伤害加成
105413,3,dpspro,-1,1,,,,1000,{},{"job":[5]},{"pro":100},+10%对游侠的伤害加成
201113,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":80},+8%对战士的伤害加成
201213,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":100},+10%对战士的伤害加成
201313,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":120},+12%对战士的伤害加成
201413,3,dpspro,-1,1,,,,1000,{},{"job":[1]},{"pro":150},+15%对战士的伤害加成
202113,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":80},+8%对法师的伤害加成
202213,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":100},+10%对法师的伤害加成
202313,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":120},+12%对法师的伤害加成
202413,3,dpspro,-1,1,,,,1000,{},{"job":[2]},{"pro":150},+15%对法师的伤害加成
203113,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":80},+8%对辅助的伤害加成
203213,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":100},+10%对辅助的伤害加成
203313,3,dpspro,-1,1,,,,1000,{},{"job":[3]},{"pro":120},+12%对辅助的伤害加成
