任务编号,任务名称,任务品质,完成时间,英雄数量,星级条件,种族条件,悬赏积分,奖励,权重
101,狗头淘金者,0,7200,2,2,1,2000,"{""a"":""attr"",""t"":""rmbmoney"",""n"":10}",10400
102,狮王旅店,0,7200,2,2,1,2000,"{""a"":""item"",""t"":""2009"",""n"":2}",10400
103,先祖的召唤,0,7200,2,2,1,2000,"{""a"":""item"",""t"":""4001"",""n"":20}",10400
104,荆谷竞技场,0,7200,2,2,1,2000,"{""a"":""item"",""t"":""2006"",""n"":1}",10400
105,钓鱼大赛,0,7200,2,2,1,2000,"{""a"":""item"",""t"":""2007"",""n"":1}",10400
201,巨人宝藏,1,14400,2,3,1,2000,"{""a"":""attr"",""t"":""rmbmoney"",""n"":20}",5200
202,宠物对战大师,1,14400,2,3,1,2000,"{""a"":""item"",""t"":""2009"",""n"":4}",5200
203,祭拜大领主,1,14400,2,3,1,2000,"{""a"":""item"",""t"":""4001"",""n"":40}",5200
204,血洗刀锋山,1,14400,2,3,1,2000,"{""a"":""item"",""t"":""2006"",""n"":2}",5200
205,铭文大师,1,14400,2,3,1,2000,"{""a"":""item"",""t"":""2007"",""n"":2}",5200
301,盗宝地精,2,21600,3,3,2,2000,"{""a"":""attr"",""t"":""rmbmoney"",""n"":40}",3700
302,赞拉巨魔,2,21600,3,3,2,2000,"{""a"":""item"",""t"":""2009"",""n"":6}",800
303,参加矮人宴会,2,21600,3,3,2,2000,"{""a"":""item"",""t"":""4002"",""n"":10}",3700
304,称霸歌战峡谷,2,21600,3,3,2,2000,"{""a"":""item"",""t"":""2006"",""n"":3}",3700
305,搏击俱乐部,2,21600,3,3,2,2000,"{""a"":""item"",""t"":""2007"",""n"":3}",3700
401,东拥湖宝库,3,28800,3,4,2,2000,"{""a"":""attr"",""t"":""rmbmoney"",""n"":100}",2000
402,游学者说书,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2010"",""n"":1}",700
403,游学者说书,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2010"",""n"":2}",100
404,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4002"",""n"":30}",100
405,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4003"",""n"":30}",100
406,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4004"",""n"":30}",100
407,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4005"",""n"":30}",100
408,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4006"",""n"":30}",100
409,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4007"",""n"":30}",100
410,拜访月之林地,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""4008"",""n"":30}",100
411,奥山指挥官,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2006"",""n"":4}",750
412,奥山指挥官,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2006"",""n"":6}",400
413,奥山指挥官,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2006"",""n"":8}",100
414,奥山指挥官,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2006"",""n"":10}",40
415,奥山指挥官,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2006"",""n"":20}",10
416,远海的宝藏,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2007"",""n"":4}",700
417,远海的宝藏,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2007"",""n"":6}",350
418,远海的宝藏,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2007"",""n"":8}",110
419,远海的宝藏,3,28800,3,4,2,2000,"{""a"":""item"",""t"":""2007"",""n"":10}",40
501,雷神宝库,4,43200,4,5,3,2000,"{""a"":""attr"",""t"":""rmbmoney"",""n"":300}",250
502,招募追随者,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""2011"",""n"":1}",50
503,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4009"",""n"":20}",6
504,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4010"",""n"":20}",6
505,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4011"",""n"":20}",6
506,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4012"",""n"":20}",6
507,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4013"",""n"":20}",6
508,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4014"",""n"":20}",6
509,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4015"",""n"":20}",6
510,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4009"",""n"":15}",10
511,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4010"",""n"":15}",10
512,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4011"",""n"":15}",10
513,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4012"",""n"":15}",10
514,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4013"",""n"":15}",10
515,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4014"",""n"":15}",10
516,荒神的试炼,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""4015"",""n"":15}",10
517,消灭梦魇魔,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""2012"",""n"":200}",108
518,暗影马戏团,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""2008"",""n"":2}",120
519,泰坦遗迹,4,43200,4,5,3,2000,"{""a"":""item"",""t"":""3002"",""n"":20}",160
601,地精财团金库,5,57600,4,6,3,2000,"{""a"":""attr"",""t"":""rmbmoney"",""n"":600}",73
602,巨龙的祝福,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""2011"",""n"":2}",20
603,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4009"",""n"":40}",2
604,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4010"",""n"":40}",2
605,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4011"",""n"":40}",2
606,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4012"",""n"":40}",2
607,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4013"",""n"":40}",2
608,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4014"",""n"":40}",2
609,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4015"",""n"":40}",2
610,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4009"",""n"":30}",3
611,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4010"",""n"":30}",3
612,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4011"",""n"":30}",3
613,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4012"",""n"":30}",3
614,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4013"",""n"":30}",3
615,奥丁的试炼,5,57600,4,6,3,2000,"{""a"":""item"",""t"":""4014"",""n"":30}",3
