类型,造型id,造型图标,造型名称,造型描述,条件类型,开启条件,顺序,过期时间,跳转,颜色,激活奖励属性
chatborder,1,chat_01.png,基础聊天框,进入游戏后默认获取,1,"""lv"",1",1,0,,0,
chatborder,2,chat_02.png,贵族11聊天框,贵族等级达到11时可获取,1,"""vip"",11",2,0,,0,
chatborder,3,chat_03.png,荣耀王者聊天框,参加巅峰王者8强获取,1,100,3,604800,,0,
chatborder,4,chat_04.png,巅峰王者聊天框,参加巅峰王者第1获取,1,100,4,604800,,0,
headborder,1,head_01.png,基础头像框,进入游戏后默认获取,1,"""lv"",1",1,0,,0,
headborder,2,head_02.png,贵族12头像框,贵族等级达到12时可获取,1,"""vip"",12",2,0,,0,
headborder,3,head_03.png,公会王者头像框,公会争锋前3公会可获取,1,100,3,604800,,0,
head,1000,shenhao.png,神豪头像,VIP激活,1,"""hero"",""shenhao""",100,0,,5,
head,11011,11011.png,软泥怪,软泥怪,1,"""hero"",11011",101,0,,0,
head,11023,11023.png,石像鬼,石像鬼,1,"""hero"",11023",102,0,,2,
head,11033,11033.png,獠牙猎手,獠牙猎手,1,"""hero"",11033",103,0,,2,
head,11044,11044.png,巨镰马洛萨,巨镰马洛萨,1,"""hero"",11044",104,0,,3,
head,11045,11045.png,巨镰马洛萨,巨镰马洛萨,1,"""hero"",11045",105,0,,4,
head,11054,11054.png,骷髅王扎卡,骷髅王扎卡,1,"""hero"",11054",106,0,,3,
head,11055,11055.png,骷髅王扎卡,骷髅王扎卡,1,"""hero"",11055",107,0,,4,
head,11064,11064.png,缝合收割者,缝合收割者,1,"""hero"",11064",108,0,,3,
head,11065,11065.png,缝合收割者,缝合收割者,1,"""hero"",11065",109,0,,4,
head,11075,11075.png,冰霜骨龙,冰霜骨龙,1,"""hero"",11075",110,0,,4,
head,11076,11076.png,冰霜骨龙,冰霜骨龙,1,"""hero"",11076",111,0,,5,
head,11085,11085.png,亡灵领主,亡灵领主,1,"""hero"",11085",112,0,,4,
head,11086,11086.png,亡灵领主,亡灵领主,1,"""hero"",11086",113,0,,5,
head,12013,12013.png,噩梦女妖,噩梦女妖,1,"""hero"",12013",114,0,,2,
head,12024,12024.png,骸骨法师,骸骨法师,1,"""hero"",12024",115,0,,3,
head,12025,12025.png,骸骨法师,骸骨法师,1,"""hero"",12025",116,0,,4,
head,12026,12026.png,骸骨法师,骸骨法师,1,"""hero"",12026",117,0,,5,
head,12035,12035.png,血衣骨法,血衣骨法,1,"""hero"",12035",118,0,,4,
head,12036,12036.png,血衣骨法,血衣骨法,1,"""hero"",12036",119,0,,5,
head,13012,13012.png,亡灵侍卫,亡灵侍卫,1,"""hero"",13012",120,0,,1,
head,13023,13023.png,黑暗牧师,黑暗牧师,1,"""hero"",13023",121,0,,2,
head,13034,13034.png,凋零法师,凋零法师,1,"""hero"",13034",122,0,,3,
head,13035,13035.png,凋零法师,凋零法师,1,"""hero"",13035",123,0,,4,
