id,等级,消耗,属性,战斗力
1,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""atk"":0,""atkpro"":0",0
1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""atk"":25,""atkpro"":3",64
1,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""atk"":51,""atkpro"":3",128
1,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""atk"":76,""atkpro"":3",192
1,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""atk"":102,""atkpro"":3",256
1,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""atk"":142,""atkpro"":15",400
1,6,"{""a"":""attr"",""t"":""jinbi"",""n"":1100000},{""a"":""item"",""t"":""2005"",""n"":8515}","""atk"":167,""atkpro"":15",464
1,7,"{""a"":""attr"",""t"":""jinbi"",""n"":1500000},{""a"":""item"",""t"":""2005"",""n"":9659}","""atk"":193,""atkpro"":15",528
1,8,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2005"",""n"":10813}","""atk"":219,""atkpro"":15",592
1,9,"{""a"":""attr"",""t"":""jinbi"",""n"":3000000},{""a"":""item"",""t"":""2005"",""n"":11567}","""atk"":244,""atkpro"":15",656
1,10,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""2005"",""n"":12621}","""atk"":284,""atkpro"":31",800
1,11,"{""a"":""attr"",""t"":""jinbi"",""n"":9000000},{""a"":""item"",""t"":""2005"",""n"":13475}","""atk"":310,""atkpro"":31",864
1,12,"{""a"":""attr"",""t"":""jinbi"",""n"":12000000},{""a"":""item"",""t"":""2005"",""n"":14139}","""atk"":335,""atkpro"":31",928
1,13,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""2005"",""n"":15183}","""atk"":361,""atkpro"":31",992
1,14,"{""a"":""attr"",""t"":""jinbi"",""n"":18000000},{""a"":""item"",""t"":""2005"",""n"":16776}","""atk"":387,""atkpro"":31",1056
1,15,"{""a"":""attr"",""t"":""jinbi"",""n"":21000000},{""a"":""item"",""t"":""2005"",""n"":17948}","""atk"":427,""atkpro"":46",1200
1,16,"{""a"":""attr"",""t"":""jinbi"",""n"":24000000},{""a"":""item"",""t"":""2005"",""n"":18560}","""atk"":452,""atkpro"":46",1264
1,17,"{""a"":""attr"",""t"":""jinbi"",""n"":27000000},{""a"":""item"",""t"":""2005"",""n"":19673}","""atk"":478,""atkpro"":46",1328
1,18,"{""a"":""attr"",""t"":""jinbi"",""n"":30000000},{""a"":""item"",""t"":""2005"",""n"":20785}","""atk"":503,""atkpro"":46",1392
1,19,"{""a"":""attr"",""t"":""jinbi"",""n"":35000000},{""a"":""item"",""t"":""2005"",""n"":21898}","""atk"":529,""atkpro"":46",1456
1,20,"{""a"":""attr"",""t"":""jinbi"",""n"":38000000},{""a"":""item"",""t"":""2005"",""n"":22910}","""atk"":569,""atkpro"":62",1600
1,21,"{""a"":""attr"",""t"":""jinbi"",""n"":40000000},{""a"":""item"",""t"":""2005"",""n"":23823}","""atk"":595,""atkpro"":62",1664
1,22,"{""a"":""attr"",""t"":""jinbi"",""n"":42000000},{""a"":""item"",""t"":""2005"",""n"":24835}","""atk"":620,""atkpro"":62",1728
1,23,"{""a"":""attr"",""t"":""jinbi"",""n"":46000000},{""a"":""item"",""t"":""2005"",""n"":25948}","""atk"":646,""atkpro"":62",1792
1,24,"{""a"":""attr"",""t"":""jinbi"",""n"":48000000},{""a"":""item"",""t"":""2005"",""n"":26460}","""atk"":671,""atkpro"":62",1856
1,25,"{""a"":""attr"",""t"":""jinbi"",""n"":51000000},{""a"":""item"",""t"":""2005"",""n"":27873}","""atk"":711,""atkpro"":78",2000
1,26,"{""a"":""attr"",""t"":""jinbi"",""n"":54000000},{""a"":""item"",""t"":""2005"",""n"":28685}","""atk"":737,""atkpro"":78",2064
1,27,"{""a"":""attr"",""t"":""jinbi"",""n"":58000000},{""a"":""item"",""t"":""2005"",""n"":29797}","""atk"":762,""atkpro"":78",2128
1,28,"{""a"":""attr"",""t"":""jinbi"",""n"":60000000},{""a"":""item"",""t"":""2005"",""n"":29910}","""atk"":788,""atkpro"":78",2192
1,29,"{""a"":""attr"",""t"":""jinbi"",""n"":64000000},{""a"":""item"",""t"":""2005"",""n"":30000}","""atk"":814,""atkpro"":78",2256
1,30,0,"""atk"":854,""atkpro"":93",2400
2,0,"{""a"":""attr"",""t"":""jinbi"",""n"":160000},{""a"":""item"",""t"":""2005"",""n"":2600}","""jingzhunpro"":0,""atk"":0,""atkpro"":0",0
2,1,"{""a"":""attr"",""t"":""jinbi"",""n"":320000},{""a"":""item"",""t"":""2005"",""n"":3300}","""jingzhunpro"":1,""atk"":11,""atkpro"":1",64
2,2,"{""a"":""attr"",""t"":""jinbi"",""n"":480000},{""a"":""item"",""t"":""2005"",""n"":4645}","""jingzhunpro"":3,""atk"":11,""atkpro"":1",128
2,3,"{""a"":""attr"",""t"":""jinbi"",""n"":660000},{""a"":""item"",""t"":""2005"",""n"":5755}","""jingzhunpro"":5,""atk"":11,""atkpro"":1",192
2,4,"{""a"":""attr"",""t"":""jinbi"",""n"":820000},{""a"":""item"",""t"":""2005"",""n"":6497}","""jingzhunpro"":7,""atk"":11,""atkpro"":1",256
2,5,"{""a"":""attr"",""t"":""jinbi"",""n"":940000},{""a"":""item"",""t"":""2005"",""n"":7651}","""jingzhunpro"":10,""atk"":56,""atkpro"":9",400
