等级,材料消耗,金币消耗,攻击,生命
0,1,50000,0,0
1,2,100000,75,3000
2,3,150000,150,6000
3,4,200000,225,9000
4,5,250000,300,12000
5,6,300000,375,15000
6,7,350000,450,18000
7,8,400000,525,21000
8,9,450000,600,24000
9,10,500000,675,27000
10,11,550000,750,30000
11,12,600000,825,33000
12,13,650000,900,36000
13,14,700000,975,39000
14,15,750000,1050,42000
15,16,800000,1125,45000
16,17,850000,1200,48000
17,18,900000,1275,51000
18,19,950000,1350,54000
19,20,1000000,1425,57000
20,21,1050000,1500,60000
21,22,1100000,1575,63000
22,23,1150000,1650,66000
23,24,1200000,1725,69000
24,25,1250000,1800,72000
25,26,1300000,1875,75000
26,27,1350000,1950,78000
27,28,1400000,2025,81000
28,29,1450000,2100,84000
29,30,1500000,2175,87000
30,31,1550000,2250,90000
31,32,1600000,2325,93000
32,33,1650000,2400,96000
33,34,1700000,2475,99000
34,35,1750000,2550,102000
35,36,1800000,2625,105000
36,37,1850000,2700,108000
37,38,1900000,2775,111000
38,39,1950000,2850,114000
39,40,2000000,2925,117000
40,41,2050000,3000,120000
41,42,2100000,3075,123000
42,43,2150000,3150,126000
43,44,2200000,3225,129000
44,45,2250000,3300,132000
45,46,2300000,3375,135000
46,47,2350000,3450,138000
47,48,2400000,3525,141000
48,49,2450000,3600,144000
49,50,2500000,3675,147000
50,51,2550000,3750,150000
51,52,2600000,3825,153000
52,53,2650000,3900,156000
53,54,2700000,3975,159000
54,55,2750000,4050,162000
55,56,2800000,4125,165000
56,57,2850000,4200,168000
57,58,2900000,4275,171000
58,59,2950000,4350,174000
59,60,3000000,4425,177000
60,61,3050000,4500,180000
61,62,3100000,4575,183000
62,63,3150000,4650,186000
63,64,3200000,4725,189000
64,65,3250000,4800,192000
65,66,3300000,4875,195000
66,67,3350000,4950,198000
67,68,3400000,5025,201000
68,69,3450000,5100,204000
69,70,3500000,5175,207000
70,71,3550000,5250,210000
71,72,3600000,5325,213000
72,73,3650000,5400,216000
73,74,3700000,5475,219000
74,75,3750000,5550,222000
75,76,3800000,5625,225000
76,77,3850000,5700,228000
77,78,3900000,5775,231000
78,79,3950000,5850,234000
79,80,4000000,5925,237000
80,81,4050000,6000,240000
81,82,4100000,6075,243000
82,83,4150000,6150,246000
83,84,4200000,6225,249000
84,85,4250000,6300,252000
85,86,4300000,6375,255000
86,87,4350000,6450,258000
87,88,4400000,6525,261000
88,89,4450000,6600,264000
89,90,4500000,6675,267000
90,91,4550000,6750,270000
91,92,4600000,6825,273000
92,93,4650000,6900,276000
93,94,4700000,6975,279000
94,95,4750000,7050,282000
95,96,4800000,7125,285000
96,97,4850000,7200,288000
97,98,4900000,7275,291000
98,99,4950000,7350,294000
99,100,5000000,7425,297000
100,102,5050000,7500,300000
101,104,5100000,7575,303000
102,106,5150000,7650,306000
103,108,5200000,7725,309000
104,110,5250000,7800,312000
105,112,5300000,7875,315000
106,114,5350000,7950,318000
107,116,5400000,8025,321000
108,118,5450000,8100,324000
109,120,5500000,8175,327000
110,123,5550000,8250,330000
111,126,5600000,8325,333000
112,129,5650000,8400,336000
113,132,5700000,8475,339000
114,135,5750000,8550,342000
115,138,5800000,8625,345000
116,141,5850000,8700,348000
117,144,5900000,8775,351000
118,147,5950000,8850,354000
119,150,6000000,8925,357000
120,154,6050000,9000,360000
121,158,6100000,9075,363000
122,162,6150000,9150,366000
123,166,6200000,9225,369000
124,170,6250000,9300,372000
125,174,6300000,9375,375000
126,178,6350000,9450,378000
127,182,6400000,9525,381000
128,186,6450000,9600,384000
129,190,6500000,9675,387000
130,195,6550000,9750,390000
131,200,6600000,9825,393000
132,205,6650000,9900,396000
133,210,6700000,9975,399000
134,215,6750000,10050,402000
135,220,6800000,10125,405000
136,225,6850000,10200,408000
137,230,6900000,10275,411000
138,235,6950000,10350,414000
139,240,7000000,10425,417000
140,246,7050000,10500,420000
141,252,7100000,10575,423000
142,258,7150000,10650,426000
143,264,7200000,10725,429000
144,270,7250000,10800,432000
145,276,7300000,10875,435000
146,282,7350000,10950,438000
147,288,7400000,11025,441000
148,294,7450000,11100,444000
149,300,7500000,11175,447000
150,307,7550000,11250,450000
151,314,7600000,11325,453000
152,321,7650000,11400,456000
153,328,7700000,11475,459000
154,335,7750000,11550,462000
155,342,7800000,11625,465000
156,349,7850000,11700,468000
157,356,7900000,11775,471000
158,363,7950000,11850,474000
159,370,8000000,11925,477000
160,378,8050000,12000,480000
161,386,8100000,12075,483000
162,394,8150000,12150,486000
163,402,8200000,12225,489000
164,410,8250000,12300,492000
165,418,8300000,12375,495000
166,426,8350000,12450,498000
167,434,8400000,12525,501000
168,442,8450000,12600,504000
169,450,8500000,12675,507000
170,459,8550000,12750,510000
171,468,8600000,12825,513000
172,477,8650000,12900,516000
173,486,8700000,12975,519000
174,495,8750000,13050,522000
175,504,8800000,13125,525000
176,513,8850000,13200,528000
177,522,8900000,13275,531000
178,531,8950000,13350,534000
179,540,9000000,13425,537000
180,550,9050000,13500,540000
181,560,9100000,13575,543000
182,570,9150000,13650,546000
183,580,9200000,13725,549000
184,590,9250000,13800,552000
185,600,9300000,13875,555000
186,610,9350000,13950,558000
187,620,9400000,14025,561000
188,630,9450000,14100,564000
189,640,9500000,14175,567000
190,651,9550000,14250,570000
191,662,9600000,14325,573000
192,673,9650000,14400,576000
193,684,9700000,14475,579000
194,695,9750000,14550,582000
195,706,9800000,14625,585000
196,717,9850000,14700,588000
197,728,9900000,14775,591000
198,739,9950000,14850,594000
199,750,10000000,14925,597000
200,0,0,15000,600000
