掉落组,掉落类型,掉落物品,掉落数量,权重
1,attr,useexp,2200,6
1,attr,useexp,3600,4
1,attr,useexp,4300,2
1,attr,rmbmoney,5,3
1,attr,rmbmoney,10,2
1,attr,rmbmoney,15,1
1,attr,jinbi,29000,3
1,attr,jinbi,36000,2
1,attr,jinbi,47000,1
1,item,2004,12,3
1,item,2004,20,2
1,item,2004,24,1
2,attr,useexp,8000,6
2,attr,useexp,10000,4
2,attr,useexp,12000,2
2,attr,rmbmoney,15,3
2,attr,rmbmoney,23,2
2,attr,rmbmoney,30,1
2,attr,jinbi,65000,3
2,attr,jinbi,81000,2
2,attr,jinbi,103000,1
2,item,2000,8,3
2,item,2000,11,2
2,item,2000,15,1
3,attr,useexp,2200,6
3,attr,useexp,3600,4
3,attr,useexp,4300,2
3,attr,rmbmoney,5,3
3,attr,rmbmoney,10,2
3,attr,rmbmoney,15,1
3,attr,jinbi,29000,3
3,attr,jinbi,36000,2
3,attr,jinbi,47000,1
3,item,2002,15,3
3,item,2002,25,2
3,item,2002,35,1
4,attr,useexp,2200,6
4,attr,useexp,3600,4
4,attr,useexp,4300,2
4,attr,rmbmoney,5,3
4,attr,rmbmoney,10,2
4,attr,rmbmoney,15,1
4,attr,jinbi,29000,3
4,attr,jinbi,36000,2
4,attr,jinbi,47000,1
4,item,2013,1,3
4,item,2013,2,2
4,item,2013,3,1
5,attr,useexp,39000,6
5,attr,useexp,65000,4
5,attr,useexp,95000,2
5,attr,jinbi,115000,3
5,attr,jinbi,155000,2
5,attr,jinbi,205000,1
6,item,11075,10,1
6,item,11085,10,1
6,item,12035,10,1
6,item,13045,10,1
6,item,14035,10,1
6,item,15035,10,1
6,item,21045,10,1
6,item,22045,10,1
6,item,22055,10,1
6,item,23035,10,1
6,item,24035,10,1
6,item,25065,10,1
6,item,25075,10,1
6,item,31075,10,1
6,item,31085,10,1
6,item,32055,10,1
6,item,34025,10,1
6,item,35035,10,1
6,item,35045,10,1
6,item,41055,10,1
6,item,41065,10,1
6,item,42015,10,1
6,item,44045,10,1
6,item,45045,10,1
6,item,45055,10,1
6,item,51015,10,1
6,item,52045,10,1
6,item,61025,10,1
6,item,63025,10,1
7,attr,jinbi,20000,1
8,item,2009,1,2
8,,,0,3
9,item,11075,10,1
9,item,11085,10,1
9,item,12035,10,1
9,item,13045,10,1
9,item,14035,10,1
9,item,15035,10,1
9,item,21045,10,1
9,item,22045,10,1
9,item,22055,10,1
9,item,23035,10,1
9,item,24035,10,1
9,item,25065,10,1
9,item,25075,10,1
9,item,31075,10,1
9,item,31085,10,1
9,item,32055,10,1
9,item,34025,10,1
9,item,35035,10,1
9,item,35045,10,1
9,item,41055,10,1
9,item,41065,10,1
9,item,42015,10,1
9,item,44045,10,1
9,item,45045,10,1
9,item,45055,10,1
10,attr,jinbi,50000,9
10,attr,useexp,25000,8
10,item,2004,20,3
10,item,4009,1,1
10,item,2017,30,2
10,item,2018,15,2
11,attr,rmbmoney,50,150
11,attr,rmbmoney,100,500
11,attr,rmbmoney,150,100
11,attr,rmbmoney,200,90
11,attr,rmbmoney,250,80
11,attr,rmbmoney,300,70
11,attr,rmbmoney,350,60
11,attr,rmbmoney,400,50
11,attr,rmbmoney,450,40
11,attr,rmbmoney,500,30
11,attr,rmbmoney,550,25
11,attr,rmbmoney,600,20
11,attr,rmbmoney,650,15
11,attr,rmbmoney,700,10
11,attr,rmbmoney,750,5
11,item,2017,100,50
11,item,2018,50,50
11,item,2010,1,45
11,item,2011,1,5
12,item,4009,3,4
12,item,4010,3,1
12,item,4011,3,1
12,item,4012,3,1
12,item,4013,3,1
13,item,2004,150,1
13,item,2005,150,1
13,item,2007,3,1
13,item,2006,6,1
14,item,2021,30,1
14,item,2022,120,1
20,attr,jinbi,50000,20
20,attr,jinbi,100000,10
20,attr,jinbi,200000,5
20,attr,useexp,25000,20
20,attr,useexp,50000,10
20,attr,useexp,100000,5
20,item,2003,20,10
20,item,2003,40,5
20,item,2003,60,5
21,item,2003,1200,2
21,item,2003,1100,2
21,item,2003,1000,2
21,item,2003,200,8
21,item,2003,175,8
21,item,2003,150,8
22,item,2003,1200,2
22,item,2003,1100,2
22,item,2003,1000,2
22,item,2003,200,8
22,item,2003,175,8
22,item,2003,150,8
23,item,2003,2000,2
23,item,2003,1800,2
23,item,2003,1600,2
23,item,2003,300,8
23,item,2003,250,8
23,item,2003,200,8
24,item,2003,4000,2
24,item,2003,3600,2
24,item,2003,3200,2
24,item,2003,600,8
24,item,2003,500,8
24,item,2003,400,8
26,item,2024,100,1
27,item,2024,125,1
28,item,2024,150,1
29,item,2024,175,1
30,item,2024,200,1
32,glyph,4,1,1
32,glyph,5,1,1
32,glyph,6,1,1
33,glyph,7,1,1
33,glyph,8,1,1
33,glyph,9,1,1
34,glyph,10,1,1
34,glyph,11,1,1
34,glyph,12,1,1
35,glyph,13,1,1
35,glyph,14,1,1
35,glyph,15,1,1
36,glyph,13,1,1
36,glyph,14,1,1
36,glyph,15,1,1
37,hero,11044,1,1
37,hero,11054,1,1
37,hero,11064,1,1
37,hero,12024,1,1
37,hero,13034,1,1
37,hero,14024,1,1
37,hero,15014,1,1
37,hero,15024,1,1
37,hero,21014,1,1
37,hero,21024,1,1
37,hero,21034,1,1
37,hero,22024,1,1
37,hero,22034,1,1
37,hero,24024,1,1
37,hero,25044,1,1
37,hero,25054,1,1
37,hero,31044,1,1
37,hero,31054,1,1
37,hero,31064,1,1
37,hero,32034,1,1
37,hero,32044,1,1
37,hero,33014,1,1
37,hero,33024,1,1
37,hero,34014,1,1
37,hero,41034,1,1
37,hero,41044,1,1
37,hero,43034,1,1
37,hero,43044,1,1
37,hero,43054,1,1
37,hero,44024,1,1
37,hero,44034,1,1
37,hero,45034,1,1
37,hero,52024,1,1
37,hero,52034,1,1
37,hero,53014,1,1
37,hero,61014,1,1
37,hero,62014,1,1
37,hero,63014,1,1
38,hero,11023,1,361
38,hero,11033,1,361
38,hero,12013,1,361
38,hero,13023,1,361
38,hero,14013,1,361
38,hero,23013,1,361
38,hero,23023,1,361
38,hero,24013,1,361
38,hero,25023,1,361
38,hero,25033,1,361
38,hero,31023,1,361
38,hero,31033,1,361
38,hero,32023,1,361
38,hero,35013,1,361
38,hero,35023,1,361
38,hero,41013,1,361
38,hero,41023,1,361
38,hero,43023,1,361
38,hero,45013,1,361
38,hero,45023,1,361
38,hero,52013,1,361
38,hero,64013,1,361
38,hero,11044,1,11
38,hero,11054,1,11
38,hero,11064,1,11
38,hero,12024,1,11
38,hero,13034,1,11
38,hero,14024,1,11
38,hero,15014,1,11
38,hero,15024,1,11
38,hero,21014,1,11
38,hero,21024,1,11
38,hero,21034,1,11
38,hero,22024,1,11
38,hero,22034,1,11
38,hero,24024,1,11
38,hero,25044,1,11
38,hero,25054,1,11
38,hero,31044,1,11
38,hero,31054,1,11
38,hero,31064,1,11
38,hero,32034,1,11
38,hero,32044,1,11
38,hero,33014,1,11
38,hero,33024,1,11
38,hero,34014,1,11
38,hero,41034,1,11
38,hero,41044,1,11
38,hero,43034,1,11
38,hero,43044,1,11
38,hero,43054,1,11
38,hero,44024,1,11
38,hero,44034,1,11
38,hero,45034,1,11
38,hero,52024,1,11
38,hero,52034,1,11
38,hero,53014,1,11
38,hero,61014,1,11
38,hero,62014,1,11
38,hero,63014,1,11
39,item,2003,50,1
40,item,2011,1,2
40,item,2004,500,2
40,item,2007,8,3
40,item,2003,500,3
41,item,2004,50,30
41,item,2007,1,30
41,item,2003,50,30
42,item,2048,1,40
42,item,2047,1,5
42,item,2046,1,1
43,item,2047,1,150
43,item,2046,1,100
43,item,2045,1,5
43,item,2044,1,2
43,item,2043,1,1
44,item,2045,1,20
44,item,2044,1,8
44,item,2043,1,2
45,item,5106,1,100
46,shipin,6601,1,1
46,item,1183,1,2
46,item,22085,50,3
46,attr,rmbmoney,666,100
46,item,2010,10,110
46,item,2011,5,80
46,item,2021,100,500
46,item,2026,500,1500
46,attr,rmbmoney,100,4500
46,item,2003,500,4500
47,attr,jinbi,100000,100
47,attr,useexp,50000,100
47,item,2026,200,30
47,item,2022,100,50
47,item,2010,2,30
47,item,2007,5,40
47,item,2005,500,80
48,item,5108,1,10
49,item,1196,1,5
49,item,1197,1,15
49,item,1198,1,1000
49,item,1199,1,4000
100,item,2037,3000,2000
100,item,2003,800,4000
100,item,2000,50,4000
110,shipin,6501,1,1
110,attr,jinbi,50000,80000
110,attr,jinbi,150000,8000
110,attr,jinbi,500000,2000
110,attr,useexp,25000,80000
110,attr,useexp,75000,8000
110,attr,useexp,250000,2000
110,item,2004,25,80000
110,item,2004,50,8000
110,item,2004,100,2000
110,item,2026,10,80000
110,item,2026,25,8000
110,item,2026,50,2000
110,item,2011,1,2000
111,shipin,6561,1,1
111,attr,jinbi,50000,80000
111,attr,jinbi,150000,8000
111,attr,jinbi,500000,2000
111,attr,useexp,25000,80000
111,attr,useexp,75000,8000
111,attr,useexp,250000,2000
111,item,2004,25,80000
111,item,2004,50,8000
111,item,2004,100,2000
111,item,2026,10,80000
111,item,2026,25,8000
111,item,2026,50,2000
111,item,2011,1,2000
151,equip,105601,1,1
151,equip,105602,1,1
151,equip,105603,1,1
151,equip,105604,1,1
151,equip,105605,1,1
152,equip,205601,1,1
152,equip,205602,1,1
152,equip,205603,1,1
152,equip,205604,1,1
152,equip,205605,1,1
153,equip,305601,1,1
153,equip,305602,1,1
153,equip,305603,1,1
153,equip,305604,1,1
153,equip,305605,1,1
154,equip,405601,1,1
154,equip,405602,1,1
154,equip,405603,1,1
154,equip,405604,1,1
154,equip,405605,1,1
300,pet,2001,1,142500
300,pet,2002,1,142500
300,pet,3001,1,4500
300,pet,3002,1,4500
300,pet,3003,1,4500
300,pet,4001,1,300
300,pet,4002,1,300
300,pet,4003,1,300
300,pet,4004,1,300
300,pet,4005,1,300
301,pet,2001,1,75000
301,pet,2002,1,75000
301,pet,3001,1,45000
301,pet,3002,1,45000
301,pet,3003,1,45000
301,pet,4001,1,3000
301,pet,4002,1,3000
301,pet,4003,1,3000
301,pet,4004,1,3000
301,pet,4005,1,3000
302,pet,3001,1,90000
302,pet,3002,1,90000
302,pet,3003,1,90000
302,pet,4001,1,6000
302,pet,4002,1,6000
302,pet,4003,1,6000
302,pet,4004,1,6000
302,pet,4005,1,6000
303,pet,4001,1,54000
303,pet,4002,1,54000
303,pet,4003,1,54000
303,pet,4004,1,54000
303,pet,4005,1,54000
303,pet,5001,1,10000
303,pet,5002,1,10000
303,pet,5003,1,10000
400,item,1092,1,47852
400,item,1092,2,10000
400,item,1092,3,5000
400,item,1092,10,500
401,item,6002,1,2083
401,item,6006,1,2083
401,item,6010,1,2083
401,item,6014,1,2083
401,item,6018,1,2083
401,item,6022,1,2083
401,item,6026,1,2083
401,item,6030,1,2083
401,item,6034,1,2083
401,item,6038,1,2083
401,item,6042,1,2083
401,item,6046,1,2083
401,item,6003,1,416
401,item,6007,1,416
401,item,6011,1,416
401,item,6015,1,416
401,item,6019,1,416
401,item,6023,1,416
401,item,6027,1,416
401,item,6031,1,416
401,item,6035,1,416
401,item,6039,1,416
401,item,6043,1,416
401,item,6047,1,416
420,attr,jinbi,50000,1000
420,attr,jinbi,150000,4500
420,attr,jinbi,500000,5000
420,attr,useexp,25000,1000
420,attr,useexp,75000,4500
420,attr,useexp,250000,5000
420,item,2004,10,1000
420,item,2004,30,4500
420,item,2004,100,5000
421,item,2010,1,7000
421,item,2011,1,1000
421,attr,rmbmoney,300,2000
666,item,5056,10,50
666,item,5057,10,50
666,item,5058,10,40
666,item,5059,10,40
666,item,5060,5,30
667,item,5067,10,50
667,item,5068,10,50
667,item,5069,10,40
667,item,5070,10,40
667,item,5071,5,30
668,item,5093,10,50
668,item,5094,10,50
668,item,5095,10,40
668,item,5096,10,40
668,item,5097,5,30
1000_01,item,2000,10,1
1000_02,item,2001,10,1
1000_03,item,2002,10,1
1001,attr,jifen,1000,1
1002,equip,1043,1,1
1002,equip,2043,1,1
1002,equip,3043,1,1
1002,equip,4043,1,1
1003,equip,1051,1,1
1003,equip,2051,1,1
1003,equip,3051,1,1
1003,equip,4051,1,1
1004,attr,payexp,10,1
1006,glyph,1,1,50
1006,glyph,2,1,50
1006,glyph,3,1,50
1006,glyph,4,1,40
1006,glyph,5,1,40
1006,glyph,6,1,40
1006,glyph,7,1,10
1006,glyph,8,1,10
1006,glyph,9,1,10
1007,glyph,4,1,50
1007,glyph,5,1,50
1007,glyph,6,1,50
1007,glyph,7,1,45
1007,glyph,8,1,45
1007,glyph,9,1,45
1007,glyph,10,1,5
1007,glyph,11,1,5
1007,glyph,12,1,5
1008,glyph,10,1,60
1008,glyph,11,1,60
1008,glyph,12,1,60
1008,glyph,13,1,40
1008,glyph,14,1,40
1008,glyph,15,1,40
1009,glyph,13,1,3000
1009,glyph,14,1,3000
1009,glyph,15,1,3000
1009,glyph,16,1,500
1009,glyph,17,1,500
1010_1,item,1006,1,1
1010_2,attr,jinbi,200000,1
1010_3,item,2024,100,1
1011_1,item,1007,1,1
1011_2,attr,jinbi,500000,1
1011_3,item,2024,200,1
1012_1,item,1007,2,1
1012_2,attr,jinbi,800000,1
1012_3,item,2024,400,1
1015,equip,1052,1,1
1015,equip,2052,1,1
1015,equip,3052,1,1
1015,equip,4052,1,1
1016,equip,1053,1,1
1016,equip,2053,1,1
1016,equip,3053,1,1
1016,equip,4053,1,1
1017,equip,1054,1,1
1017,equip,2054,1,1
1017,equip,3054,1,1
1017,equip,4054,1,1
1018,equip,1055,1,1
1018,equip,2055,1,1
1018,equip,3055,1,1
1018,equip,4055,1,1
1019,item,2004,66,1920
1019,item,2004,288,800
1019,item,2022,188,80
1019,item,2017,66,1920
1019,item,2017,288,320
