套装ID,套装名称,套装组合,属性
9,符文套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":30},""3"":{""atkpro"":32},""4"":{""hppro"":20}}"
10,守卫套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":53},""3"":{""atkpro"":54},""4"":{""hppro"":32}}"
11,黑耀套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":65},""3"":{""atkpro"":71},""4"":{""hppro"":52}}"
12,咒文套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":84},""3"":{""atkpro"":93},""4"":{""hppro"":53}}"
13,希望套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":90},""3"":{""atkpro"":112},""4"":{""hppro"":65}}"
14,黑光套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":111},""3"":{""atkpro"":131},""4"":{""hppro"":66}}"
15,圣光套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":124},""3"":{""atkpro"":153},""4"":{""hppro"":75}}"
16,灵犀套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":136},""3"":{""atkpro"":173},""4"":{""hppro"":83}}"
17,荣光套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":154},""3"":{""atkpro"":192},""4"":{""hppro"":84}}"
18,紫光套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":163},""3"":{""atkpro"":204},""4"":{""hppro"":91}}"
19,深渊套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":174},""3"":{""atkpro"":215},""4"":{""hppro"":96}}"
20,永恒套装,"[""1"",""2"",""3"",""4""]","{""2"":{""hppro"":185},""3"":{""atkpro"":225},""4"":{""hppro"":100}}"
