关卡编号,守关BOSS,展示模型,关卡奖励,战斗地图
1,10001,11011,"{""a"":""attr"",""t"":""jinbi"",""n"":3000},{""a"":""attr"",""t"":""useexp"",""n"":1000},{""a"":""item"",""t"":""2004"",""n"":6}",zhandou_10.jpg
2,10002,25011,"{""a"":""attr"",""t"":""jinbi"",""n"":3500},{""a"":""attr"",""t"":""useexp"",""n"":1200},{""a"":""item"",""t"":""2004"",""n"":6}",zhandou_10.jpg
3,10003,32011,"{""a"":""attr"",""t"":""jinbi"",""n"":4000},{""a"":""attr"",""t"":""useexp"",""n"":1400},{""a"":""item"",""t"":""2004"",""n"":7}",zhandou_10.jpg
4,10004,43012,"{""a"":""attr"",""t"":""jinbi"",""n"":4500},{""a"":""attr"",""t"":""useexp"",""n"":1600},{""a"":""item"",""t"":""2004"",""n"":7}",zhandou_10.jpg
5,10005,43012,"{""a"":""attr"",""t"":""jinbi"",""n"":5000},{""a"":""attr"",""t"":""useexp"",""n"":1800},{""a"":""item"",""t"":""2004"",""n"":8}",zhandou_10.jpg
6,10006,31012,"{""a"":""attr"",""t"":""jinbi"",""n"":5500},{""a"":""attr"",""t"":""useexp"",""n"":2000},{""a"":""item"",""t"":""2004"",""n"":8}",zhandou_10.jpg
7,10007,13012,"{""a"":""attr"",""t"":""jinbi"",""n"":6000},{""a"":""attr"",""t"":""useexp"",""n"":2200},{""a"":""item"",""t"":""2004"",""n"":9}",zhandou_10.jpg
8,10008,25011,"{""a"":""attr"",""t"":""jinbi"",""n"":6500},{""a"":""attr"",""t"":""useexp"",""n"":2400},{""a"":""item"",""t"":""2004"",""n"":9}",zhandou_10.jpg
9,10009,32011,"{""a"":""attr"",""t"":""jinbi"",""n"":7000},{""a"":""attr"",""t"":""useexp"",""n"":2600},{""a"":""item"",""t"":""2004"",""n"":10}",zhandou_10.jpg
10,10010,22012,"{""a"":""attr"",""t"":""jinbi"",""n"":7500},{""a"":""attr"",""t"":""useexp"",""n"":2800},{""a"":""item"",""t"":""2004"",""n"":10}",zhandou_10.jpg
11,10011,13012,"{""a"":""attr"",""t"":""jinbi"",""n"":8000},{""a"":""attr"",""t"":""useexp"",""n"":3000},{""a"":""item"",""t"":""2004"",""n"":11}",zhandou_10.jpg
12,10012,32011,"{""a"":""attr"",""t"":""jinbi"",""n"":8500},{""a"":""attr"",""t"":""useexp"",""n"":3200},{""a"":""item"",""t"":""2004"",""n"":11}",zhandou_10.jpg
13,10013,43012,"{""a"":""attr"",""t"":""jinbi"",""n"":9000},{""a"":""attr"",""t"":""useexp"",""n"":3400},{""a"":""item"",""t"":""2004"",""n"":12}",zhandou_10.jpg
14,10014,22012,"{""a"":""attr"",""t"":""jinbi"",""n"":9500},{""a"":""attr"",""t"":""useexp"",""n"":3600},{""a"":""item"",""t"":""2004"",""n"":12}",zhandou_10.jpg
15,10015,31023,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""attr"",""t"":""useexp"",""n"":3800},{""a"":""item"",""t"":""2004"",""n"":13}",zhandou_10.jpg
16,10016,22012,"{""a"":""attr"",""t"":""jinbi"",""n"":10500},{""a"":""attr"",""t"":""useexp"",""n"":4000},{""a"":""item"",""t"":""2004"",""n"":13}",zhandou_10.jpg
17,10017,43023,"{""a"":""attr"",""t"":""jinbi"",""n"":11000},{""a"":""attr"",""t"":""useexp"",""n"":4200},{""a"":""item"",""t"":""2004"",""n"":14}",zhandou_10.jpg
18,10018,31012,"{""a"":""attr"",""t"":""jinbi"",""n"":11500},{""a"":""attr"",""t"":""useexp"",""n"":4400},{""a"":""item"",""t"":""2004"",""n"":14}",zhandou_10.jpg
19,10019,32023,"{""a"":""attr"",""t"":""jinbi"",""n"":12000},{""a"":""attr"",""t"":""useexp"",""n"":4600},{""a"":""item"",""t"":""2004"",""n"":15}",zhandou_10.jpg
20,10020,11033,"{""a"":""attr"",""t"":""jinbi"",""n"":12500},{""a"":""attr"",""t"":""useexp"",""n"":4800},{""a"":""item"",""t"":""2004"",""n"":15}",zhandou_10.jpg
21,10021,22012,"{""a"":""attr"",""t"":""jinbi"",""n"":13000},{""a"":""attr"",""t"":""useexp"",""n"":5000},{""a"":""item"",""t"":""2004"",""n"":16}",zhandou_10.jpg
22,10022,25033,"{""a"":""attr"",""t"":""jinbi"",""n"":13500},{""a"":""attr"",""t"":""useexp"",""n"":5200},{""a"":""item"",""t"":""2004"",""n"":16}",zhandou_10.jpg
23,10023,13012,"{""a"":""attr"",""t"":""jinbi"",""n"":14000},{""a"":""attr"",""t"":""useexp"",""n"":5400},{""a"":""item"",""t"":""2004"",""n"":17}",zhandou_10.jpg
24,10024,11023,"{""a"":""attr"",""t"":""jinbi"",""n"":14500},{""a"":""attr"",""t"":""useexp"",""n"":5600},{""a"":""item"",""t"":""2004"",""n"":17}",zhandou_10.jpg
25,10025,41013,"{""a"":""attr"",""t"":""jinbi"",""n"":15000},{""a"":""attr"",""t"":""useexp"",""n"":5800},{""a"":""item"",""t"":""2004"",""n"":18}",zhandou_10.jpg
26,10026,31012,"{""a"":""attr"",""t"":""jinbi"",""n"":15500},{""a"":""attr"",""t"":""useexp"",""n"":6000},{""a"":""item"",""t"":""2004"",""n"":18}",zhandou_10.jpg
27,10027,31033,"{""a"":""attr"",""t"":""jinbi"",""n"":16000},{""a"":""attr"",""t"":""useexp"",""n"":6200},{""a"":""item"",""t"":""2004"",""n"":19}",zhandou_10.jpg
28,10028,41023,"{""a"":""attr"",""t"":""jinbi"",""n"":16500},{""a"":""attr"",""t"":""useexp"",""n"":6400},{""a"":""item"",""t"":""2004"",""n"":19}",zhandou_10.jpg
29,10029,43023,"{""a"":""attr"",""t"":""jinbi"",""n"":17000},{""a"":""attr"",""t"":""useexp"",""n"":6600},{""a"":""item"",""t"":""2004"",""n"":20}",zhandou_10.jpg
30,10030,25023,"{""a"":""attr"",""t"":""jinbi"",""n"":17500},{""a"":""attr"",""t"":""useexp"",""n"":6800},{""a"":""item"",""t"":""2004"",""n"":20}",zhandou_10.jpg
31,10031,11033,"{""a"":""attr"",""t"":""jinbi"",""n"":18000},{""a"":""attr"",""t"":""useexp"",""n"":7000},{""a"":""item"",""t"":""2004"",""n"":21}",zhandou_10.jpg
32,10032,11023,"{""a"":""attr"",""t"":""jinbi"",""n"":18500},{""a"":""attr"",""t"":""useexp"",""n"":7200},{""a"":""item"",""t"":""2004"",""n"":21}",zhandou_10.jpg
33,10033,25023,"{""a"":""attr"",""t"":""jinbi"",""n"":19000},{""a"":""attr"",""t"":""useexp"",""n"":7400},{""a"":""item"",""t"":""2004"",""n"":22}",zhandou_10.jpg
34,10034,25033,"{""a"":""attr"",""t"":""jinbi"",""n"":19500},{""a"":""attr"",""t"":""useexp"",""n"":7600},{""a"":""item"",""t"":""2004"",""n"":22}",zhandou_10.jpg
35,10035,52013,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""attr"",""t"":""useexp"",""n"":7800},{""a"":""item"",""t"":""2004"",""n"":23}",zhandou_10.jpg
36,10036,32023,"{""a"":""attr"",""t"":""jinbi"",""n"":20500},{""a"":""attr"",""t"":""useexp"",""n"":8000},{""a"":""item"",""t"":""2004"",""n"":23}",zhandou_10.jpg
37,10037,31023,"{""a"":""attr"",""t"":""jinbi"",""n"":21000},{""a"":""attr"",""t"":""useexp"",""n"":8200},{""a"":""item"",""t"":""2004"",""n"":24}",zhandou_10.jpg
38,10038,41023,"{""a"":""attr"",""t"":""jinbi"",""n"":21500},{""a"":""attr"",""t"":""useexp"",""n"":8400},{""a"":""item"",""t"":""2004"",""n"":24}",zhandou_10.jpg
39,10039,41023,"{""a"":""attr"",""t"":""jinbi"",""n"":22000},{""a"":""attr"",""t"":""useexp"",""n"":8600},{""a"":""item"",""t"":""2004"",""n"":25}",zhandou_10.jpg
40,10040,64013,"{""a"":""attr"",""t"":""jinbi"",""n"":22500},{""a"":""attr"",""t"":""useexp"",""n"":8800},{""a"":""item"",""t"":""2004"",""n"":25}",zhandou_10.jpg
41,10041,11044,"{""a"":""attr"",""t"":""jinbi"",""n"":23000},{""a"":""attr"",""t"":""useexp"",""n"":9000},{""a"":""item"",""t"":""2004"",""n"":26}",zhandou_10.jpg
42,10042,11033,"{""a"":""attr"",""t"":""jinbi"",""n"":23500},{""a"":""attr"",""t"":""useexp"",""n"":9200},{""a"":""item"",""t"":""2004"",""n"":26}",zhandou_10.jpg
43,10043,25023,"{""a"":""attr"",""t"":""jinbi"",""n"":24000},{""a"":""attr"",""t"":""useexp"",""n"":9400},{""a"":""item"",""t"":""2004"",""n"":27}",zhandou_10.jpg
44,10044,21014,"{""a"":""attr"",""t"":""jinbi"",""n"":24500},{""a"":""attr"",""t"":""useexp"",""n"":9600},{""a"":""item"",""t"":""2004"",""n"":27}",zhandou_10.jpg
45,10045,31054,"{""a"":""attr"",""t"":""jinbi"",""n"":25000},{""a"":""attr"",""t"":""useexp"",""n"":9800},{""a"":""item"",""t"":""2004"",""n"":28}",zhandou_10.jpg
46,10046,41034,"{""a"":""attr"",""t"":""jinbi"",""n"":25500},{""a"":""attr"",""t"":""useexp"",""n"":10000},{""a"":""item"",""t"":""2004"",""n"":28}",zhandou_10.jpg
47,10047,41023,"{""a"":""attr"",""t"":""jinbi"",""n"":26000},{""a"":""attr"",""t"":""useexp"",""n"":10200},{""a"":""item"",""t"":""2004"",""n"":29}",zhandou_10.jpg
48,10048,31023,"{""a"":""attr"",""t"":""jinbi"",""n"":26500},{""a"":""attr"",""t"":""useexp"",""n"":10400},{""a"":""item"",""t"":""2004"",""n"":29}",zhandou_10.jpg
49,10049,52034,"{""a"":""attr"",""t"":""jinbi"",""n"":27000},{""a"":""attr"",""t"":""useexp"",""n"":10600},{""a"":""item"",""t"":""2004"",""n"":30}",zhandou_10.jpg
