决斗等级,升级经验,累计经验,宝石属性,,解锁饰品,饰品ID,,,,
1,20,20,"""5""",,0,"""6096""",,,,
2,40,60,"""2""",,,,,,,
3,60,120,,,1,"""6016"",""6026"",""6036"",""6046"",""6056""",,,,
4,80,200,"""3""",,,,,,,
5,100,300,,,2,"""6316"",""6326"",""6336"",""6346"",""6356""",,,,
6,100,400,"""6""",,,,,,,
7,100,500,,,3,"""6156"",""6166"",""6176""",,,,
8,100,600,"""8""",,,,,,,
9,100,700,,,4,"""6366"",""6376"",""6386""",,,,
10,100,800,"""11""",,5,"""6186"",""6196"",""6206"",""6216""",,,,
11,100,900,,,6,"""6396"",""6406"",""6416"",""6426""",,,,
12,100,1000,"""4""",,7,"""6226"",""6236""",,,,
13,100,1100,,,8,"""6436"",""6446""",,,,
14,100,1200,"""9""",,9,"""6246""",,,,
15,100,1300,,,10,"""6456""",,,,
16,100,1400,"""7""",,11,"""6256"",""6266""",,,,
17,100,1500,,,12,"""6066"",""6086""",,,,
18,100,1600,"""1""",,13,"""6106"",""6116""",,,,
19,100,1700,,,14,"""6126"",""6136"",""6146""",,,,
20,100,1800,"""10""",,15,"""6076""",,,,
21,100,1900,,,16,"""6276"",""6286""",,,,
22,100,2000,,,17,"""6296"",""6306""",,,,
23,100,2100,,,18,"""6466""",,,,
24,100,2200,,,19,"""6476""",,,,
25,100,2300,,,20,"""6486""",,,,
26,100,2400,,,21,"""6496"",""6536"",""6546""",,,,
27,100,2500,,,22,"""6506"",""6516""",,,,
28,100,2600,,,23,"""6526""",,,,
29,100,2700,,,24,"""6556""",,,,
30,0,2700,,,25,"""6566""",,,,
