英雄ID,英雄名称,放置名称,评论ID,英雄种族,品质星级,圣器,卷轴类型,职业,品质,定位,模型,头像,十星模型,十星头像,升星材料,成长编号,被动开启等级,普攻,怒气,怒气名称,怒气描述,被动1,被动1名称,被动1描述,被动2,被动2名称,被动2描述,被动3,被动3名称,被动3描述,怒气图标,被动1图标,被动2图标,被动3图标,配音,是否有独立的施法动画,攻击频率,塔防攻击
11011,软泥怪,阿呆,1101,1,1,,0,1,0,,11011,11011,,,,11011,[],1,11011012,软泥冲击,怒气技能：对单个敌人造成125%伤害，并有30%概率眩晕敌人2回合,,,,,,,,,,skillico_001,,,,"""11011""",0,500,20
11023,石像鬼,链锤,1102,1,3,,0,1,2,,11023,11023,,,,11023,[2],2,11023012,石突打击,怒气技能：对敌方后排随机2名角色造成90%攻击伤害，并有25%概率石化目标1回合,"""11023114""",石化,被动效果：受到攻击身体会渐渐硬化，防御提升5%，持续1回合,,,,,,,skillico_002,skillico_056,,,"""11023""",0,500,45
11033,獠牙猎手,冰巨魔,1103,1,3,,0,1,2,,11033,11033,,,,11033,"[2,3]",2,11033012,寒冰打击,怒气技能：对血量最少的敌人造成160%攻击伤害，并使得英雄命中提升20%，持续2回合,"""11033114""",狂怒,被动效果：受到攻击时30%概率反击，造成60%攻击伤害,"""11033214""",巨魔血统,被动效果：受到暴击伤害时，恢复英雄50%攻击的生命（受控不可触发恢复效果）,,,,skillico_003,skillico_271,skillico_204,,"""11033""",0,500,45
11044,巨镰马洛萨,暴躁的尸体,1104,1,4,,0,1,3,,11044,11044,,,,11044,"[2,4]",4,11044012,骸骨旋风,怒气技能：对血量最少的敌人造成180%攻击伤害，并偷取敌人20%防御2回合,"""11044114""",骷髅意志,被动效果：受到伤害，提升英雄10%格挡，持续1回合,"""11044211""",坚韧,被动效果：拥有坚韧的身躯，使得自身生命增加30%,,,,skillico_004,skillico_220,skillico_204,,"""11044"",""11045""",0,500,60
11045,巨镰马洛萨,暴躁的尸体,1104,1,5,,1,1,4,bsctk,11045,11045,,,,11045,"[3,5]",4,11045012,骸骨旋风,怒气技能：对血量最少的敌人造成200%攻击伤害，并偷取敌人30%防御2回合,"""11045114""",骷髅意志,被动效果：受到伤害，提升英雄15%格挡，持续1回合,"""11045211""",坚韧,被动效果：拥有坚韧的身躯，使得自身生命增加40%,,,,skillico_004,skillico_220,skillico_204,,"""11044"",""11045""",0,500,85
11054,骷髅王扎卡,梦魇骑士,1105,1,4,,0,1,3,,11054,11054,,,,11054,"[2,4]",5,11054012,流星打击,怒气技能：对敌方后排随机3名敌人造成125%攻击伤害，并使自己暴击提升10%，持续2回合,"""11054111"",""11054121""",防御,被动效果：骷髅王血量提升20%，攻击提升15%,"""11054214""",刃甲,被动效果：受到伤害时25%概率反击，造成50%攻击伤害,,,,skillico_005,skillico_205,skillico_230,,"""11054"",""11055""",0,500,65
11055,骷髅王扎卡,梦魇骑士,1105,1,5,,1,1,4,bsctk,11055,11055,,,,11055,"[3,5]",5,11055012,流星打击,怒气技能：对敌方后排敌人造成130%攻击伤害，并使自己暴击提升15%，持续2回合,"""11055111"",""11055121""",防御,被动效果：骷髅王血量提升25%，攻击提升20%,"""11055214""",刃甲,被动效果：受到伤害时30%概率反击，造成60%攻击伤害,,,,skillico_005,skillico_205,skillico_230,,"""11054"",""11055""",0,500,85
11064,缝合收割者,骸骨将军,1106,1,4,,0,1,3,,11064,11064,,,,11064,"[2,4]",5,11064012,腐蚀软泥,怒气技能：对后排敌人造成100%攻击伤害，并有50%概率使其受到30%流血伤害持续2回合,"""11064111""",奇异身体,被动效果：防御提升25%,"""11064214""",孤注一掷,被动效果：每当我方英雄死亡，伤害减免增加7%,,,,skillico_006,skillico_207,skillico_208,,"""11064"",""11065""",0,500,65
11065,缝合收割者,骸骨将军,1106,1,5,,1,1,4,bsctk,11065,11065,,,,11065,"[3,5]",5,11065012,腐蚀软泥,怒气技能：对后排敌人造成120%攻击伤害，并有50%概率使其受到50%流血伤害持续2回合,"""11065111""",奇异身体,被动效果：防御提升35%,"""11065214""",孤注一掷,被动效果：每当我方英雄死亡，伤害减免增加10%,,,,skillico_006,skillico_207,skillico_208,,"""11064"",""11065""",0,500,85
11075,冰霜骨龙,主宰者,1107,1,5,,3,1,4,fytk,11075,11075,,,,11075,"[2,3,5]",2,11075012,冰霜吐息,怒气技能：对敌方后排造成自身攻击76%的伤害并恢复自身78%攻击的等量生命,"""11075111"",""11075121""",不死亡灵,被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加24%，命中增加20%,"""11075214""",血源祭祀,被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复44%攻击的等量生命（受控不可触发恢复效果）,"""11075314""",源生之血,被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己24%攻击等量生命,skillico_1107_1,skillico_1107_2,skillico_1107_3,skillico_1107_4,"""11075"",""11076"",""1107a""",0,500,100
11076,冰霜骨龙,主宰者,1107,1,6,11076,0,1,5,,11076,11076,1107a,1107a,11075,11076,"[2,4,6]",2,11076012,冰霜吐息2,怒气技能：对敌方后排造成自身攻击100%的伤害并恢复自身100%攻击的等量生命,"""11076111"",""11076121""",不死亡灵2,被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加36%，命中增加20%,"""11076214""",血源祭祀2,被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复66%攻击的等量生命（受控不可触发恢复效果）,"""11076314""",源生之血2,被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己36%攻击等量生命,skillico_1107_1,skillico_1107_2,skillico_1107_3,skillico_1107_4,"""11075"",""11076"",""1107a""",0,500,115
11085,亡灵领主,巴德,1108,1,5,,3,1,4,bsctk,11085,11085,,,,11085,"[2,3,5]",4,11085012,死寂重斩,怒气技能：对敌方生命最少的目标造成自身攻击180%的伤害并恢复自身攻击60%的生命,"""11085111"",""11085121"",""11085131""",不死亡灵,被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加24%，破防增加20%，攻击+10%,"""11085214"",""11085224""",狂暴意志,被动效果：站得住才有输出！每次普攻提升自己8.8%破防和8.8%暴击,"""11085314""",伤痛咆哮1,被动效果：普攻变为对生命最低的敌人造成110%攻击伤害，并有80%概率造成额外60%伤害,skillico_1108_1,skillico_1108_2,skillico_1108_3,skillico_1108_4,"""11085"",""11086"",""1108a""",0,500,100
11086,亡灵领主,巴德,1108,1,6,11086,0,1,5,,11086,11086,1108a,1108a,11085,11086,"[2,4,6]",4,11086012,死寂重斩2,怒气技能：对敌方生命最少的目标造成自身攻击210%的伤害并恢复自身攻击150%的生命,"""11086111"",""11086121"",""11086131""",不死亡灵2,被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加36%，破防增加28%，攻击+15%,"""11086214"",""11086224""",狂暴意志2,被动效果：站得住才有输出！每次普攻提升自己11.1%破防11.1%暴击,"""11086314""",伤痛咆哮2,被动效果：普攻变为对生命最低的敌人造成120%攻击伤害，并有80%概率造成额外90%伤害,skillico_1108_1,skillico_1108_2,skillico_1108_3,skillico_1108_4,"""11085"",""11086"",""1108a""",0,500,115
11095,冷血督军,尸妖,1109,1,5,,4,1,4,qpkz,11095,11095,,,,11095,"[2,3,5]",11095002,11095012,永冻之镰,怒气技能：对前排敌人造成122%攻击伤害并有40%几率使目标冰冻2回合，同时恢复自身生命上限10%等量生命,"""11095104""",冰霜护甲,被动效果：受到攻击有11.5%几率使攻击者冰冻2回合,"""11095201"",""11095211"",""11095221"",""11095204""",冷血天性,被动效果：格挡增加15%，生命增加20%，护甲增加15%，免疫冰冻,"""11095304""",不死亡灵,被动效果：当生命低于50%，恢复自身240%攻击等量生命，持续3回合（只触发一次）,skillico_1109_1,skillico_1109_2,skillico_1109_3,skillico_1109_4,"""11095"",""11096"",""1109a""",1,500,105
