英雄ID,英雄名称,英雄星级,攻击系数,防御系数,生命系数,速度系数,雕文插槽,攻击百分比,生命百分比,最大等级,升星材料,额外材料,被动1名称,被动1,被动1描述,被动2名称,被动2,被动2描述,被动3名称,被动3,被动3描述,怒气名称,怒气,怒气描述
11076,主宰者,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""jichuzhongzu"":1,""star"":5,""num"":4}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,生命仪式2,"""11076214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复66%攻击的等量生命（受控不可触发恢复效果）,源生之血2,"""11076314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己36%攻击等量生命,冰霜吐息2,11076012,怒气技能：对敌方后排造成自身攻击100%的伤害并恢复自身100%攻击的等量生命
11076,主宰者,8,2.78,1,4.84,1.6,0,0,0,185,"[{""a"":""item"",""t"":""2004"",""n"":3000}]","[{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":3}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血2,"""11076314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己36%攻击等量生命,冰霜吐息2,11076012,怒气技能：对敌方后排造成自身攻击100%的伤害并恢复自身100%攻击的等量生命
11076,主宰者,9,3.07,1,6.16,1.6,0,0,0,205,"[{""a"":""item"",""t"":""2004"",""n"":4000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""jichuzhongzu"":1,""star"":5,""num"":2}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息2,11076012,怒气技能：对敌方后排造成自身攻击100%的伤害并恢复自身100%攻击的等量生命
11076,主宰者,10,3.51,1,8.14,1.6,0,0,0,255,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息3,1107a012,怒气技能：对敌方全体造成220%攻击伤害并有33%概率冰冻2回合，恢复自己588%攻击等量生命
11076,主宰者,11,3.51,1,8.14,1.6,1,70,100,270,"[{""a"":""item"",""t"":""2004"",""n"":10000}]","[{""sxhero"":1,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息3,1107a012,怒气技能：对敌方全体造成220%攻击伤害并有33%概率冰冻2回合，恢复自己588%攻击等量生命
11076,主宰者,12,3.51,1,8.14,1.6,2,140,200,285,"[{""a"":""item"",""t"":""2004"",""n"":15000}]","[{""sxhero"":1,""num"":1},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":9,""num"":1}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息3,1107a012,怒气技能：对敌方全体造成220%攻击伤害并有33%概率冰冻2回合，恢复自己588%攻击等量生命
11076,主宰者,13,3.51,1,8.14,1.6,3,210,300,300,"[{""a"":""item"",""t"":""2004"",""n"":20000},{""a"":""item"",""t"":""2039"",""n"":10}]","[{""sxhero"":1,""num"":2},{""jichuzhongzu"":1,""star"":6,""num"":1},{""star"":10,""num"":1}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息3,1107a012,怒气技能：对敌方全体造成220%攻击伤害并有33%概率冰冻2回合，恢复自己588%攻击等量生命
11076,主宰者,14,3.51,1,8.14,1.6,4,330,500,300,"[{""a"":""item"",""t"":""2004"",""n"":25000},{""a"":""item"",""t"":""2039"",""n"":20}]","[{""sxhero"":1,""num"":2},{""star"":9,""num"":1},{""star"":10,""num"":1}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息3,1107a012,怒气技能：对敌方全体造成220%攻击伤害并有33%概率冰冻2回合，恢复自己588%攻击等量生命
11076,主宰者,15,3.51,1,8.14,1.6,5,450,700,300,"[{""a"":""item"",""t"":""2004"",""n"":30000},{""a"":""item"",""t"":""2039"",""n"":30}]","[{""sxhero"":1,""num"":2},{""star"":9,""num"":1},{""star"":10,""num"":1}]",不死亡灵3,"""1107a111"",""1107a121""",被动效果：冰霜巨龙转化为的亡灵生物，身体强度大幅增加，生命增加60%，命中增加20%,血源祭祀3,"""1107a214""",被动效果：敌方英雄发生格挡时，吸收敌方生命，使自己恢复77%攻击的等量生命（受控不可触发恢复效果）,源生之血3,"""1107a314""",被动效果：冰霜骨龙身体里流淌着原生之血，每次普攻恢复自己111%攻击等量生命,冰霜吐息3,1107a012,怒气技能：对敌方全体造成220%攻击伤害并有33%概率冰冻2回合，恢复自己588%攻击等量生命
11086,巴德,7,2.49,1,3.52,1.6,0,0,0,165,"[{""a"":""item"",""t"":""2004"",""n"":2000}]","[{""jichuzhongzu"":1,""star"":5,""num"":4}]",不死亡灵3,"""1108a111"",""1108a121"",""1108a131""",被动效果：人类领主转化为的亡灵生物，身体强度大幅增加，生命增加65%，破防增加36%，攻击+25%,狂暴意志2,"""11086214"",""11086224""",被动效果：站得住才有输出！每次普攻提升自己11.1%破防11.1%暴击,伤痛咆哮2,"""11086314""",被动效果：普攻变为对生命最低的敌人造成120%攻击伤害，并有80%概率造成额外90%伤害,死寂重斩2,11086012,怒气技能：对敌方生命最少的目标造成自身攻击210%的伤害并恢复自身攻击150%的生命
