道具ID,是否叠加,道具名称,道具类型,描述类型,背包分类,道具品质,品质等级,途径,道具图标,小图标,道具星级,种族,道具描述,特殊字段,掉落组,使用等级,合成数量,合成指定英雄ID,稀有,使用跳转,活动类型
1000,1,10级礼包,1,1,2,5,0,,item_1000,,,,测试用，10级开启，可获得大量奖励,,"""1000_01"",""1000_02"",""1000_03""",10,,,0,,
1001,1,悬赏卷轴,1,1,2,3,0,"4,26",item_1001,,,,使用后可以获得1000点悬赏积分,,"""1001""",,,,0,,
1002,1,橙色3星装备礼包,1,1,2,4,0,,item_1002,,,,使用后随机获得1件橙色品质3星的装备,,"""1002""",,,,0,,
1003,1,红色1星装备礼包,1,1,2,5,0,,item_1003,,,,使用后随机获得1件红色品质1星的装备,,"""1003""",,,,0,,
1004,1,贵族经验,1,1,2,4,0,,vipexp,,,,使用后可以获得10点贵族经验,,"""1004""",,,,0,,
1005,1,公会王者头像框,6,1,2,5,0,,head_03,,,,使用后可激活《公会王者》专属头像框7天,"""headborder"",""3"",604800",,,,,0,,
1006,1,稀有雕文宝箱,1,1,2,2,0,38,item_1006,,,,使用后随机获得绿色、蓝色、紫色品质雕文,,"""1006""",,,,0,,
1007,1,史诗雕文宝箱,1,1,2,3,0,38,item_1007,,,,使用后随机获得蓝色、紫色、橙色品质雕文,,"""1007""",,,,0,,
1008,1,传说雕文宝箱,1,1,2,4,0,38,item_1008,,,,使用后随机获得橙色、红色品质雕文,,"""1008""",,,,1,,
1009,1,永恒雕文宝箱,1,1,2,5,0,38,item_1009,,,,使用后可以获得红色品质雕文，有较小几率获得红+品质雕文,,"""1009""",,,,1,,
1010,1,幸运之星礼包,1,1,2,2,0,,item_1010,,,,竞猜王者获取，内含普通雕文宝箱*1，金币*200000，雕文精华*100,,"""1010_1"",""1010_2"",""1010_3""",,,,0,,
1011,1,加油助威礼包,1,1,2,3,0,,item_1011,,,,竞猜王者获取，内含稀有雕文宝箱*1，金币*500000，雕文精华*200,,"""1011_1"",""1011_2"",""1011_3""",,,,0,,
1012,1,天命王者礼包,1,1,2,4,0,,item_1012,,,,竞猜王者获取，内含稀有雕文宝箱*2，金币*800000，雕文精华*400,,"""1012_1"",""1012_2"",""1012_3""",,,,0,,
1013,1,荣耀王者聊天框,6,1,2,4,0,,chat_03,,,,使用后可激活《荣耀王者》专属聊天框7天,"""chatborder"",""3"",604800",,,,,0,,
1014,1,巅峰王者聊天框,6,1,2,5,0,,chat_04,,,,使用后可激活《巅峰王者》专属聊天框7天,"""chatborder"",""4"",604800",,,,,0,,
1015,1,红色2星装备礼包,1,1,2,5,0,,item_1015,,,,使用后随机获得1件红色品质2星的装备,,"""1015""",,,,0,,
1016,1,红色3星装备礼包,1,1,2,5,0,,item_1016,,,,使用后随机获得1件红色品质3星的装备,,"""1016""",,,,0,,
1017,1,红色4星装备礼包,1,1,2,5,0,,item_1017,,,,使用后随机获得1件红色品质4星的装备,,"""1017""",,,,0,,
1018,1,红色5星装备礼包,1,1,2,5,0,,item_1018,,,,使用后随机获得1件红色品质5星的装备,,"""1018""",,,,1,,
1019,1,节日福袋,1,1,2,3,0,,item_1019,,,,节日福袋，有概率开出66或288勇气徽章，66或288精铁，188生命之魂，188888或288888或388888英雄经验；有极低概率开出限定饰品“金猪吊坠”。,,"""1019""",,,,0,,
1020,1,精英宝箱,1,1,2,4,0,,item_1020,,,,使用后概率获得金币、孔雀石、英雄碎片、精铁等道具，有较低概率获得红色饰品碎片,,"""1020""",,,,0,,
1021,1,神器碎片宝箱,1,1,2,3,0,,item_1021,,,,使用后有几率获得毁灭之刃碎片、落日神弓碎片、神恩法杖碎片中的一个,,"""1021""",,,,0,,
1022,1,五星亡灵自选箱,9,1,2,4,0,,item_1103,,,1,使用后可以从所有五星亡灵英雄中选择并获得50个指定的五星亡灵英雄碎片,"{""a"":""item"",""t"":""11045"",""n"":50},{""a"":""item"",""t"":""11055"",""n"":50},{""a"":""item"",""t"":""11065"",""n"":50},{""a"":""item"",""t"":""11075"",""n"":50},{""a"":""item"",""t"":""11085"",""n"":50},{""a"":""item"",""t"":""11095"",""n"":50},{""a"":""item"",""t"":""11105"",""n"":50},{""a"":""item"",""t"":""12025"",""n"":50},{""a"":""item"",""t"":""12035"",""n"":50},{""a"":""item"",""t"":""12045"",""n"":50},{""a"":""item"",""t"":""13035"",""n"":50},{""a"":""item"",""t"":""13045"",""n"":50},{""a"":""item"",""t"":""14025"",""n"":50},{""a"":""item"",""t"":""14035"",""n"":50},{""a"":""item"",""t"":""14045"",""n"":50},{""a"":""item"",""t"":""14055"",""n"":50},{""a"":""item"",""t"":""15015"",""n"":50},{""a"":""item"",""t"":""15025"",""n"":50},{""a"":""item"",""t"":""15035"",""n"":50},{""a"":""item"",""t"":""15045"",""n"":50},{""a"":""item"",""t"":""31115"",""n"":50}",,,,,0,,
1023,1,五星奥术自选箱,9,1,2,4,0,,item_1103,,,2,使用后可以从所有五星奥术英雄选择并获得50个指定的五星奥术英雄碎片,"{""a"":""item"",""t"":""21015"",""n"":50},{""a"":""item"",""t"":""21025"",""n"":50},{""a"":""item"",""t"":""21035"",""n"":50},{""a"":""item"",""t"":""21045"",""n"":50},{""a"":""item"",""t"":""21055"",""n"":50},{""a"":""item"",""t"":""22025"",""n"":50},{""a"":""item"",""t"":""22035"",""n"":50},{""a"":""item"",""t"":""22045"",""n"":50},{""a"":""item"",""t"":""22055"",""n"":50},{""a"":""item"",""t"":""22065"",""n"":50},{""a"":""item"",""t"":""22075"",""n"":50},{""a"":""item"",""t"":""23035"",""n"":50},{""a"":""item"",""t"":""24025"",""n"":50},{""a"":""item"",""t"":""24035"",""n"":50},{""a"":""item"",""t"":""24045"",""n"":50},{""a"":""item"",""t"":""25045"",""n"":50},{""a"":""item"",""t"":""25055"",""n"":50},{""a"":""item"",""t"":""25065"",""n"":50},{""a"":""item"",""t"":""25075"",""n"":50}",,,,,0,,
1024,1,五星邪能自选箱,9,1,2,4,0,,item_1103,,,3,使用后可以从所有五星邪能英雄选择并获得50个指定的五星邪能英雄碎片,"{""a"":""item"",""t"":""31045"",""n"":50},{""a"":""item"",""t"":""31055"",""n"":50},{""a"":""item"",""t"":""31065"",""n"":50},{""a"":""item"",""t"":""31075"",""n"":50},{""a"":""item"",""t"":""31085"",""n"":50},{""a"":""item"",""t"":""31095"",""n"":50},{""a"":""item"",""t"":""31105"",""n"":50},{""a"":""item"",""t"":""32035"",""n"":50},{""a"":""item"",""t"":""32045"",""n"":50},{""a"":""item"",""t"":""32055"",""n"":50},{""a"":""item"",""t"":""32065"",""n"":50},{""a"":""item"",""t"":""33015"",""n"":50},{""a"":""item"",""t"":""33025"",""n"":50},{""a"":""item"",""t"":""33035"",""n"":50},{""a"":""item"",""t"":""34015"",""n"":50},{""a"":""item"",""t"":""34025"",""n"":50},{""a"":""item"",""t"":""35035"",""n"":50},{""a"":""item"",""t"":""35045"",""n"":50},{""a"":""item"",""t"":""35055"",""n"":50}",,,,,0,,
