活动开启天数,所属标签,活动id,活动标题,奖励,活动最大进度,活动条件,活动类型,领奖消耗,消耗折扣,领奖vip限制
1,1,1001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":100},{""a"":""item"",""t"":""2004"",""n"":100}",1,,1,,10,0
1,1,1002,开服累计充值100元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":500},{""a"":""item"",""t"":""2004"",""n"":500}",100,,2,,10,0
1,2,1003,探险关卡通关第10关,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2004"",""n"":30}",10,,11,,10,0
1,2,1004,探险关卡通关第20关,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2004"",""n"":30}",20,,11,,10,0
1,2,1005,探险关卡通关第30关,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""2004"",""n"":30}",30,,11,,10,0
1,2,1006,探险关卡通关第45关,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""2004"",""n"":50}",45,,11,,10,0
1,2,1007,探险关卡通关第60关,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""2004"",""n"":50}",60,,11,,10,0
1,3,1008,赠送好友5次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""23013"",""n"":20}",5,,12,,10,0
1,3,1009,赠送好友10次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""24013"",""n"":20}",10,,12,,10,0
1,3,1010,赠送好友20次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":30000},{""a"":""item"",""t"":""23023"",""n"":20}",20,,12,,10,0
1,3,1011,赠送好友30次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":50000},{""a"":""item"",""t"":""25033"",""n"":20}",30,,12,,10,0
1,3,1012,赠送好友50次友情印记,"{""a"":""attr"",""t"":""jinbi"",""n"":100000},{""a"":""item"",""t"":""31023"",""n"":20}",50,,12,,10,0
1,4,1013,全民半价,"{""a"":""item"",""t"":""22034"",""n"":30}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":600}",5,0
1,4,1014,VIP1半价,"{""a"":""item"",""t"":""2004"",""n"":500}",1,,3,"{""a"":""attr"",""t"":""rmbmoney"",""n"":300}",5,1
2,1,2001,今日登录可领取,"{""a"":""attr"",""t"":""rmbmoney"",""n"":150},{""a"":""item"",""t"":""2005"",""n"":500}",1,,1,,10,0
2,1,2002,开服累计充值200元,"{""a"":""attr"",""t"":""rmbmoney"",""n"":1000},{""a"":""item"",""t"":""2008"",""n"":2}",200,,2,,10,0
2,2,2003,巨龙神殿达到20层,"{""a"":""attr"",""t"":""jinbi"",""n"":10000},{""a"":""item"",""t"":""2014"",""n"":2}",20,,13,,10,0
2,2,2004,巨龙神殿达到30层,"{""a"":""attr"",""t"":""jinbi"",""n"":20000},{""a"":""item"",""t"":""2014"",""n"":2}",30,,13,,10,0
