英雄id,阶,攻击上限,生命上限,每次攻击,每次生命,突破属性,,,,
11045,1,1010,16618,5,50,"""speed"":0",,,,
11055,1,1187,15548,5,50,"""speed"":0",,,,
11065,1,1187,15548,5,50,"""speed"":0",,,,
11075,1,1305,21766,5,50,"""speed"":0",,,,
11076,1,1305,21766,5,50,"""speed"":10",,,,
11076,2,2611,68297,5,50,"""speed"":20",,,,
11076,3,3917,123945,5,50,"""speed"":30",,,,
11076,4,5222,190593,5,50,"""speed"":40",,,,
11076,5,6528,268244,5,50,"""speed"":50",,,,
11076,6,7834,439265,5,50,"""unbaojipro"":50",,,,
11076,7,9009,505155,5,50,"""miankongpro"":50",,,,
11076,8,10184,571045,5,50,"""speed"":60",,,,
11076,9,11751,658898,5,50,"""speed"":0",,,,
11085,1,1533,18334,5,50,"""speed"":0",,,,
11086,1,1533,18334,5,50,"""speed"":10",,,,
11086,2,3066,57527,5,50,"""speed"":20",,,,
11086,3,4599,104400,5,50,"""speed"":30",,,,
11086,4,6132,160538,5,50,"""speed"":40",,,,
11086,5,7665,225944,5,50,"""speed"":50",,,,
11086,6,9199,369997,5,50,"""unbaojipro"":50",,,,
11086,7,10578,425496,5,50,"""miankongpro"":50",,,,
11086,8,11958,480996,5,50,"""speed"":60",,,,
11086,9,13798,554996,5,50,"""speed"":0",,,,
11095,1,1221,23004,5,50,"""speed"":0",,,,
11096,1,1221,23004,5,50,"""speed"":10",,,,
11096,2,2442,72181,5,50,"""speed"":20",,,,
11096,3,3664,130994,5,50,"""speed"":30",,,,
11096,4,4885,201433,5,50,"""speed"":40",,,,
11096,5,6107,283499,5,50,"""speed"":50",,,,
11096,6,7328,464247,5,50,"""unbaojipro"":50",,,,
11096,7,8428,533884,5,50,"""miankongpro"":50",,,,
11096,8,9527,603521,5,50,"""speed"":60",,,,
11096,9,10993,696370,5,50,"""speed"":0",,,,
11105,1,1870,18109,5,50,"""speed"":0",,,,
11106,1,1870,18109,5,50,"""speed"":10",,,,
11106,2,3740,56821,5,50,"""speed"":20",,,,
11106,3,5610,103118,5,50,"""speed"":30",,,,
11106,4,7480,158568,5,50,"""speed"":40",,,,
11106,5,9350,223170,5,50,"""speed"":50",,,,
11106,6,11220,365455,5,50,"""unbaojipro"":50",,,,
11106,7,12903,420273,5,50,"""miankongpro"":50",,,,
11106,8,14586,475091,5,50,"""speed"":60",,,,
11106,9,16831,548182,5,50,"""speed"":0",,,,
12025,1,1583,12763,5,50,"""speed"":0",,,,
12026,1,1583,12763,5,50,"""speed"":10",,,,
12026,2,3167,40048,5,50,"""speed"":20",,,,
12026,3,4751,72679,5,50,"""speed"":30",,,,
12026,4,6334,111761,5,50,"""speed"":40",,,,
12026,5,7918,157294,5,50,"""speed"":0",,,,
12035,1,1979,13823,5,50,"""speed"":0",,,,
12036,1,1979,13823,5,50,"""speed"":10",,,,
12036,2,3959,43373,5,50,"""speed"":20",,,,
12036,3,5938,78714,5,50,"""speed"":30",,,,
12036,4,7918,121040,5,50,"""speed"":40",,,,
12036,5,9898,170354,5,50,"""speed"":50",,,,
12036,6,11877,278964,5,50,"""unbaojipro"":50",,,,
12036,7,13659,320809,5,50,"""miankongpro"":50",,,,
12036,8,15441,362654,5,50,"""speed"":60",,,,
12036,9,17816,418447,5,50,"""speed"":0",,,,
12045,1,1954,14554,5,50,"""speed"":0",,,,
12046,1,1954,14554,5,50,"""speed"":10",,,,
12046,2,3908,45668,5,50,"""speed"":20",,,,
12046,3,5863,82879,5,50,"""speed"":30",,,,
12046,4,7817,127445,5,50,"""speed"":40",,,,
12046,5,9771,179368,5,50,"""speed"":50",,,,
12046,6,11726,293726,5,50,"""unbaojipro"":50",,,,
12046,7,13485,337785,5,50,"""miankongpro"":50",,,,
12046,8,15244,381844,5,50,"""speed"":60",,,,
12046,9,17589,440590,5,50,"""speed"":0",,,,
13035,1,1519,15033,5,50,"""speed"":0",,,,
13036,1,1519,15033,5,50,"""speed"":10",,,,
13036,2,3039,47169,5,50,"""speed"":20",,,,
13036,3,4559,85602,5,50,"""speed"":30",,,,
13036,4,6078,131633,5,50,"""speed"":40",,,,
13036,5,7598,185262,5,50,"""speed"":0",,,,
13045,1,1838,13823,5,50,"""speed"":0",,,,
13046,1,1838,13823,5,50,"""speed"":10",,,,
13046,2,3676,43373,5,50,"""speed"":20",,,,
13046,3,5515,78714,5,50,"""speed"":30",,,,
13046,4,7353,121040,5,50,"""speed"":40",,,,
13046,5,9192,170354,5,50,"""speed"":50",,,,
13046,6,11030,278964,5,50,"""unbaojipro"":50",,,,
13046,7,12685,320809,5,50,"""miankongpro"":50",,,,
13046,8,14339,362654,5,50,"""speed"":60",,,,
13046,9,16546,418447,5,50,"""speed"":0",,,,
