宠物id,序号,颜色,名称,图标,模型,技能描述,定位
2001,1,2,咕咕鸟宝宝,2001,pet_2001,恢复己方生命最低的目标神宠水晶生命值{1}%+目标生命值{2}%的生命，并使其暴击增加{3}%持续1回合,单体回复
2002,2,2,软泥怪宝宝,2002,pet_2002,对敌方生命最低的目标造成神宠水晶攻击{1}%的伤害，并有{2}%的概率眩晕目标1回合,单体控制
3001,1,3,暴龙宝宝,3001,pet_3001,对随机敌方3个目标造成{1}%神宠水晶攻击的伤害，对石化、眩晕、冰冻状态的英雄造成伤害提升为原来的1.5倍,群体伤害
3002,2,3,水元素宝宝,3002,pet_3002,为己方生命最低的3个英雄恢复神宠水晶生命值{1}%+目标生命值{2}%的生命，对生命值低于30%的目标，造成1.5倍恢复效果,群体回复
3003,3,3,地狱战马宝宝,3003,pet_3003,对随机前排随机单体造成{1}%神宠水晶攻击的伤害，并有{2}%概率使得目标被动技能失效，持续1回合（失效期间目标任何被动技能均不会触发）；如果地狱战马宝宝的攻击使目标被动失效且击杀目标，或目标在被动失效期间被击杀，则直接死亡。,单体控制
4001,1,4,冰凤凰宝宝,4001,pet_4001,对敌方随机4个目标造成神宠水晶攻击{1}%的伤害，目标身上每有一层流血效果将提升{2}%伤害效果（最高不超过神宠水晶攻击的{3}倍）；对超过3层的目标有{4}%概率附加冰冻，持续1回合。,群体控制
4002,2,4,黑凤凰宝宝,4002,pet_4002,对敌方全体造成神宠水晶攻击{1}%的伤害，并使我方全体提升神宠水晶{2}%的速度1回合,全体增益
4003,3,4,邪龙宝宝,4003,pet_4003,对敌方随机4个目标造成神宠水晶攻击{1}%的伤害，目标身上每有一层中毒效果将提升{2}%伤害效果（最高不超过神宠水晶攻击的{3}倍）；对超过3层的目标有{4}%概率附加石化，持续1回合。,群体控制
4004,4,4,自然之灵宝宝,4004,pet_4004,为己方全体英雄恢复神宠水晶生命值{1}%+目标生命值{2}%的生命，同时对所有生命值低于30%的英雄附加【复活印记】，持续1回合。拥有【复活印记】的英雄首次被杀死将会在回合结束时复活，并恢复{3}%生命。,全体回复
4005,5,4,双头地狱犬宝宝,4005,pet_4005,对敌方随机4个目标造成神宠水晶攻击{1}%的伤害，目标身上每有一层燃烧效果将提升{2}%伤害效果（最高不超过神宠水晶攻击的{3}倍）；对超过3层的目标有{4}%概率附加眩晕，持续1回合。,群体控制
5001,1,5,凤凰宝宝,5001,pet_5001,对敌方全体造成神宠水晶攻击{1}%的伤害，目标身上每有一层燃烧、流血、中毒将提升{2}%伤害效果（最高不超过神宠水晶攻击的{3}倍）；并{4}友方单位身上的全部负面状态。,群体驱散
5002,2,5,幽灵虎宝宝,5002,pet_5002,对敌方全体造成神宠水晶攻击{1}%的伤害，目标身上每有一层燃烧、流血、中毒将提升{2}%伤害效果（最高不超过神宠水晶攻击的{3}倍）；并对身上携带灼烧、流血、中毒总计超过3层的目标有{4}%概率附加眩晕，持续1回合。,群体控制
5003,3,5,光元素宝宝,5003,pet_5003,对敌方全体造成神宠水晶攻击{1}%的伤害，目标身上每层灼烧、流血、中毒将提升{2}%伤害效果（最高不超过神宠水晶的{3}倍）；并有{4}%概率眩晕{5}回合，提升己方随机{6}名英雄{7}%伤害加成2回合,群体增伤
