宠物id,等阶,颜色,名称,消耗本体,消耗粉尘,返还,技能,技能参数,
2001,0,2,咕咕鸟宝宝,1,5,3,200100002,"140,2,5",
2001,1,2,咕咕鸟宝宝,2,10,11,200100102,"170,3,10",
2001,2,2,咕咕鸟宝宝,3,30,27,200100202,"200,4,15",
2001,3,2,咕咕鸟宝宝,4,50,66,200100302,"250,5,20",
2001,4,2,咕咕鸟宝宝,5,100,128,200100402,"300,6,25",
2001,5,2,咕咕鸟宝宝,0,0,243,200100502,"350,8,30",
2002,0,2,软泥怪宝宝,1,5,3,200200002,"1750,5",
2002,1,2,软泥怪宝宝,2,10,11,200200102,"2000,10",
2002,2,2,软泥怪宝宝,3,30,27,200200202,"2300,15",
2002,3,2,软泥怪宝宝,4,50,66,200200302,"2650,20",
2002,4,2,软泥怪宝宝,5,100,128,200200402,"3000,25",
2002,5,2,软泥怪宝宝,0,0,243,200200502,"3500,30",
3001,0,3,暴龙宝宝,1,25,5,300100002,850,
3001,1,3,暴龙宝宝,2,50,35,300100102,1000,
3001,2,3,暴龙宝宝,3,150,95,300100202,1150,
3001,3,3,暴龙宝宝,4,250,260,300100302,1300,
3001,4,3,暴龙宝宝,5,500,530,300100402,1500,
3001,5,3,暴龙宝宝,0,0,1055,300100502,1750,
3002,0,3,水元素宝宝,1,25,5,300200002,"65,1",
3002,1,3,水元素宝宝,2,50,35,300200102,"80,1.5",
3002,2,3,水元素宝宝,3,150,95,300200202,"100,2",
3002,3,3,水元素宝宝,4,250,260,300200302,"130,2.5",
3002,4,3,水元素宝宝,5,500,530,300200402,"165,3",
3002,5,3,水元素宝宝,0,0,1055,300200502,"200,4",
3003,0,3,地狱战马宝宝,1,25,5,300300002,"2000,30",
3003,1,3,地狱战马宝宝,2,50,35,300300102,"2600,40",
3003,2,3,地狱战马宝宝,3,150,95,300300202,"3250,50",
3003,3,3,地狱战马宝宝,4,250,260,300300302,"4000,60",
3003,4,3,地狱战马宝宝,5,500,530,300300402,"5000,70",
3003,5,3,地狱战马宝宝,0,0,1055,300300502,"6500,80",
4001,0,4,冰凤凰宝宝,1,50,10,400100002,"500,150,15,25",
4001,1,4,冰凤凰宝宝,2,100,70,400100102,"600,190,20,35",
4001,2,4,冰凤凰宝宝,3,300,190,400100202,"700,230,25,50",
4001,3,4,冰凤凰宝宝,4,500,520,400100302,"800,270,25,65",
4001,4,4,冰凤凰宝宝,5,1000,1060,400100402,"900,310,30,80",
4001,5,4,冰凤凰宝宝,0,0,2110,400100502,"1000,350,35,100",
4002,0,4,黑凤凰宝宝,1,50,10,400200002,"500,30",
4002,1,4,黑凤凰宝宝,2,100,70,400200102,"600,60",
4002,2,4,黑凤凰宝宝,3,300,190,400200202,"700,95",
4002,3,4,黑凤凰宝宝,4,500,520,400200302,"800,130",
4002,4,4,黑凤凰宝宝,5,1000,1060,400200402,"900,165",
4002,5,4,黑凤凰宝宝,0,0,2110,400200502,"1000,200",
4003,0,4,邪龙宝宝,1,50,10,400300002,"500,150,15,25",
4003,1,4,邪龙宝宝,2,100,70,400300102,"600,190,20,35",
4003,2,4,邪龙宝宝,3,300,190,400300202,"700,230,25,50",
4003,3,4,邪龙宝宝,4,500,520,400300302,"800,270,25,65",
4003,4,4,邪龙宝宝,5,1000,1060,400300402,"900,310,30,80",
4003,5,4,邪龙宝宝,0,0,2110,400300502,"1000,350,35,100",
4004,0,4,自然之灵宝宝,1,50,10,400400002,"65,1,2",
4004,1,4,自然之灵宝宝,2,100,70,400400102,"80,1.5,3.5",
4004,2,4,自然之灵宝宝,3,300,190,400400202,"100,2,5",
4004,3,4,自然之灵宝宝,4,500,520,400400302,"130,2.5,6.5",
4004,4,4,自然之灵宝宝,5,1000,1060,400400402,"165,3,8.5",
4004,5,4,自然之灵宝宝,0,0,2110,400400502,"200,4,10",
4005,0,4,双头地狱犬宝宝,1,50,10,400500002,"500,150,15,25",
4005,1,4,双头地狱犬宝宝,2,100,70,400500102,"600,190,20,35",
4005,2,4,双头地狱犬宝宝,3,300,190,400500202,"700,230,25,50",
4005,3,4,双头地狱犬宝宝,4,500,520,400500302,"800,270,25,65",
4005,4,4,双头地狱犬宝宝,5,1000,1060,400500402,"900,310,30,80",
4005,5,4,双头地狱犬宝宝,0,0,2110,400500502,"1000,350,35,100",
5001,0,5,凤凰宝宝,1,100,0,500100002,"500,150,15,""随机驱散1个""",
5001,1,5,凤凰宝宝,2,200,0,500100102,"600,190,20,""随机驱散2个""",
5001,2,5,凤凰宝宝,3,600,0,500100202,"700,230,25,""随机驱散3个""",
5001,3,5,凤凰宝宝,4,1000,0,500100302,"800,270,25,""随机驱散4个""",
5001,4,5,凤凰宝宝,5,2000,0,500100402,"900,310,30,""随机驱散5个""",
5001,5,5,凤凰宝宝,0,0,0,500100502,"1000,350,35,""驱散全体""",
5002,0,5,幽灵虎宝宝,1,100,0,500200002,"500,150,15,25",
5002,1,5,幽灵虎宝宝,2,200,0,500200102,"600,190,20,35",
5002,2,5,幽灵虎宝宝,3,600,0,500200202,"700,230,25,50",
5002,3,5,幽灵虎宝宝,4,1000,0,500200302,"800,270,25,65",
5002,4,5,幽灵虎宝宝,5,2000,0,500200402,"900,310,30,80",
5002,5,5,幽灵虎宝宝,0,0,0,500200502,"1000,350,35,100",
5003,0,5,光元素宝宝,1,100,0,500300002,"500,150,15,24,2,4,45",
5003,1,5,光元素宝宝,2,200,0,500300102,"600,190,20,27,2,4,50",
5003,2,5,光元素宝宝,3,600,0,500300202,"700,230,25,39,2,4,55",
5003,3,5,光元素宝宝,4,1000,0,500300302,"800,270,25,31,2,4,60",
5003,4,5,光元素宝宝,5,2000,0,500300402,"900,310,30,33,2,4,65",
5003,5,5,光元素宝宝,0,0,0,500300502,"1000,350,35,36,2,4,75",
