神器ID,技能等级,技能,技能名字,技能图标,神器编号,技能描述
1,0,10002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$300$点真实伤害并流血，持续造成133点流血伤害，持续3回合
1,1,10102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$1916$点真实伤害并流血，持续造成1072点流血伤害，持续3回合
1,2,10202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$3031$点真实伤害并流血，持续造成1842点流血伤害，持续3回合
1,3,10302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$4146$点真实伤害并流血，持续造成2612点流血伤害，持续3回合
1,4,10402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$5261$点真实伤害并流血，持续造成3382点流血伤害，持续3回合
1,5,10502,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$6376$点真实伤害并流血，持续造成4152点流血伤害，持续3回合
1,6,10602,绝杀,shenbing_01,1,唤醒毁灭之力，对随机2名敌人造成$7491$点真实伤害并流血，持续造成4922点流血伤害，持续3回合
1,7,10702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成$11611$点真实伤害并流血，持续造成7842点流血伤害，持续3回合
1,8,10802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成$15731$点真实伤害并流血，持续造成10762点流血伤害，持续3回合
1,9,10902,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成$19851$点真实伤害并流血，持续造成13682点流血伤害，持续3回合
1,10,11002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成$23971$点真实伤害并流血，持续造成16602点流血伤害，持续3回合
1,11,11102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成$28091$点真实伤害并流血，持续造成19522点流血伤害，持续3回合
1,12,11202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机3名敌人造成$32211$点真实伤害并流血，持续造成22442点流血伤害，持续3回合
1,13,11302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$50981$点真实伤害并流血，持续造成35862点流血伤害，持续3回合，增加己方随机4名英雄对流血目标10%伤害加成2回合
1,14,11402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$69751$点真实伤害并流血，持续造成49282点流血伤害，持续3回合，增加己方随机4名英雄对流血目标15%伤害加成2回合
1,15,11502,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$88521$点真实伤害并流血，持续造成62702点流血伤害，持续3回合，增加己方随机4名英雄对流血目标20%伤害加成2回合
1,16,11602,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$107291$点真实伤害并流血，持续造成76122点流血伤害，持续3回合，增加己方随机4名英雄对流血目标25%伤害加成2回合
1,17,11702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$126061$点真实伤害并流血，持续造成89542点流血伤害，持续3回合，增加己方随机4名英雄对流血目标30%伤害加成2回合
1,18,11802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$144831$点真实伤害并流血，持续造成102962点流血伤害，持续3回合，增加己方随机4名英雄对流血目标35%伤害加成2回合
1,19,11902,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$164951$点真实伤害并流血，持续造成126882点流血伤害，持续3回合，增加己方随机4名英雄对流血目标40%伤害加成2回合
1,20,12002,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$185071$点真实伤害并流血，持续造成150802点流血伤害，持续3回合，增加己方随机4名英雄对流血目标45%伤害加成2回合
1,21,12102,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$205191$点真实伤害并流血，持续造成174722点流血伤害，持续3回合，增加己方随机4名英雄对流血目标50%伤害加成2回合
1,22,12202,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$225311$点真实伤害并流血，持续造成198642点流血伤害，持续3回合，增加己方随机4名英雄对流血目标55%伤害加成2回合
1,23,12302,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$245431$点真实伤害并流血，持续造成222562点流血伤害，持续3回合，增加己方随机4名英雄对流血目标60%伤害加成2回合
1,24,12402,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$265600$点真实伤害并流血，持续造成246500点流血伤害，持续3回合，增加己方随机4名英雄对流血目标65%伤害加成2回合
1,25,12502,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$285671$点真实伤害并流血，持续造成261611点流血伤害，持续3回合，增加己方随机4名英雄对流血目标70%伤害加成2回合
1,26,12602,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$305791$点真实伤害并流血，持续造成276722点流血伤害，持续3回合，增加己方随机4名英雄对流血目标75%伤害加成2回合
1,27,12702,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$325911$点真实伤害并流血，持续造成291833点流血伤害，持续3回合，增加己方随机4名英雄对流血目标80%伤害加成2回合
1,28,12802,绝杀,shenbing_01,1,唤醒毁灭之力，对随机4名敌人造成$346031$点真实伤害并流血，持续造成306944点流血伤害，持续3回合，增加己方随机4名英雄对流血目标85%伤害加成2回合
