关卡id,守关BOSS,展示模型,关卡奖励,战斗地图,镜像属性系数,镜像奖励,护卫BOSS,护卫奖励
1,50001,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10229,"{""a"":""item"",""t"":""2026"",""n"":1}"
2,50002,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10229,"{""a"":""item"",""t"":""2026"",""n"":1}"
3,50003,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10229,"{""a"":""item"",""t"":""2026"",""n"":1}"
4,50004,41035,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10229,"{""a"":""item"",""t"":""2026"",""n"":1}"
5,50005,31086,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10230,"{""a"":""item"",""t"":""2026"",""n"":1}"
6,50006,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10230,"{""a"":""item"",""t"":""2026"",""n"":1}"
7,50007,11055,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10230,"{""a"":""item"",""t"":""2026"",""n"":1}"
8,50008,11076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10230,"{""a"":""item"",""t"":""2026"",""n"":1}"
9,50009,41035,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10231,"{""a"":""item"",""t"":""2026"",""n"":1}"
10,50010,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.8,""hp"":0.8","{""a"":""item"",""t"":""2026"",""n"":10}",10231,"{""a"":""item"",""t"":""2026"",""n"":1}"
11,50011,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10231,"{""a"":""item"",""t"":""2026"",""n"":1}"
12,50012,35046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10231,"{""a"":""item"",""t"":""2026"",""n"":1}"
13,50013,11076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10232,"{""a"":""item"",""t"":""2026"",""n"":1}"
14,50014,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10232,"{""a"":""item"",""t"":""2026"",""n"":1}"
15,50015,52025,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10232,"{""a"":""item"",""t"":""2026"",""n"":1}"
16,50016,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10232,"{""a"":""item"",""t"":""2026"",""n"":1}"
17,50017,11086,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10233,"{""a"":""item"",""t"":""2026"",""n"":1}"
18,50018,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10233,"{""a"":""item"",""t"":""2026"",""n"":1}"
19,50019,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10233,"{""a"":""item"",""t"":""2026"",""n"":1}"
20,50020,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.81,""hp"":0.81","{""a"":""item"",""t"":""2026"",""n"":10}",10233,"{""a"":""item"",""t"":""2026"",""n"":1}"
21,50021,41056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10234,"{""a"":""item"",""t"":""2026"",""n"":1}"
22,50022,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10234,"{""a"":""item"",""t"":""2026"",""n"":1}"
23,50023,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10234,"{""a"":""item"",""t"":""2026"",""n"":1}"
24,50024,15036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10234,"{""a"":""item"",""t"":""2026"",""n"":1}"
25,50025,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10235,"{""a"":""item"",""t"":""2026"",""n"":1}"
26,50026,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10235,"{""a"":""item"",""t"":""2026"",""n"":1}"
27,50027,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10235,"{""a"":""item"",""t"":""2026"",""n"":1}"
28,50028,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10235,"{""a"":""item"",""t"":""2026"",""n"":1}"
29,50029,51016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10236,"{""a"":""item"",""t"":""2026"",""n"":1}"
30,50030,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.82,""hp"":0.82","{""a"":""item"",""t"":""2026"",""n"":10}",10236,"{""a"":""item"",""t"":""2026"",""n"":1}"
31,50031,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10236,"{""a"":""item"",""t"":""2026"",""n"":1}"
32,50032,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10236,"{""a"":""item"",""t"":""2026"",""n"":1}"
33,50033,43056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10237,"{""a"":""item"",""t"":""2026"",""n"":1}"
34,50034,12036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10237,"{""a"":""item"",""t"":""2026"",""n"":1}"
35,50035,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10237,"{""a"":""item"",""t"":""2026"",""n"":1}"
36,50036,52046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10237,"{""a"":""item"",""t"":""2026"",""n"":1}"
37,50037,21036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10238,"{""a"":""item"",""t"":""2026"",""n"":1}"
38,50038,35036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10238,"{""a"":""item"",""t"":""2026"",""n"":1}"
39,50039,14026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10238,"{""a"":""item"",""t"":""2026"",""n"":1}"
40,50040,45046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.83,""hp"":0.83","{""a"":""item"",""t"":""2026"",""n"":10}",10238,"{""a"":""item"",""t"":""2026"",""n"":1}"
41,50041,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10239,"{""a"":""item"",""t"":""2026"",""n"":1}"
42,50042,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10239,"{""a"":""item"",""t"":""2026"",""n"":1}"
43,50043,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10239,"{""a"":""item"",""t"":""2026"",""n"":1}"
44,50044,15036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10239,"{""a"":""item"",""t"":""2026"",""n"":1}"
45,50045,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10240,"{""a"":""item"",""t"":""2026"",""n"":1}"
46,50046,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10240,"{""a"":""item"",""t"":""2026"",""n"":1}"
47,50047,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10240,"{""a"":""item"",""t"":""2026"",""n"":1}"
48,50048,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10240,"{""a"":""item"",""t"":""2026"",""n"":1}"
49,50049,51016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10241,"{""a"":""item"",""t"":""2026"",""n"":1}"
50,50050,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.84,""hp"":0.84","{""a"":""item"",""t"":""2026"",""n"":10}",10241,"{""a"":""item"",""t"":""2026"",""n"":1}"
51,50051,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10241,"{""a"":""item"",""t"":""2026"",""n"":1}"
52,50052,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10241,"{""a"":""item"",""t"":""2026"",""n"":1}"
53,50053,43056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10242,"{""a"":""item"",""t"":""2026"",""n"":1}"
54,50054,12036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10242,"{""a"":""item"",""t"":""2026"",""n"":1}"
55,50055,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10242,"{""a"":""item"",""t"":""2026"",""n"":1}"
56,50056,52046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10242,"{""a"":""item"",""t"":""2026"",""n"":1}"
57,50057,21036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10243,"{""a"":""item"",""t"":""2026"",""n"":1}"
58,50058,35036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10243,"{""a"":""item"",""t"":""2026"",""n"":1}"
59,50059,14026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10243,"{""a"":""item"",""t"":""2026"",""n"":1}"
60,50060,45046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.85,""hp"":0.85","{""a"":""item"",""t"":""2026"",""n"":10}",10243,"{""a"":""item"",""t"":""2026"",""n"":1}"
61,50061,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10244,"{""a"":""item"",""t"":""2026"",""n"":1}"
62,50062,25076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10244,"{""a"":""item"",""t"":""2026"",""n"":1}"
63,50063,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10244,"{""a"":""item"",""t"":""2026"",""n"":1}"
64,50064,15036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10244,"{""a"":""item"",""t"":""2026"",""n"":1}"
65,50065,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10245,"{""a"":""item"",""t"":""2026"",""n"":1}"
66,50066,63026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10245,"{""a"":""item"",""t"":""2026"",""n"":1}"
67,50067,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10245,"{""a"":""item"",""t"":""2026"",""n"":1}"
68,50068,31076,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10245,"{""a"":""item"",""t"":""2026"",""n"":1}"
69,50069,51016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10246,"{""a"":""item"",""t"":""2026"",""n"":1}"
70,50070,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.86,""hp"":0.86","{""a"":""item"",""t"":""2026"",""n"":10}",10246,"{""a"":""item"",""t"":""2026"",""n"":1}"
71,50071,61026,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10246,"{""a"":""item"",""t"":""2026"",""n"":1}"
72,50072,25066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10246,"{""a"":""item"",""t"":""2026"",""n"":1}"
73,50073,41066,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10247,"{""a"":""item"",""t"":""2026"",""n"":1}"
74,50074,12036,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10247,"{""a"":""item"",""t"":""2026"",""n"":1}"
75,50075,32046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10247,"{""a"":""item"",""t"":""2026"",""n"":1}"
76,50076,62016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10247,"{""a"":""item"",""t"":""2026"",""n"":1}"
77,50077,22046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10248,"{""a"":""item"",""t"":""2026"",""n"":1}"
78,50078,32056,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10248,"{""a"":""item"",""t"":""2026"",""n"":1}"
79,50079,51016,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10248,"{""a"":""item"",""t"":""2026"",""n"":1}"
80,50080,21046,"{""a"":""item"",""t"":""2026"",""n"":2}",zhandou_11.jpg,"""atk"":0.87,""hp"":0.87","{""a"":""item"",""t"":""2026"",""n"":10}",10248,"{""a"":""item"",""t"":""2026"",""n"":1}"
