挑战id,名称,参数
1,增伤,"{""stype"":""1"",""skill"": [],""color"":2,""intro"":""伤害加成"",""buff"":{""dpspro"":100}}"
2,增伤,"{""stype"":""1"",""skill"": [],""color"":3,""intro"":""伤害加成"",""buff"":{""dpspro"":200}}"
3,增伤,"{""stype"":""1"",""skill"": [],""color"":4,""intro"":""伤害加成"",""buff"":{""dpspro"":300}}"
4,减伤,"{""stype"":""2"",""skill"": [],""color"":2,""intro"":""伤害减免"",""buff"":{""undpspro"":100}}"
5,减伤,"{""stype"":""2"",""skill"": [],""color"":3,""intro"":""伤害减免"",""buff"":{""undpspro"":200}}"
6,减伤,"{""stype"":""2"",""skill"": [],""color"":4,""intro"":""伤害减免"",""buff"":{""undpspro"":300}}"
7,暴率,"{""stype"":""3"",""skill"": [],""color"":2,""intro"":""暴击率"",""buff"":{""baojipro"":100}}"
8,暴率,"{""stype"":""3"",""skill"": [],""color"":3,""intro"":""暴击率"",""buff"":{""baojipro"":200}}"
9,暴率,"{""stype"":""3"",""skill"": [],""color"":4,""intro"":""暴击率"",""buff"":{""baojipro"":300}}"
10,爆伤,"{""stype"":""4"",""skill"": [],""color"":2,""intro"":""暴击伤害"",""buff"":{""baoshangpro"":100}}"
11,爆伤,"{""stype"":""4"",""skill"": [],""color"":3,""intro"":""暴击伤害"",""buff"":{""baoshangpro"":200}}"
12,爆伤,"{""stype"":""4"",""skill"": [],""color"":4,""intro"":""暴击伤害"",""buff"":{""baoshangpro"":300}}"
13,格挡,"{""stype"":""5"",""skill"": [],""color"":2,""intro"":""格挡"",""buff"":{""gedangpro"":100}}"
14,格挡,"{""stype"":""5"",""skill"": [],""color"":3,""intro"":""格挡"",""buff"":{""gedangpro"":200}}"
15,格挡,"{""stype"":""5"",""skill"": [],""color"":4,""intro"":""格挡"",""buff"":{""gedangpro"":300}}"
16,免控,"{""stype"":""6"",""skill"": [],""color"":2,""intro"":""免控"",""buff"":{""miankongpro"":100}}"
