饰品ID,饰品名称,饰品品质,饰品星级,饰品图标,战力,分数,升星饰品ID,突破饰品ID,升星经验,分解经验,分解碎片数量,饰品属性,饰品技能,技能描述,专属种族,专属属性,出售,突破需求,突破数量需求,突破属性,回退消耗,回退奖励
1001,星界精华,0,1,shipin_100,1,10,,,40,10,,"""atk"":1",,,,,"{""a"":""attr"",""t"":""jinbi"",""n"":227}",,0,,,
1011,翼纹之石,0,1,shipin_101,500,10010,1012,,40,20,,"""atk"":156","""101114""",+5.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":215}",,0,,,
1012,翼纹之石,0,2,shipin_101,650,10020,1013,,40,60,,"""atk"":207","""101214""",+7.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":432}",,0,,,
1013,翼纹之石,0,3,shipin_101,800,10030,1014,,40,100,,"""atk"":256","""101314""",+8.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":620}",,0,,,
1014,翼纹之石,0,4,shipin_101,1000,10040,,,40,140,,"""atk"":308","""101414""",+10.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}",,0,,,
1021,鬼眼之戒,0,1,shipin_102,500,10010,1022,,40,20,,"""atk"":156","""102114""",+5.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":238}",,0,,,
1022,鬼眼之戒,0,2,shipin_102,650,10020,1023,,40,60,,"""atk"":207","""102214""",+7.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":440}",,0,,,
1023,鬼眼之戒,0,3,shipin_102,800,10030,1024,,40,100,,"""atk"":256","""102314""",+8.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":615}",,0,,,
1024,鬼眼之戒,0,4,shipin_102,1000,10040,,,40,140,,"""atk"":308","""102414""",+10.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":831}",,0,,,
1031,秘法魔石,0,1,shipin_103,500,10010,1032,,40,20,,"""atk"":156","""103114""",+5.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":219}",,0,,,
1032,秘法魔石,0,2,shipin_103,650,10020,1033,,40,60,,"""atk"":207","""103214""",+7.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":438}",,0,,,
1033,秘法魔石,0,3,shipin_103,800,10030,1034,,40,100,,"""atk"":256","""103314""",+8.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":608}",,0,,,
1034,秘法魔石,0,4,shipin_103,1000,10040,,,40,140,,"""atk"":308","""103414""",+10.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":844}",,0,,,
1041,战争手鼓,0,1,shipin_104,500,10010,1042,,40,20,,"""atk"":156","""104114""",+5.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":234}",,0,,,
1042,战争手鼓,0,2,shipin_104,650,10020,1043,,40,60,,"""atk"":207","""104214""",+7.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":400}",,0,,,
1043,战争手鼓,0,3,shipin_104,800,10030,1044,,40,100,,"""atk"":256","""104314""",+8.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":647}",,0,,,
1044,战争手鼓,0,4,shipin_104,1000,10040,,,40,140,,"""atk"":308","""104414""",+10.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":812}",,0,,,
1051,飞龙之骨,0,1,shipin_105,500,10010,1052,,40,20,,"""atk"":156","""105114""",+5.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":221}",,0,,,
1052,飞龙之骨,0,2,shipin_105,650,10020,1053,,40,60,,"""atk"":207","""105214""",+7.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":437}",,0,,,
1053,飞龙之骨,0,3,shipin_105,800,10030,1054,,40,100,,"""atk"":256","""105314""",+8.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":600}",,0,,,
1054,飞龙之骨,0,4,shipin_105,1000,10040,,,40,140,,"""atk"":308","""105414""",+10.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}",,0,,,
1061,翼纹之石,0,1,shipin_101,500,10010,1062,,40,20,,"""hp"":1014","""101114""",+5.5%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":215}",,0,,,
1062,翼纹之石,0,2,shipin_101,650,10020,1063,,40,60,,"""hp"":1345","""101214""",+7.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":432}",,0,,,
1063,翼纹之石,0,3,shipin_101,800,10030,1064,,40,100,,"""hp"":1664","""101314""",+8.8%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":620}",,0,,,
1064,翼纹之石,0,4,shipin_101,1000,10040,,,40,140,,"""hp"":2002","""101414""",+10.7%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}",,0,,,
1071,鬼眼之戒,0,1,shipin_102,500,10010,1072,,40,20,,"""hp"":1014","""102114""",+5.5%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":238}",,0,,,
1072,鬼眼之戒,0,2,shipin_102,650,10020,1073,,40,60,,"""hp"":1345","""102214""",+7.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":440}",,0,,,
1073,鬼眼之戒,0,3,shipin_102,800,10030,1074,,40,100,,"""hp"":1664","""102314""",+8.8%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":615}",,0,,,
1074,鬼眼之戒,0,4,shipin_102,1000,10040,,,40,140,,"""hp"":2002","""102414""",+10.7%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":831}",,0,,,
1081,秘法魔石,0,1,shipin_103,500,10010,1082,,40,20,,"""hp"":1014","""103114""",+5.5%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":219}",,0,,,
1082,秘法魔石,0,2,shipin_103,650,10020,1083,,40,60,,"""hp"":1345","""103214""",+7.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":438}",,0,,,
1083,秘法魔石,0,3,shipin_103,800,10030,1084,,40,100,,"""hp"":1664","""103314""",+8.8%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":608}",,0,,,
1084,秘法魔石,0,4,shipin_103,1000,10040,,,40,140,,"""hp"":2002","""103414""",+10.7%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":844}",,0,,,
1091,战争手鼓,0,1,shipin_104,500,10010,1092,,40,20,,"""hp"":1014","""104114""",+5.5%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":234}",,0,,,
1092,战争手鼓,0,2,shipin_104,650,10020,1093,,40,60,,"""hp"":1345","""104214""",+7.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":400}",,0,,,
1093,战争手鼓,0,3,shipin_104,800,10030,1094,,40,100,,"""hp"":1664","""104314""",+8.8%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":647}",,0,,,
1094,战争手鼓,0,4,shipin_104,1000,10040,,,40,140,,"""hp"":2002","""104414""",+10.7%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":812}",,0,,,
1101,飞龙之骨,0,1,shipin_105,500,10010,1102,,40,20,,"""hp"":1014","""105114""",+5.5%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":221}",,0,,,
1102,飞龙之骨,0,2,shipin_105,650,10020,1103,,40,60,,"""hp"":1345","""105214""",+7.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":437}",,0,,,
1103,飞龙之骨,0,3,shipin_105,800,10030,1104,,40,100,,"""hp"":1664","""105314""",+8.8%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":600}",,0,,,
1104,飞龙之骨,0,4,shipin_105,1000,10040,,,40,140,,"""hp"":2002","""105414""",+10.7%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":835}",,0,,,
2011,奥术之书,1,1,shipin_201,800,11010,2012,,180,40,,"""atk"":250","""201114""",+9.3%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1752}",,0,,,
2012,奥术之书,1,2,shipin_201,1000,11020,2013,,180,220,,"""atk"":308","""201214""",+11.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2543}",,0,,,
2013,奥术之书,1,3,shipin_201,1200,11030,2014,,180,400,,"""atk"":372","""201314""",+13.2%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3361}",,0,,,
2014,奥术之书,1,4,shipin_201,1500,11040,,,180,580,,"""atk"":456","""201414""",+16%对战士的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4107}",,0,,,
2021,魔能之石,1,1,shipin_202,800,11010,2022,,180,40,,"""atk"":250","""202114""",+9.3%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1700}",,0,,,
2022,魔能之石,1,2,shipin_202,1000,11020,2023,,180,220,,"""atk"":308","""202214""",+11.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2506}",,0,,,
2023,魔能之石,1,3,shipin_202,1200,11030,2024,,180,400,,"""atk"":372","""202314""",+13.2%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3362}",,0,,,
2024,魔能之石,1,4,shipin_202,1500,11040,,,180,580,,"""atk"":456","""202414""",+16%对法师的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4143}",,0,,,
2031,邪能雕像,1,1,shipin_203,800,11010,2032,,180,40,,"""atk"":250","""203114""",+9.3%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1723}",,0,,,
2032,邪能雕像,1,2,shipin_203,1000,11020,2033,,180,220,,"""atk"":308","""203214""",+11.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2560}",,0,,,
2033,邪能雕像,1,3,shipin_203,1200,11030,2034,,180,400,,"""atk"":372","""203314""",+13.2%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3371}",,0,,,
2034,邪能雕像,1,4,shipin_203,1500,11040,,,180,580,,"""atk"":456","""203414""",+16%对辅助的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4151}",,0,,,
2041,秘法水晶,1,1,shipin_204,800,11010,2042,,180,40,,"""atk"":250","""204114""",+9.3%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1732}",,0,,,
2042,秘法水晶,1,2,shipin_204,1000,11020,2043,,180,220,,"""atk"":308","""204214""",+11.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2550}",,0,,,
2043,秘法水晶,1,3,shipin_204,1200,11030,2044,,180,400,,"""atk"":372","""204314""",+13.2%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":3305}",,0,,,
2044,秘法水晶,1,4,shipin_204,1500,11040,,,180,580,,"""atk"":456","""204414""",+16%对刺客的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":4162}",,0,,,
2051,精灵之眼,1,1,shipin_205,800,11010,2052,,180,40,,"""atk"":250","""205114""",+9.3%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":1715}",,0,,,
2052,精灵之眼,1,2,shipin_205,1000,11020,2053,,180,220,,"""atk"":308","""205214""",+11.2%对游侠的伤害加成,,,"{""a"":""attr"",""t"":""jinbi"",""n"":2584}",,0,,,
