道具组,物品类型,物品编号,物品数量,物品权重,购买限制,开放天数,购买费用,折扣,中奖纪录,购买vip限制,稀有度,统计识别号
101,attr,jinbi,10000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
101,attr,jinbi,20000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
101,attr,jinbi,30000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
102,attr,useexp,4000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
102,attr,useexp,8000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
102,attr,useexp,24000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
103,item,2005,20,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
103,item,2005,30,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
103,item,2005,40,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
104,item,2004,15,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
105,equip,1032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
105,equip,2032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
105,equip,3032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
105,equip,4032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
106,equip,1041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
106,equip,2041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
106,equip,3041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
106,equip,4041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
107,item,4002,30,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
108,item,52034,30,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
108,item,61014,30,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
201,attr,jinbi,30000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
201,attr,jinbi,60000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
201,attr,jinbi,90000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
202,attr,useexp,10000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
202,attr,useexp,20000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
202,attr,useexp,60000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
203,item,2005,20,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
203,item,2005,30,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
203,item,2005,40,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
204,item,2004,30,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
205,equip,1032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
205,equip,2032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
205,equip,3032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
205,equip,4032,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
206,equip,1041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
206,equip,2041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
206,equip,3041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
206,equip,4041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
207,item,4002,35,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
208,item,24035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
208,item,35045,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
208,item,14035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
208,item,41055,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
301,attr,jinbi,80000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
301,attr,jinbi,160000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
301,attr,jinbi,240000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
302,attr,useexp,30000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
302,attr,useexp,60000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
302,attr,useexp,90000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
303,item,2005,20,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
303,item,2005,30,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
303,item,2005,40,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1011,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1021,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1031,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1041,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1051,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1061,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1071,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1081,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1091,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
304,shipin,1101,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
305,equip,1041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
305,equip,2041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
305,equip,3041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
305,equip,4041,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
306,equip,1042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
306,equip,2042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
306,equip,3042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
306,equip,4042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
307,item,4002,40,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
308,item,24035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
308,item,35045,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
308,item,14035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
308,item,41055,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
401,attr,jinbi,100000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
401,attr,jinbi,200000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
401,attr,jinbi,300000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
402,attr,useexp,50000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
402,attr,useexp,100000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
402,attr,useexp,150000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
403,item,2005,40,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
403,item,2005,60,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
403,item,2005,80,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2011,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2021,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2031,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2041,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2051,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2061,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2071,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2081,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2091,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
404,shipin,2101,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
405,equip,1042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
405,equip,2042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
405,equip,3042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
405,equip,4042,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
406,equip,1043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
406,equip,2043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
406,equip,3043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
406,equip,4043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
407,item,4002,45,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
408,item,24035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
408,item,35045,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
408,item,14035,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
408,item,41055,50,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
501,attr,jinbi,125000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
501,attr,jinbi,250000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
501,attr,jinbi,375000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
502,attr,useexp,50000,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
502,attr,useexp,100000,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
502,attr,useexp,150000,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
503,item,2005,40,55,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
503,item,2005,60,40,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
503,item,2005,80,5,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3011,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3021,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3031,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3041,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3051,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3061,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3071,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3081,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3091,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
504,shipin,3101,1,1,-1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
505,equip,1043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
505,equip,2043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
505,equip,3043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
505,equip,4043,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,0,0,0,0
506,equip,1044,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
506,equip,2044,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
506,equip,3044,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
506,equip,4044,1,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
507,item,4002,60,1,1,1,"{""a"":""attr"",""t"":""jinbi"",""n"":1}",10,1,0,0,0
