技能id,技能类型,攻击动作,选敌类型,是否存活,位置,排序条件,选敌数量,释放概率,数据,检测条件,额外数据,描述,,
9053,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":10}}",{},{},5星：1%攻击，持续2回合,,
9063,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":20}}",{},{},6星：2%攻击，持续2回合,,
9073,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":30}}",{},{},7星：3%攻击，持续2回合,,
9083,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":40}}",{},{},8星：4%攻击，持续2回合,,
9093,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":50}}",{},{},9星：5%攻击，持续2回合,,
9103,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":60}}",{},{},10星：6%攻击，持续2回合,,
9113,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":70}}",{},{},11星：7%攻击，持续2回合,,
9123,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":80}}",{},{},12星：8%攻击，持续2回合,,
9133,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":90}}",{},{},13星：9%攻击，持续2回合,,
9143,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":100}}",{},{},14星：10%攻击，持续2回合,,
9153,3,buff,0,1,0,,,1000,"{""act"":""buff"",""v"":{""buffid"":""dpspro"",""round"":99,""pro"":110}}",{},{},15星：11%攻击，持续2回合,,
1023,3,relosehppro,-2,1,,,,1000,"{""pro"":102}",{},{},被动技能：每回合结束时，恢复损失血量10%的生命,,
1033,3,buff,-1,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""atkdrop"",""round"":3,""pro"":105}}",{},{},被动技能：普攻降低目标10%攻击，持续3回合,,
1043,3,buff,-2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""baojipro"",""round"":4,""pro"":150}}",{},{},被动技能：第2回合开始，增加15%暴击率，持续4回合（配置成第2回合结束，持续4回合）,,
1053,3,buff,-2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""baoshangpro"",""round"":4,""pro"":250}}",{},{},第2回合开始，增加25%暴击伤害，持续4回合,,
1063,3,hpvalue,-2,,,,,1000,"{""value"":29999} ",{},{},被动技能：受到攻击时，恢复30000点生命,,
1073,3,buff,-1,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""liuxue"",""round"":2,""pro"":135250,""realinjury"":1}}",{},{},被动技能：普通攻击使敌人受到135000点流血伤害，持续2回合,,
1083,3,buff,-1,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""zhuoshao"",""round"":99,""pro"":45100,""realinjury"":1}}",{},{},被动技能：普通攻击使敌人每回合受到45000点燃烧伤害,,
1093,3,dpspro,-1,1,,,,1000,{},"{""hasbufftype"":[""xuanyun""]}","{""pro"":165}",被动技能：攻击的目标处于眩晕状态则增加15%伤害,,
1103,3,buff,-1,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""zhongdu"",""round"":3,""pro"":105350,""realinjury"":1}}",{},{},被动技能：普通攻击使敌方造成105000点中毒伤害，持续3回合,,
1113,3,buff,-2,,,,,1000,"{""act"":""buff"",""v"":{""buffid"":""defpro"",""round"":3,""pro"":750}}",{},{},被动技能：血量低于50%时，增加80%护甲，持续3回合（仅触发一次）,,
1123,3,dpspro,-1,1,,,,1000,{},"{""hasbufftype"":[""bingdong""]}","{""pro"":165}",被动技能：攻击的目标处于冰冻状态则增加15%伤害,,
