技能id,技能类型,属性类型,技能系数,描述
11033111,1,defpro,320,护甲增加32%
11054211,1,hppro,150,生命增加15%
11054221,1,jingzhunpro,150,精准增加15%
11055211,1,hppro,250,生命增加25%
11055221,1,jingzhunpro,200,精准增加20%
11075111,1,hppro,250,生命增加25%
11075121,1,jingzhunpro,200,精准增加20%
11076111,1,hppro,300,生命增加30%
11076121,1,jingzhunpro,200,精准增加20%
11085111,1,hppro,200,生命增加20%
11085121,1,pojiapro,200,破甲增加20%
11086111,1,hppro,300,生命增加30%
11086121,1,pojiapro,280,破甲增加28%
12013211,1,atkpro,100,攻击增加10%
12035211,1,pojiapro,320,破甲增加32%
12035221,1,hppro,250,生命增加25%
12035231,1,atkpro,250,攻击增加25%
12036211,1,pojiapro,320,破甲增加32%
12036221,1,hppro,250,生命增加25%
12036231,1,atkpro,250,攻击增加25%
13034111,1,hppro,150,生命增加15%
13034121,1,jingzhunpro,150,精准增加15%
13035111,1,hppro,250,生命增加25%
13035121,1,jingzhunpro,200,精准增加20%
13036111,1,hppro,300,生命增加30%
13036121,1,jingzhunpro,300,精准增加30%
13045211,1,jingzhunpro,250,精准增加25%
13045221,1,atkpro,250,攻击增加25%
13046211,1,jingzhunpro,350,精准增加35%
13046221,1,atkpro,350,攻击增加35%
14024111,1,pojiapro,400,破甲增加40%
14025111,1,pojiapro,640,破甲增加64%
14026111,1,pojiapro,640,破甲增加64%
14026121,1,hppro,100,生命增加10%
14035111,1,pojiapro,320,破甲增加32%
14035121,1,atkpro,200,攻击增加20%
14036111,1,pojiapro,360,破甲增加36%
14036121,1,atkpro,220,攻击增加22%
14036131,1,hppro,220,生命增加10%
14045111,1,pojiapro,110,破甲增加10%
14045121,1,atkpro,190,攻击增加20%
14045131,1,hppro,140,生命增加8%
14046111,1,pojiapro,160,破甲增加15%
14046121,1,atkpro,290,攻击增加30%
14046131,1,hppro,190,生命增加12%
1404a111,1,pojiapro,210,破甲增加20%
1404a121,1,atkpro,340,攻击增加35%
1404a131,1,hppro,240,生命增加15%
15024111,1,pojiapro,160,破甲增加16%
15024121,1,atkpro,100,攻击增加10%
15025111,1,pojiapro,320,破甲增加32%
15025121,1,atkpro,200,攻击增加20%
15035311,1,pojiapro,320,破甲增加32%
15035321,1,atkpro,200,攻击增加20%
15036311,1,pojiapro,320,破甲增加32%
15036321,1,atkpro,300,攻击增加30%
21034111,1,atkpro,150,攻击增加15%
21034121,1,hppro,150,生命增加15%
21035111,1,atkpro,200,攻击增加20%
21035121,1,hppro,250,生命增加25%
21036111,1,atkpro,250,攻击增加25%
21036121,1,hppro,300,生命增加30%
21045111,1,defpro,320,护甲增加32%
21045121,1,hppro,350,生命增加20%
21046111,1,defpro,400,护甲增加40%
21046121,1,hppro,500,生命增加30%
22024121,1,hppro,200,生命增加20%
22025121,1,hppro,300,生命增加30%
22034111,1,atkpro,250,攻击增加25%
22034121,1,hppro,200,生命增加20%
22035111,1,atkpro,300,攻击增加30%
22035121,1,hppro,300,生命增加30%
22036111,1,atkpro,300,攻击增加30%
22036121,1,hppro,300,生命增加30%
22045111,1,atkpro,200,攻击增加20%
22045121,1,hppro,200,生命增加20%
22046111,1,atkpro,200,攻击增加20%
22046121,1,hppro,300,生命增加30%
22055211,1,skilldpspro,600,技能伤害增加60%
22055221,1,hppro,250,生命增加25%
22055231,1,jingzhunpro,100,精准增加10%
22056211,1,skilldpspro,750,技能伤害增加75%
22056221,1,hppro,350,生命增加35%
22056231,1,jingzhunpro,200,精准增加20%
23023111,1,skilldpspro,375,技能伤害增加37.5%
23035211,1,hppro,300,生命增加20%
23035221,1,atkpro,200,攻击增加20%
23036211,1,hppro,400,生命增加30%
23036221,1,atkpro,200,攻击增加20%
24024111,1,gedangpro,200,格挡增加20%
24024121,1,atkpro,250,攻击增加25%
24025111,1,gedangpro,200,格挡增加20%
24025121,1,atkpro,300,攻击增加30%
24026111,1,gedangpro,200,格挡增加20%
24026121,1,atkpro,350,攻击增加35%
24035211,1,gedangpro,250,格挡增加25%
24035221,1,atkpro,250,攻击增加20%
24036211,1,gedangpro,300,格挡增加30%
24036221,1,atkpro,350,攻击增加30%
25023211,1,hppro,100,生命增加10%
25023221,1,speed,20,速度增加20
25044221,1,atkpro,100,攻击增加10%
25044231,1,speed,20,速度增加20
25045221,1,atkpro,150,攻击增加15%
25045231,1,speed,30,速度增加30
25065111,1,pojiapro,320,破甲增加32%
25065121,1,atkpro,200,攻击增加20%
25066111,1,pojiapro,320,破甲增加32%
25066121,1,atkpro,300,攻击增加30%
25075111,1,gedangpro,250,格挡增加25%
25075121,1,speed,40,速度增加40
25075131,1,hppro,150,生命增加10%
25076111,1,gedangpro,300,格挡增加30%
25076121,1,speed,50,速度增加50
25076131,1,hppro,200,生命增加15%
31023121,1,hppro,100,生命增加10%
31044121,1,hppro,150,生命增加15%
31045121,1,hppro,250,生命增加25%
31064111,1,hppro,200,生命增加20%
31065111,1,hppro,300,生命增加30%
31075211,1,defpro,320,护甲增加32%
31075221,1,hppro,200,生命增加20%
31076211,1,defpro,320,护甲增加32%
31076221,1,hppro,300,生命增加30%
31085111,1,defpro,320,护甲增加32%
31085121,1,hppro,200,生命增加20%
31086111,1,defpro,320,护甲增加32%
31086121,1,hppro,300,生命增加30%
32036111,1,atkpro,200,攻击增加20%
33014111,1,atkpro,200,攻击增加20%
33015111,1,atkpro,300,攻击增加30%
33026311,1,atkpro,200,攻击增加20%
33026321,1,hppro,150,生命增加15%
34015121,1,hppro,250,生命增加25%
34025111,1,atkpro,200,攻击增加20%
34025121,1,baojipro,200,暴击增加20%
34025131,1,hppro,300,生命增加10%
34026111,1,atkpro,250,攻击增加25%
34026121,1,baojipro,300,暴击增加30%
34026131,1,hppro,400,生命增加15%
35023111,1,atkpro,150,攻击增加15%
35035211,1,atkpro,300,攻击增加30%
35035221,1,baoshangpro,100,暴击伤害增加10%
35035231,1,hppro,80,生命增加8%
35036211,1,atkpro,400,攻击增加40%
35036221,1,baoshangpro,200,暴击伤害增加20%
35036231,1,hppro,120,生命增加12%
35045111,1,atkpro,200,攻击增加20%
35045121,1,hppro,150,生命增加15%
35046111,1,atkpro,250,攻击增加25%
35046121,1,hppro,200,生命增加20%
41055111,1,hppro,200,生命增加20%
41055121,1,defpro,240,护甲增加24%
41056111,1,hppro,300,生命增加30%
41056121,1,defpro,350,护甲增加35%
41065211,1,hppro,250,生命增加25%
41065221,1,defpro,320,护甲增加32%
41066211,1,hppro,320,生命增加32%
41066221,1,undpspro,200,伤减率增加20%
42015211,1,baojipro,300,暴击增加30%
