技能id,技能类型,被动id,受控不触发,数据,检测条件,描述,
9054,4,runskill,1,"{""runskill"":[""9053""]}",{},5星：1%攻击，持续2回合,
9064,4,runskill,1,"{""runskill"":[""9063""]}",{},6星：2%攻击，持续2回合,
9074,4,runskill,1,"{""runskill"":[""9073""]}",{},7星：3%攻击，持续2回合,
9084,4,runskill,1,"{""runskill"":[""9083""]}",{},8星：4%攻击，持续2回合,
9094,4,runskill,1,"{""runskill"":[""9093""]}",{},9星：5%攻击，持续2回合,
9104,4,runskill,1,"{""runskill"":[""9103""]}",{},10星：6%攻击，持续2回合,
9114,4,runskill,1,"{""runskill"":[""9113""]}",{},11星：7%攻击，持续2回合,
9124,4,runskill,1,"{""runskill"":[""9123""]}",{},12星：8%攻击，持续2回合,
9134,4,runskill,1,"{""runskill"":[""9133""]}",{},13星：9%攻击，持续2回合,
9144,4,runskill,1,"{""runskill"":[""9143""]}",{},14星：10%攻击，持续2回合,
9154,4,runskill,1,"{""runskill"":[""9153""]}",{},15星：11%攻击，持续2回合,
1024,4,runskill,0,"{""runskill"":[""1023""]}","{""when"":""round"",""number"":""-1""}",被动技能：每回合结束时，恢复损失血量10%的生命,
1034,4,runskill,1,"{""runskill"":[""1033""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：普攻降低目标10%攻击，持续3回合,
1044,4,runskill,1,"{""runskill"":[""1043""]}","{""when"":""round"",""number"":""3""}",被动技能：第2回合开始，增加15%暴击率，持续4回合（配置成第2回合结束，持续4回合）,
1054,4,runskill,1,"{""runskill"":[""1053""]}","{""when"":""round"",""number"":""3""}",第2回合开始，增加25%暴击伤害，持续4回合,
1064,4,runskill,1,"{""runskill"":[""1063""]}","{""when"":""byatk"",""side"":""-2""}",被动技能：受到攻击时，恢复30000点生命,
1074,4,runskill,1,"{""runskill"":[""1073""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：普通攻击使敌人受到135000点流血伤害，持续2回合,
1084,4,runskill,1,"{""runskill"":[""1083""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：普通攻击使敌人每回合受到45000点燃烧伤害,
1094,4,addafterskill,1,"{""runskill"":[""1093""]}",{},被动技能：攻击的目标处于眩晕状态则增加15%伤害,
1104,4,runskill,1,"{""runskill"":[""1103""]}","{""when"":""doatk"",""atktype"":""normalskill"",""side"":""-2""}",被动技能：普通攻击使敌方造成105000点中毒伤害，持续3回合,
