层数,关卡,地图,boss战斗,boss奖励,小怪战斗,小怪奖励,名字,解密id,解密名字,随机事件,类型,手动挑战,扫荡获得
1,json/syzc/syzcmap1.json,symap1,71001,"[{""a"": ""item"", ""t"": ""2093"", ""n"": 160},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":80000}]","[""72001"",""72001"",""72001"",""72001""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":26},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2600}]",第1层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1749}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1574}]"
2,json/syzc/syzcmap2.json,symap2,71002,"[{""a"": ""item"", ""t"": ""2093"", ""n"": 161},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":80500}]","[""72002"",""72002"",""72002"",""72002""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":26},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2600}]",第2层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1750}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1575}]"
3,json/syzc/syzcmap3.json,symap3,71003,"[{""a"": ""item"", ""t"": ""2093"", ""n"":162},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":81000}]","[""72003"",""72003"",""72003"",""72003""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":26},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2600}]",第3层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1751}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1575}]"
4,json/syzc/syzcmap4.json,symap4,71004,"[{""a"": ""item"", ""t"": ""2093"", ""n"":163},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":81500}]","[""72004"",""72004"",""72004"",""72004""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":26},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2600}]",第4层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1752}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1576}]"
5,json/syzc/syzcmap5.json,symap5,71005,"[{""a"": ""item"", ""t"": ""2093"", ""n"":164},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":82000}]","[""72005"",""72005"",""72005"",""72005""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":26},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2600}]",第5层,1,截断情报,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1753}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1577}]"
6,json/syzc/syzcmap6.json,symap6,71006,"[{""a"": ""item"", ""t"": ""2093"", ""n"":165},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":82500}]","[""72006"",""72006"",""72006"",""72006""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":27},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2700}]",第6层,2,运送物资,"{""4"": 15,""7"": 0,""14"": 0,""15"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1758}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1582}]"
7,json/syzc/syzcmap7.json,symap7,71007,"[{""a"": ""item"", ""t"": ""2093"", ""n"":166},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":83000}]","[""72007"",""72007"",""72007"",""72007""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":27},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2700}]",第7层,3,噬魂共振,"{""4"": 15,""7"": 0,""16"": 0,""17"": 0,""18"": 0,""19"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1759}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1583}]"
8,json/syzc/syzcmap8.json,symap8,71008,"[{""a"": ""item"", ""t"": ""2093"", ""n"":167},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":83500}]","[""72008"",""72008"",""72008"",""72008""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":27},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2700}]",第8层,4,追踪领主,"{""4"": 15,""7"": 0,""21"": 0,""22"": 0,""23"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1760}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1584}]"
9,json/syzc/syzcmap9.json,symap9,71009,"[{""a"": ""item"", ""t"": ""2093"", ""n"":168},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":84000}]","[""72009"",""72009"",""72009"",""72009""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":27},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2700}]",第9层,1,截断情报,"{""4"": 15,""7"": 0,""12"": 0,""13"": 0,""10"": 0}",0,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1761}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1584}]"
10,json/syzc/syzcmap10.json,symap10,71010,"[{""a"": ""item"", ""t"": ""2093"", ""n"":169},{""a"": ""attr"", ""t"": ""jinbi"", ""n"":84500}]","[""72010"",""72010"",""72010"",""72010""]","[{""a"": ""item"", ""t"": ""2093"", ""n"":27},{""a"": ""attr"", ""t"": ""jinbi"", ""n"": 2700}]",第10层,2,运送物资,{"4": 15},1,"[{""a"": ""item"", ""t"": ""2093"", ""n"":1762}]","[{""a"": ""item"", ""t"": ""2093"", ""n"":1585}]"
