¹Ø¿¨±àºÅ,ÄÑ¶È,ÇøÓò,½âËøµÈ¼¶,¹Ø¿¨ÀàÐÍ,¹Ø¿¨BOSS,Î»ÖÃ,Ãû³Æ,¹Ò»ú²úÖµ,¹Ò»úµôÂä,Í¨¹Ø½±Àø,,,,,,,
1,1,1,1,1,1,"""x"":115,""y"":260",É­º£É½Âö(1),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201001"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":360},{""a"":""attr"",""t"":""jinbi"",""n"":2400},{""a"":""attr"",""t"":""exp"",""n"":700}",,,,,,,
2,1,1,1,1,2,"""x"":255,""y"":334",É­º£É½Âö(2),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201002"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":364},{""a"":""attr"",""t"":""jinbi"",""n"":2440},{""a"":""attr"",""t"":""exp"",""n"":710}",,,,,,,
3,1,1,1,1,3,"""x"":387,""y"":336",É­º£É½Âö(3),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201003"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":368},{""a"":""attr"",""t"":""jinbi"",""n"":2480},{""a"":""attr"",""t"":""exp"",""n"":720}",,,,,,,
4,1,1,1,1,4,"""x"":421,""y"":251",É­º£É½Âö(4),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201004"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":372},{""a"":""attr"",""t"":""jinbi"",""n"":2520},{""a"":""attr"",""t"":""exp"",""n"":730}",,,,,,,
5,1,1,1,2,5,"""x"":522,""y"":261",É­º£É½Âö(5),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201005"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":376},{""a"":""attr"",""t"":""jinbi"",""n"":2560},{""a"":""attr"",""t"":""exp"",""n"":740}",,,,,,,
6,1,1,1,1,6,"""x"":530,""y"":367",É­º£É½Âö(6),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201006"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":380},{""a"":""attr"",""t"":""jinbi"",""n"":2600},{""a"":""attr"",""t"":""exp"",""n"":750}",,,,,,,
7,1,1,1,1,7,"""x"":665,""y"":391",É­º£É½Âö(7),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201007"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":384},{""a"":""attr"",""t"":""jinbi"",""n"":2640},{""a"":""attr"",""t"":""exp"",""n"":760}",,,,,,,
8,1,1,1,1,8,"""x"":677,""y"":283",É­º£É½Âö(8),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201008"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":388},{""a"":""attr"",""t"":""jinbi"",""n"":2680},{""a"":""attr"",""t"":""exp"",""n"":770}",,,,,,,
9,1,1,1,1,9,"""x"":740,""y"":215",É­º£É½Âö(9),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201009"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":392},{""a"":""attr"",""t"":""jinbi"",""n"":2720},{""a"":""attr"",""t"":""exp"",""n"":780}",,,,,,,
10,1,1,1,3,10,"""x"":845,""y"":224",É­º£É½Âö(10),"""useexp"":2,""jinbi"":20,""exp"":1,""jifen"":1","""201010"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":396},{""a"":""attr"",""t"":""jinbi"",""n"":2760},{""a"":""attr"",""t"":""exp"",""n"":790}",,,,,,,
11,1,2,1,1,11,"""x"":168,""y"":427",ºÚ°µÁúÑ¨(11),"""useexp"":3,""jinbi"":21,""exp"":2,""jifen"":1","""201011"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":600},{""a"":""attr"",""t"":""jinbi"",""n"":2940},{""a"":""attr"",""t"":""exp"",""n"":800}",,,,,,,
12,1,2,1,1,12,"""x"":259,""y"":347",ºÚ°µÁúÑ¨(12),"""useexp"":3,""jinbi"":21,""exp"":3,""jifen"":1","""201012"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":606},{""a"":""attr"",""t"":""jinbi"",""n"":2982},{""a"":""attr"",""t"":""exp"",""n"":810}",,,,,,,
13,1,2,1,1,13,"""x"":288,""y"":229",ºÚ°µÁúÑ¨(13),"""useexp"":3,""jinbi"":21,""exp"":4,""jifen"":1","""201013"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":612},{""a"":""attr"",""t"":""jinbi"",""n"":3024},{""a"":""attr"",""t"":""exp"",""n"":820}",,,,,,,
14,1,2,1,1,14,"""x"":405,""y"":231",ºÚ°µÁúÑ¨(14),"""useexp"":3,""jinbi"":21,""exp"":5,""jifen"":1","""201014"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":618},{""a"":""attr"",""t"":""jinbi"",""n"":3066},{""a"":""attr"",""t"":""exp"",""n"":830}",,,,,,,
15,1,2,1,2,15,"""x"":429,""y"":334",ºÚ°µÁúÑ¨(15),"""useexp"":3,""jinbi"":21,""exp"":6,""jifen"":1","""201015"",""203001""","{""a"":""attr"",""t"":""useexp"",""n"":624},{""a"":""attr"",""t"":""jinbi"",""n"":3108},{""a"":""attr"",""t"":""exp"",""n"":840}",,,,,,,
