等级,名称,爵位,阶级,颜色,消耗勋章,属性,图标,战力
0,扈从,0,0,0,12,"""atk"":0,""hp"":0,""atkpro"":0,""hppro"":0,""pvpdpspro"":0,""pvpundpspro"":0",ico_juewei1,0
1,扈从,0,1,0,42,"""atk"":64,""hp"":2159,""atkpro"":1,""hppro"":3,""pvpdpspro"":0,""pvpundpspro"":0",ico_juewei1,400
2,骑士,1,0,1,36,"""atk"":259,""hp"":8639,""atkpro"":2,""hppro"":6,""pvpdpspro"":20,""pvpundpspro"":20",ico_juewei2,1600
3,骑士,1,1,1,36,"""atk"":388,""hp"":12958,""atkpro"":3,""hppro"":9,""pvpdpspro"":20,""pvpundpspro"":20",ico_juewei2,2500
4,骑士,1,2,1,100,"""atk"":518,""hp"":17278,""atkpro"":4,""hppro"":12,""pvpdpspro"":20,""pvpundpspro"":20",ico_juewei2,3300
5,勋爵,2,0,2,80,"""atk"":777,""hp"":25917,""atkpro"":5,""hppro"":15,""pvpdpspro"":40,""pvpundpspro"":40",ico_juewei3,5000
6,勋爵,2,1,2,80,"""atk"":971,""hp"":32397,""atkpro"":6,""hppro"":18,""pvpdpspro"":40,""pvpundpspro"":40",ico_juewei3,6300
7,勋爵,2,2,2,80,"""atk"":1166,""hp"":38876,""atkpro"":7,""hppro"":21,""pvpdpspro"":40,""pvpundpspro"":40",ico_juewei3,7600
8,勋爵,2,3,2,220,"""atk"":1360,""hp"":45356,""atkpro"":8,""hppro"":24,""pvpdpspro"":40,""pvpundpspro"":40",ico_juewei3,8900
9,男爵,3,0,3,200,"""atk"":1684,""hp"":56155,""atkpro"":9,""hppro"":27,""pvpdpspro"":60,""pvpundpspro"":60",ico_juewei4,11000
10,男爵,3,1,3,200,"""atk"":1943,""hp"":64794,""atkpro"":10,""hppro"":30,""pvpdpspro"":60,""pvpundpspro"":60",ico_juewei4,12700
11,男爵,3,2,3,200,"""atk"":2203,""hp"":73434,""atkpro"":11,""hppro"":33,""pvpdpspro"":60,""pvpundpspro"":60",ico_juewei4,14400
12,男爵,3,3,3,200,"""atk"":2462,""hp"":82073,""atkpro"":12,""hppro"":36,""pvpdpspro"":60,""pvpundpspro"":60",ico_juewei4,16100
13,男爵,3,4,3,375,"""atk"":2721,""hp"":90712,""atkpro"":13,""hppro"":39,""pvpdpspro"":60,""pvpundpspro"":60",ico_juewei4,17800
14,子爵,4,0,4,315,"""atk"":3110,""hp"":103671,""atkpro"":14,""hppro"":42,""pvpdpspro"":80,""pvpundpspro"":80",ico_juewei5,20300
15,子爵,4,1,4,315,"""atk"":3434,""hp"":114470,""atkpro"":15,""hppro"":45,""pvpdpspro"":80,""pvpundpspro"":80",ico_juewei5,22500
16,子爵,4,2,4,315,"""atk"":3758,""hp"":125269,""atkpro"":16,""hppro"":48,""pvpdpspro"":80,""pvpundpspro"":80",ico_juewei5,24600
17,子爵,4,3,4,315,"""atk"":4082,""hp"":136069,""atkpro"":17,""hppro"":51,""pvpdpspro"":80,""pvpundpspro"":80",ico_juewei5,26700
18,子爵,4,4,4,315,"""atk"":4406,""hp"":146868,""atkpro"":18,""hppro"":54,""pvpdpspro"":80,""pvpundpspro"":80",ico_juewei5,28800
19,子爵,4,5,4,600,"""atk"":4730,""hp"":157667,""atkpro"":19,""hppro"":57,""pvpdpspro"":80,""pvpundpspro"":80",ico_juewei5,31000
20,伯爵,5,0,5,450,"""atk"":5248,""hp"":174946,""atkpro"":20,""hppro"":60,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,34400
21,伯爵,5,1,5,450,"""atk"":5637,""hp"":187904,""atkpro"":21,""hppro"":63,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,36900
22,伯爵,5,2,5,450,"""atk"":6025,""hp"":200863,""atkpro"":22,""hppro"":66,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,39500
23,伯爵,5,3,5,450,"""atk"":6414,""hp"":213822,""atkpro"":23,""hppro"":69,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,42000
24,伯爵,5,4,5,450,"""atk"":6803,""hp"":226781,""atkpro"":24,""hppro"":72,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,44500
25,伯爵,5,5,5,450,"""atk"":7192,""hp"":239740,""atkpro"":25,""hppro"":75,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,47100
26,伯爵,5,6,5,875,"""atk"":7580,""hp"":252699,""atkpro"":26,""hppro"":78,""pvpdpspro"":100,""pvpundpspro"":100",ico_juewei6,49600
27,侯爵,6,0,6,615,"""atk"":8228,""hp"":274298,""atkpro"":27,""hppro"":81,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,53900
28,侯爵,6,1,6,615,"""atk"":8682,""hp"":289416,""atkpro"":28,""hppro"":84,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,56900
29,侯爵,6,2,6,615,"""atk"":9136,""hp"":304535,""atkpro"":29,""hppro"":87,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,59800
30,侯爵,6,3,6,615,"""atk"":9589,""hp"":319654,""atkpro"":30,""hppro"":90,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,62800
31,侯爵,6,4,6,615,"""atk"":10043,""hp"":334773,""atkpro"":31,""hppro"":93,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,65800
32,侯爵,6,5,6,615,"""atk"":10496,""hp"":349892,""atkpro"":32,""hppro"":96,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,68800
33,侯爵,6,6,6,615,"""atk"":10950,""hp"":365010,""atkpro"":33,""hppro"":99,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,71700
34,侯爵,6,7,6,1200,"""atk"":11403,""hp"":380129,""atkpro"":34,""hppro"":102,""pvpdpspro"":130,""pvpundpspro"":130",ico_juewei7,74700
35,公爵,7,0,7,800,"""atk"":12181,""hp"":406047,""atkpro"":35,""hppro"":105,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,79800
36,公爵,7,1,7,800,"""atk"":12699,""hp"":423326,""atkpro"":36,""hppro"":108,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,83200
37,公爵,7,2,7,800,"""atk"":13218,""hp"":440604,""atkpro"":37,""hppro"":111,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,86600
38,公爵,7,3,7,800,"""atk"":13736,""hp"":457883,""atkpro"":38,""hppro"":114,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,90000
39,公爵,7,4,7,800,"""atk"":14254,""hp"":475161,""atkpro"":39,""hppro"":117,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,93400
40,公爵,7,5,7,800,"""atk"":14773,""hp"":492440,""atkpro"":40,""hppro"":120,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,96800
41,公爵,7,6,7,800,"""atk"":15291,""hp"":509719,""atkpro"":41,""hppro"":123,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,100200
42,公爵,7,7,7,800,"""atk"":15809,""hp"":526997,""atkpro"":42,""hppro"":126,""pvpdpspro"":160,""pvpundpspro"":160",ico_juewei8,103600
