ID,Y轴,X轴,事件id,事件名称,地块 ,,,,,
1,0,0,0,,,,,,,
2,0,1,0,,1,,,,,
3,0,2,0,,,,,,,
4,0,3,0,,,,,,,
5,0,4,0,,,,,,,
6,0,5,0,,,,,,,
7,0,6,0,,,,,,,
8,0,7,0,,,,,,,
9,0,8,0,,,,,,,
10,0,9,0,,,,,,,
11,0,10,0,,,,,,,
12,0,11,0,,,,,,,
13,0,12,0,,,,,,,
14,0,13,0,,,,,,,
15,0,14,0,,,,,,,
16,0,15,0,,,,,,,
17,1,0,0,,,,,,,
18,1,1,0,,,,,,,
19,1,2,0,,,,,,,
20,1,3,0,,,,,,,
21,1,4,0,,,,,,,
22,1,5,0,,,,,,,
23,1,6,0,,,,,,,
24,1,7,0,,,,,,,
25,1,8,1,出生点,,,,,,
26,1,9,0,,,,,,,
27,1,10,0,,,,,,,
28,1,11,0,,,,,,,
29,1,12,0,,,,,,,
30,1,13,0,,,,,,,
31,1,14,0,,,,,,,
32,1,15,0,,,,,,,
33,2,0,0,,,,,,,
34,2,1,0,,,,,,,
35,2,2,0,,,,,,,
36,2,3,0,,,,,,,
37,2,4,0,,,,,,,
38,2,5,0,,,,,,,
39,2,6,0,,,,,,,
40,2,7,0,,,,,,,
41,2,8,1,出生点,,,,,,
42,2,9,19,石块2,,,,,,
43,2,10,0,,,,,,,
44,2,11,0,,,,,,,
45,2,12,0,,,,,,,
46,2,13,0,,,,,,,
47,2,14,0,,,,,,,
48,2,15,0,,,,,,,
49,3,0,0,,,,,,,
50,3,1,0,,,,,,,
51,3,2,0,,,,,,,
52,3,3,0,,,,,,,
53,3,4,0,,,,,,,
54,3,5,0,,,,,,,
55,3,6,0,,,,,,,
56,3,7,1,出生点,,,,,,
57,3,8,19,石块2,,,,,,
58,3,9,20,草块,,,,,,
59,3,10,0,,,,,,,
60,3,11,0,,,,,,,
61,3,12,0,,,,,,,
62,3,13,0,,,,,,,
63,3,14,0,,,,,,,
64,3,15,0,,,,,,,
65,4,0,0,,,,,,,
66,4,1,0,,,,,,,
67,4,2,0,,,,,,,
68,4,3,0,,,,,,,
69,4,4,0,,,,,,,
70,4,5,0,,,,,,,
71,4,6,0,,,,,,,
72,4,7,1,出生点,,,,,,
73,4,8,19,石块2,,,,,,
74,4,9,20,草块,,,,,,
75,4,10,20,草块,,,,,,
76,4,11,0,,,,,,,
77,4,12,0,,,,,,,
78,4,13,0,,,,,,,
79,4,14,0,,,,,,,
80,4,15,0,,,,,,,
81,5,0,0,,,,,,,
82,5,1,0,,,,,,,
83,5,2,0,,,,,,,
84,5,3,0,,,,,,,
85,5,4,0,,,,,,,
86,5,5,0,,,,,,,
87,5,6,1,出生点,,,,,,
88,5,7,19,石块2,,,,,,
89,5,8,20,草块,,,,,,
90,5,9,2,草地路,,,,,,
91,5,10,2,草地路,,,,,,
92,5,11,0,,,,,,,
93,5,12,0,,,,,,,
94,5,13,0,,,,,,,
95,5,14,0,,,,,,,
96,5,15,0,,,,,,,
97,6,0,0,,,,,,,
98,6,1,0,,,,,,,
99,6,2,0,,,,,,,
100,6,3,0,,,,,,,
101,6,4,0,,,,,,,
102,6,5,0,,,,,,,
103,6,6,2,草地路,,,,,,
104,6,7,5,石板,,,,,,
105,6,8,19,石块2,,,,,,
106,6,9,2,草地路,,,,,,
107,6,10,2,草地路,,,,,,
108,6,11,20,草块,,,,,,
109,6,12,0,,,,,,,
110,6,13,0,,,,,,,
111,6,14,0,,,,,,,
112,6,15,0,,,,,,,
113,7,0,0,,,,,,,
114,7,1,0,,,,,,,
115,7,2,0,,,,,,,
116,7,3,0,,,,,,,
117,7,4,0,,,,,,,
118,7,5,14,新树,,,,,,
119,7,6,2,草地路,,,,,,
120,7,7,5,石板,,,,,,
121,7,8,19,石块2,,,,,,
122,7,9,20,草块,,,,,,
123,7,10,2,草地路,,,,,,
124,7,11,20,草块,,,,,,
125,7,12,0,,,,,,,
126,7,13,0,,,,,,,
127,7,14,0,,,,,,,
128,7,15,0,,,,,,,
129,8,0,0,,,,,,,
130,8,1,0,,,,,,,
131,8,2,0,,,,,,,
132,8,3,0,,,,,,,
133,8,4,0,,,,,,,
134,8,5,24,不能走的草地路,,,,,,
135,8,6,24,不能走的草地路,,,,,,
136,8,7,2,草地路,,,,,,
137,8,8,5,石板,,,,,,
138,8,9,19,石块2,,,,,,
139,8,10,2,草地路,,,,,,
140,8,11,13,老树,,,,,,
141,8,12,20,草块,,,,,,
142,8,13,0,,,,,,,
143,8,14,0,,,,,,,
144,8,15,0,,,,,,,
145,9,0,0,,,,,,,
146,9,1,0,,,,,,,
147,9,2,0,,,,,,,
148,9,3,0,,,,,,,
149,9,4,14,新树,,,,,,
150,9,5,24,不能走的草地路,,,,,,
151,9,6,2,草地路,,,,,,
152,9,7,20,草块,,,,,,
153,9,8,5,石板,,,,,,
154,9,9,2,草地路,,,,,,
155,9,10,13,老树,,,,,,
156,9,11,24,不能走的草地路,,,,,,
157,9,12,6,石板2,,,,,,
158,9,13,0,,,,,,,
159,9,14,0,,,,,,,
160,9,15,0,,,,,,,
161,10,0,0,,,,,,,
162,10,1,0,,,,,,,
163,10,2,0,,,,,,,
164,10,3,0,,,,,,,
165,10,4,24,不能走的草地路,,,,,,
166,10,5,24,不能走的草地路,,,,,,
167,10,6,15,残骸,,,,,,
168,10,7,2,草地路,,,,,,
169,10,8,20,草块,,,,,,
170,10,9,5,石板,,,,,,
171,10,10,24,不能走的草地路,,,,,,
172,10,11,2,草地路,,,,,,
173,10,12,6,石板2,,,,,,
174,10,13,17,石块,,,,,,
175,10,14,0,,,,,,,
176,10,15,0,,,,,,,
177,11,0,0,,,,,,,
178,11,1,0,,,,,,,
179,11,2,0,,,,,,,
180,11,3,20,草块,,,,,,
181,11,4,24,不能走的草地路,,,,,,
182,11,5,24,不能走的草地路,,,,,,
183,11,6,2,草地路,,,,,,
184,11,7,20,草块,,,,,,
185,11,8,5,石板,,,,,,
186,11,9,2,草地路,,,,,,
187,11,10,14,新树,,,,,,
188,11,11,6,石板2,,,,,,
189,11,12,17,石块,,,,,,
190,11,13,2,草地路,,,,,,
191,11,14,0,,,,,,,
192,11,15,0,,,,,,,
193,12,0,0,,,,,,,
194,12,1,0,,,,,,,
195,12,2,0,,,,,,,
196,12,3,20,草块,,,,,,
197,12,4,2,草地路,,,,,,
198,12,5,24,不能走的草地路,,,,,,
199,12,6,24,不能走的草地路,,,,,,
200,12,7,24,不能走的草地路,,,,,,
201,12,8,5,石板,,,,,,
202,12,9,24,不能走的草地路,,,,,,
203,12,10,14,新树,,,,,,
204,12,11,6,石板2,,,,,,
205,12,12,19,石块2,,,,,,
206,12,13,20,草块,,,,,,
207,12,14,2,草地路,,,,,,
208,12,15,0,,,,,,,
209,13,0,0,,,,,,,
210,13,1,0,,,,,,,
211,13,2,17,石块,,,,,,
212,13,3,20,草块,,,,,,
213,13,4,2,草地路,,,,,,
214,13,5,24,不能走的草地路,,,,,,
215,13,6,24,不能走的草地路,,,,,,
216,13,7,5,石板,,,,,,
217,13,8,24,不能走的草地路,,,,,,
218,13,9,16,水坑,,,,,,
219,13,10,2,草地路,,,,,,
220,13,11,6,石板2,,,,,,
221,13,12,19,石块2,,,,,,
222,13,13,20,草块,,,,,,
223,13,14,2,草地路,,,,,,
224,13,15,0,,,,,,,
225,14,0,0,,,,,,,
226,14,1,0,,,,,,,
227,14,2,14,新树,,,,,,
228,14,3,17,石块,,,,,,
229,14,4,2,草地路,,,,,,
230,14,5,13,老树,,,,,,
231,14,6,24,不能走的草地路,,,,,,
232,14,7,5,石板,,,,,,
233,14,8,2,草地路,,,,,,
234,14,9,24,不能走的草地路,,,,,,
235,14,10,2,草地路,,,,,,
236,14,11,20,草块,,,,,,
237,14,12,9,石板3,,,,,,
238,14,13,19,石块2,,,,,,
239,14,14,2,草地路,,,,,,
240,14,15,2,草地路,,,,,,
241,15,0,0,,,,,,,
242,15,1,17,石块,,,,,,
243,15,2,17,石块,,,,,,
244,15,3,2,草地路,,,,,,
245,15,4,24,不能走的草地路,,,,,,
246,15,5,24,不能走的草地路,,,,,,
247,15,6,5,石板,,,,,,
248,15,7,2,草地路,,,,,,
249,15,8,20,草块,,,,,,
250,15,9,2,草地路,,,,,,
251,15,10,15,残骸,,,,,,
252,15,11,9,石板3,,,,,,
253,15,12,9,石板3,,,,,,
254,15,13,2,草地路,,,,,,
255,15,14,20,草块,,,,,,
256,15,15,0,,,,,,,
257,16,0,0,,,,,,,
258,16,1,0,,,,,,,
259,16,2,17,石块,,,,,,
260,16,3,2,草地路,,,,,,
261,16,4,2,草地路,,,,,,
262,16,5,24,不能走的草地路,,,,,,
263,16,6,6,石板2,,,,,,
264,16,7,2,草地路,,,,,,
265,16,8,13,老树,,,,,,
266,16,9,2,草地路,,,,,,
267,16,10,24,不能走的草地路,,,,,,
268,16,11,24,不能走的草地路,,,,,,
269,16,12,9,石板3,,,,,,
270,16,13,9,石板3,,,,,,
271,16,14,20,草块,,,,,,
272,16,15,0,,,,,,,
273,17,0,0,,,,,,,
274,17,1,0,,,,,,,
275,17,2,13,老树,,,,,,
276,17,3,16,水坑,,,,,,
277,17,4,2,草地路,,,,,,
278,17,5,14,新树,,,,,,
279,17,6,6,石板2,,,,,,
280,17,7,24,不能走的草地路,,,,,,
281,17,8,24,不能走的草地路,,,,,,
282,17,9,24,不能走的草地路,,,,,,
283,17,10,24,不能走的草地路,,,,,,
284,17,11,24,不能走的草地路,,,,,,
285,17,12,9,石板3,,,,,,
286,17,13,17,石块,,,,,,
287,17,14,0,,,,,,,
288,17,15,0,,,,,,,
289,18,0,0,,,,,,,
290,18,1,0,,,,,,,
291,18,2,0,,,,,,,
292,18,3,24,不能走的草地路,,,,,,
293,18,4,2,草地路,,,,,,
294,18,5,24,不能走的草地路,,,,,,
295,18,6,24,不能走的草地路,,,,,,
296,18,7,6,石板2,,,,,,
