vip级别,所需经验,礼包名字,拥有特权,礼包原价,礼包现价,礼包,月卡特权
0,0,  ,"[101,0],[102,0],[108,3],[103,0],[104,0],[105,0],[106,1]",0,0,,
1,60,海量金币,"[1,1],[107,2],[101,20],[102,20],[109,10],[108,5],[103,10],[104,10],[105,10],[106,1]",1288,288,"{""a"":""attr"",""t"":""jinbi"",""n"":2000000},{""a"":""item"",""t"":""2004"",""n"":300},{""a"":""item"",""t"":""2005"",""n"":500}","{""a"":""attr"",""t"":""rmbmoney"",""n"":20},{""a"":""item"",""t"":""2007"",""n"":1}"
2,300,开启跳过战斗,"[5,1],[12,1],[13,1],[107,4],[101,40],[102,40],[109,20],[108,7],[103,20],[104,20],[105,20],[106,1],[1000,1]",2880,688,"{""a"":""attr"",""t"":""useexp"",""n"":2000000},{""a"":""item"",""t"":""4007"",""n"":30},{""a"":""item"",""t"":""4008"",""n"":30}","{""a"":""attr"",""t"":""rmbmoney"",""n"":40},{""a"":""item"",""t"":""2007"",""n"":1}"
3,1000,开启传说祭祀,"[3,1],[4,1],[107,6],[101,60],[102,60],[109,30],[108,9],[103,30],[104,30],[105,30],[106,2],[1000,2]",3888,1088,"{""a"":""attr"",""t"":""jinbi"",""n"":4000000},{""a"":""item"",""t"":""2008"",""n"":1},{""a"":""item"",""t"":""2011"",""n"":1}","{""a"":""attr"",""t"":""rmbmoney"",""n"":60},{""a"":""item"",""t"":""2007"",""n"":1}"
4,2000,先祖印记1折,"[6,1],[107,8],[101,90],[102,80],[109,40],[108,12],[103,45],[104,45],[105,45],[106,2],[1000,3]",6880,1888,"{""a"":""attr"",""t"":""useexp"",""n"":4000000},{""a"":""item"",""t"":""4009"",""n"":50},{""a"":""item"",""t"":""2011"",""n"":1}","{""a"":""attr"",""t"":""rmbmoney"",""n"":80},{""a"":""item"",""t"":""2007"",""n"":1}"
5,5000,5星艾琳,"[7,1],[107,10],[101,120],[102,100],[109,50],[108,15],[103,60],[104,60],[105,60],[106,3],[1000,4]",8880,2288,"{""a"":""attr"",""t"":""jinbi"",""n"":6000000},{""a"":""item"",""t"":""43075"",""n"":50},{""a"":""item"",""t"":""2011"",""n"":1}","{""a"":""attr"",""t"":""rmbmoney"",""n"":100},{""a"":""item"",""t"":""2007"",""n"":2}"
6,10000,5星艾琳,"[107,12],[101,160],[102,120],[109,60],[108,18],[103,75],[104,75],[105,75],[106,3],[1000,5]",18880,3888,"{""a"":""attr"",""t"":""useexp"",""n"":6000000},{""a"":""item"",""t"":""43075"",""n"":50},{""a"":""item"",""t"":""3002"",""n"":60},{""a"":""item"",""t"":""2011"",""n"":2}","{""a"":""attr"",""t"":""rmbmoney"",""n"":120},{""a"":""item"",""t"":""2007"",""n"":2},{""a"":""item"",""t"":""4009"",""n"":1}"
7,15000,竞技核心自选箱,"[8,1],[107,14],[101,200],[102,140],[109,70],[108,21],[103,90],[104,90],[105,90],[106,4],[1000,6]",18880,3888,"{""a"":""attr"",""t"":""jinbi"",""n"":8000000},{""a"":""item"",""t"":""1175"",""n"":1},{""a"":""item"",""t"":""3002"",""n"":60},{""a"":""item"",""t"":""2011"",""n"":2}","{""a"":""attr"",""t"":""rmbmoney"",""n"":140},{""a"":""item"",""t"":""2007"",""n"":3},{""a"":""item"",""t"":""4009"",""n"":1}"
8,20000,经典光暗自选箱,"[107,16],[101,240],[102,160],[109,80],[108,24],[103,105],[104,105],[105,105],[106,4],[1000,7]",38880,4888,"{""a"":""attr"",""t"":""useexp"",""n"":8000000},{""a"":""item"",""t"":""1159"",""n"":1},{""a"":""item"",""t"":""2011"",""n"":3},{""a"":""equip"",""t"":""1051"",""n"":1}","{""a"":""attr"",""t"":""rmbmoney"",""n"":160},{""a"":""item"",""t"":""2007"",""n"":4},{""a"":""item"",""t"":""4009"",""n"":1}"
9,30000,竞技核心自选箱,"[9,1],[107,18],[101,290],[102,180],[109,90],[108,27],[103,120],[104,120],[105,120],[106,5],[1000,8]",38880,4888,"{""a"":""attr"",""t"":""jinbi"",""n"":10000000},{""a"":""item"",""t"":""1175"",""n"":1},{""a"":""item"",""t"":""2011"",""n"":3},{""a"":""equip"",""t"":""2051"",""n"":1}","{""a"":""attr"",""t"":""rmbmoney"",""n"":180},{""a"":""item"",""t"":""2007"",""n"":4},{""a"":""item"",""t"":""4009"",""n"":2}"
10,50000,光暗顶级自选箱,"[112,2],[107,20],[111,2000],[101,340],[102,200],[109,100],[108,30],[103,135],[104,135],[105,135],[106,5],[1000,9]",58880,10888,"{""a"":""attr"",""t"":""useexp"",""n"":10000000},{""a"":""item"",""t"":""1110"",""n"":1},{""a"":""equip"",""t"":""4051"",""n"":1},{""a"":""equip"",""t"":""3051"",""n"":1}","{""a"":""attr"",""t"":""rmbmoney"",""n"":200},{""a"":""item"",""t"":""2007"",""n"":4},{""a"":""item"",""t"":""4009"",""n"":2}"
11,100000,光暗顶级自选箱,"[10,1],[107,22],[111,2000],[101,390],[102,240],[109,120],[108,33],[103,150],[104,150],[105,150],[106,5],[1000,10]",78880,16888,"{""a"":""attr"",""t"":""jinbi"",""n"":15000000},{""a"":""item"",""t"":""1110"",""n"":1},{""a"":""equip"",""t"":""1052"",""n"":1},{""a"":""equip"",""t"":""4052"",""n"":1},{""a"":""item"",""t"":""4023"",""n"":100}","{""a"":""attr"",""t"":""rmbmoney"",""n"":220},{""a"":""item"",""t"":""2007"",""n"":5},{""a"":""item"",""t"":""4009"",""n"":3}"
12,150000,双生光暗自选箱,"[11,1],[107,24],[111,5000],[101,440],[102,280],[109,140],[108,36],[103,165],[104,165],[105,165],[106,5],[1000,11]",98880,22888,"{""a"":""attr"",""t"":""useexp"",""n"":15000000},{""a"":""item"",""t"":""1158"",""n"":1},{""a"":""equip"",""t"":""2052"",""n"":1},{""a"":""item"",""t"":""2011"",""n"":10},{""a"":""item"",""t"":""4023"",""n"":100}","{""a"":""attr"",""t"":""rmbmoney"",""n"":240},{""a"":""item"",""t"":""2007"",""n"":5},{""a"":""item"",""t"":""4009"",""n"":3}"
13,300000,双生光暗自选箱,"[107,26],[111,5000],[101,510],[102,320],[109,160],[108,39],[103,180],[104,180],[105,180],[106,6],[1000,12]",108880,25888,"{""a"":""attr"",""t"":""jinbi"",""n"":20000000},{""a"":""item"",""t"":""1158"",""n"":1},{""a"":""equip"",""t"":""3052"",""n"":1},{""a"":""item"",""t"":""2011"",""n"":10},{""a"":""item"",""t"":""4023"",""n"":150}","{""a"":""attr"",""t"":""rmbmoney"",""n"":260},{""a"":""item"",""t"":""2007"",""n"":5},{""a"":""item"",""t"":""4009"",""n"":4}"
14,500000,双生光暗自选箱,"[107,28],[111,8000],[101,580],[102,360],[109,180],[108,42],[103,195],[104,195],[105,195],[106,6],[1000,13]",128880,31888,"{""a"":""attr"",""t"":""useexp"",""n"":20000000},{""a"":""item"",""t"":""1158"",""n"":1},{""a"":""item"",""t"":""3004"",""n"":100},{""a"":""item"",""t"":""2011"",""n"":20},{""a"":""item"",""t"":""4023"",""n"":150}","{""a"":""attr"",""t"":""rmbmoney"",""n"":280},{""a"":""item"",""t"":""2007"",""n"":6},{""a"":""item"",""t"":""4009"",""n"":4}"
15,900000,双生光暗自选箱,"[107,30],[111,8000],[101,670],[102,400],[109,200],[108,45],[103,210],[104,210],[105,210],[106,6],[1000,14]",148880,34888,"{""a"":""attr"",""t"":""jinbi"",""n"":25000000},{""a"":""item"",""t"":""1158"",""n"":1},{""a"":""item"",""t"":""3004"",""n"":100},{""a"":""item"",""t"":""2011"",""n"":20},{""a"":""item"",""t"":""4023"",""n"":200}","{""a"":""attr"",""t"":""rmbmoney"",""n"":300},{""a"":""item"",""t"":""2007"",""n"":6},{""a"":""item"",""t"":""4009"",""n"":5}"
16,1400000,双生光暗自选箱,"[107,32],[111,11000],[101,760],[102,450],[109,225],[108,48],[103,225],[104,225],[105,225],[106,7],[1000,15]",168880,40888,"{""a"":""attr"",""t"":""useexp"",""n"":25000000},{""a"":""item"",""t"":""1158"",""n"":1},{""a"":""item"",""t"":""3006"",""n"":100},{""a"":""item"",""t"":""2011"",""n"":30},{""a"":""item"",""t"":""4023"",""n"":200}","{""a"":""attr"",""t"":""rmbmoney"",""n"":320},{""a"":""item"",""t"":""2007"",""n"":7},{""a"":""item"",""t"":""4009"",""n"":6}"
