Îä»êid,Îä»êµÈ¼¶,ÑÕÉ«,ÖÖ×å,Îä»êÃû³Æ,Îä»êÍ¼±ê,×¨ÊôÓ¢ÐÛ,Îä»êÊôÐÔ,¶îÍâÊôÐÔ1,ÉËº¦Ôö¼Ó,¶îÍâÊôÐÔ,¶îÍâ¼¼ÄÜ,ÏÔÊ¾ÊôÐÔ,¼¼ÄÜÃèÊö
11076,1,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":5400,""atk"":150",,,,,,
11076,2,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":7200,""atk"":200",,,,,,
11076,3,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":9000,""atk"":250",,,,,,
11076,4,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":10800,""atk"":300",,,,,,
11076,5,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":12600,""atk"":350","""atk"":300",",""dpspro"":0","""atk"":300,""dpspro"":0",,"""atk"":300",
11076,6,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":14400,""atk"":400","""atk"":300",",""dpspro"":0","""atk"":300,""dpspro"":0",,,
11076,7,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":16200,""atk"":450","""atk"":300",",""dpspro"":0","""atk"":300,""dpspro"":0",,,
11076,8,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":18000,""atk"":500","""atk"":300",",""dpspro"":0","""atk"":300,""dpspro"":0",,,
11076,9,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":19800,""atk"":550","""atk"":300",",""dpspro"":0","""atk"":300,""dpspro"":0",,,
11076,10,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":21600,""atk"":600","""atk"":300,""hp"":5000",",""dpspro"":0","""atk"":300,""hp"":5000,""dpspro"":0",,"""hp"":5000",
11076,11,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":24300,""atk"":675","""atk"":300,""hp"":5000",",""dpspro"":0","""atk"":300,""hp"":5000,""dpspro"":0",,,
11076,12,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":27000,""atk"":750","""atk"":300,""hp"":5000",",""dpspro"":0","""atk"":300,""hp"":5000,""dpspro"":0",,,
11076,13,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":29700,""atk"":825","""atk"":300,""hp"":5000",",""dpspro"":0","""atk"":300,""hp"":5000,""dpspro"":0",,,
11076,14,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":32400,""atk"":900","""atk"":300,""hp"":5000",",""dpspro"":0","""atk"":300,""hp"":5000,""dpspro"":0",,,
11076,15,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":35100,""atk"":975","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":0","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":0",,"""undpspro"":50",
11076,16,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":37800,""atk"":1050","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":0","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":0",,,
11076,17,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":40500,""atk"":1125","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":0","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":0",,,
11076,18,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":43200,""atk"":1200","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":0","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":0",,,
11076,19,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":45900,""atk"":1275","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":0","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":0",,,
11076,20,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":48600,""atk"":1350","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50",,"""dpspro"":50",
11076,21,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":52200,""atk"":1450","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50",,,
11076,22,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":55800,""atk"":1550","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50",,,
11076,23,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":59400,""atk"":1650","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50",,,
11076,24,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":63000,""atk"":1750","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50",,,
11076,25,5,1,°µºÚ¹ÇÒí,11076,11076,"""hp"":66600,""atk"":1850","""atk"":300,""hp"":5000,""undpspro"":50",",""dpspro"":50","""atk"":300,""hp"":5000,""undpspro"":50,""dpspro"":50","""1107601004""",,Ã¿´ÎÊÜµ½Ö±½Ó¹¥»÷£¬Å­Æø¶îÍâÌáÉý3µã
