地图id,技能id,技能名称,技能图标,技能类型,需要经验,前置技能,技能排序,描述,经过遗迹,补给数量,指定奖励,掉落组奖励,加成百分比,
1,1001,小补给袋,kaogu_skill_buji1,1,31,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
1,1002,大补给袋,kaogu_skill_buji2,1,62,1001,2,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
1,1003,补给包,kaogu_skill_buji3,1,93,1002,6,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
1,1004,远行鞋,kaogu_skill_jiasu,5,124,1003,7,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
1,1005,意外收获,kaogu_skill_daoju1,2,155,1002,3,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100101,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1000000}",,200,
1,1006,聚能卷轴,kaogu_skill_nengyuanup,4,233,1005,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
1,1007,能量小晶体,kaogu_skill_nengyuan1,3,389,1006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100101,140,,,0,
1,1008,慧眼识珠,kaogu_skill_daoju2,2,545,1003,9,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100102,0,"{""a"":""item"",""t"":""2004"",""n"":600}",,200,
1,1009,能量大晶体,kaogu_skill_nengyuan2,3,701,1008,10,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100102,260,,,0,
1,1010,补给行囊,kaogu_skill_buji4,1,935,1003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
1,1011,精准挖掘,kaogu_skill_daoju3,2,935,1004,8,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100103,0,"{""a"":""item"",""t"":""2026"",""n"":60}",,200,
1,1012,能量晶体,kaogu_skill_nengyuan3,3,1246,1010,12,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100103,160,,,0,
1,1013,补给车队,kaogu_skill_buji5,1,1246,1010,13,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
1,1014,天降奇宝,kaogu_skill_daoju4,2,1402,1013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100103,0,"{""a"":""item"",""t"":""2058"",""n"":1}",,40,
1,1015,探索遗迹,kaogu_skill_kaogubi,6,1558,1013,14,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100103,0,"{""a"":""item"",""t"":""2070"",""n"":200}",,500,
1,1016,熟能生巧,kaogu_skill_jiasudaoju,7,1558,1013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100103,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,400,
2,2001,小补给袋,kaogu_skill_buji1,1,220,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
2,2002,大补给袋,kaogu_skill_buji2,1,441,2001,3,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
2,2003,补给包,kaogu_skill_buji3,1,662,2002,10,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
2,2004,远行鞋,kaogu_skill_jiasu,5,883,2008,9,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
2,2005,意外收获,kaogu_skill_daoju1,2,1104,2001,2,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100201,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1150000}",,200,
2,2006,聚能卷轴,kaogu_skill_nengyuanup,4,1656,2001,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
2,2007,能量小晶体,kaogu_skill_nengyuan1,3,2761,2006,5,有一种神秘力量，使考古队在{1}可以发现能量小晶体，获得{2}泰坦能源,100201,161,,,0,
2,2008,慧眼识珠,kaogu_skill_daoju2,2,3865,2002,8,你有一双发现宝物的慧眼，但不是每次都会有宝物出现，在经过{1}时，有{2}几率获得{3}个{4},100202,0,"{""a"":""item"",""t"":""2004"",""n"":690}",,200,
2,2009,能量大晶体,kaogu_skill_nengyuan2,3,4970,2007,6,有一种神秘力量，使考古队在{1}可以发现能量大晶体，获得{2}泰坦能源,100202,299,,,0,
2,2010,补给行囊,kaogu_skill_buji4,1,6626,2003,11,补给行囊增加了物品携带的上限，初始携带的补给增加{1}个单位,,120,,,0,
2,2011,精准挖掘,kaogu_skill_daoju3,2,6626,2010,12,考古队得到消息在{1}埋藏着神秘宝物，虽然你挖了但你不一定挖得到，有{2}几率获得{3}个{4},100203,0,"{""a"":""item"",""t"":""2026"",""n"":69}",,200,
2,2012,能量晶体,kaogu_skill_nengyuan3,3,8835,2009,7,有一种神秘力量，使考古队在{1}可以发现能量晶体，获得{2}泰坦能源,100203,184,,,0,
2,2013,补给车队,kaogu_skill_buji5,1,8835,2010,14,雇佣一只补给车队，他们的口号是“更多、更快、更安全！”，初始携带的补给增加{1}个单位,,120,,,0,
2,2014,天降奇宝,kaogu_skill_daoju4,2,9940,2013,15,只有被上天眷顾的考古队才能在经过{1}时，有{2}几率获得{3}个{4},100203,0,"{""a"":""item"",""t"":""4009"",""n"":50}",,50,
2,2015,探索遗迹,kaogu_skill_kaogubi,6,11044,2010,13,考古队掌握的特殊的找币技巧，在勘察{1}时有{2}概率发现{3}个{4},100203,0,"{""a"":""item"",""t"":""2070"",""n"":230}",,500,
2,2016,熟能生巧,kaogu_skill_jiasudaoju,7,11044,2013,16,每一个能走到终点的考古队一定都有自己的考古心得，达到终点后有{1}概率凝聚经验获得1个考古队秒表,100203,0,"{""a"":""item"",""t"":""2068"",""n"":1}",,460,
3,3001,小补给袋,kaogu_skill_buji1,1,220,,1,买到了额外的小补给袋，至少它不是漏的，初始携带的补给增加{1}个单位,,120,,,0,
3,3002,大补给袋,kaogu_skill_buji2,1,441,3001,2,更换了更大的补给袋，队伍里的大胃王表示只够他们吃三分饱，初始携带的补给增加{1}个单位,,120,,,0,
3,3003,补给包,kaogu_skill_buji3,1,662,3002,6,更换容量更大也更结实的补给包，我们再也不用担心大胃王吃光所有食物了，至少还能剩一点，初始携带的补给增加{1}个单位,,120,,,0,
3,3004,远行鞋,kaogu_skill_jiasu,5,883,3003,7,更加舒适且轻便的远行鞋，穿上之后大幅提升赶路的效率，基础考古速度增加{1},,0,,,200,
3,3005,意外收获,kaogu_skill_daoju1,2,1104,3002,3,如果你运气还不错的话，在经过{1}时，有{2}几率获得{3}枚{4},100301,0,"{""a"":""attr"",""t"":""jinbi"",""n"":1300000}",,200,
3,3006,聚能卷轴,kaogu_skill_nengyuanup,4,1656,3005,4,自动吸收空气中游离的泰坦能量，使考古队在本地图采集泰坦能源的效率大幅提高，泰坦能源获取速度提高{1},,0,,,300,
